Date,Open,High,Low,Close,Volume,Adj Close
2011-12-02,8603.23,8643.75,8591.93,8643.75,101000,8643.75,
2011-12-01,8581.2,8653.88,8577.09,8597.38,147800,8597.38,
2011-11-30,8407.63,8435.34,8361.69,8434.61,126600,8434.61,
2011-11-29,8371.01,8477.82,8351.38,8477.82,115800,8477.82,
2011-11-28,8269.91,8322.01,8259.71,8287.49,102400,8287.49,
2011-11-25,8138.19,8199.67,8135.79,8160.01,111400,8160.01,
2011-11-24,8189.42,8212.95,8157.39,8165.18,109800,8165.18,
2011-11-22,8263.86,8350.35,8261.01,8314.74,112200,8314.74,
2011-11-21,8349.05,8375.6,8343.93,8348.27,89800,8348.27,
2011-11-18,8374.16,8398.8,8359.6,8374.91,108600,8374.91,
2011-11-17,8421.88,8491.82,8400.22,8479.63,113000,8479.63,
2011-11-16,8546.75,8567.64,8459.3,8463.16,95400,8463.16,
2011-11-15,8546.99,8584.3,8527.63,8541.93,80200,8541.93,
2011-11-14,8631.28,8655.31,8595.43,8603.7,104400,8603.7,
2011-11-11,8545.92,8566.49,8485.77,8514.47,124800,8514.47,
2011-11-10,8597.28,8600.21,8500.67,8500.8,150000,8500.8,
2011-11-09,8724.6,8762.98,8678.78,8755.44,137400,8755.44,
2011-11-08,8744.36,8772.04,8644,8655.51,136400,8655.51,
2011-11-07,8771.82,8779.55,8741.25,8767.09,100000,8767.09,
2011-11-04,8761.27,8814.71,8729.08,8801.4,125000,8801.4,
2011-11-02,8719.92,8719.92,8640.42,8640.42,129200,8640.42,
2011-11-01,8880.75,8946,8831.69,8835.52,103800,8835.52,
2011-10-31,9011.18,9152.39,8988.39,8988.39,133800,8988.39,
2011-10-28,9059.04,9086.43,9003.09,9050.47,165000,9050.47,
2011-10-27,8779.4,8926.54,8731.77,8926.54,139800,8926.54,
2011-10-26,8673.85,8798.8,8642.56,8748.47,108800,8748.47,
2011-10-25,8866.43,8870.37,8755.38,8762.31,106800,8762.31,
2011-10-24,8764.92,8844.28,8762.02,8843.98,97400,8843.98,
2011-10-21,8679.04,8700.49,8652.26,8678.89,97000,8678.89,
2011-10-20,8733.6,8733.6,8672.21,8682.15,109200,8682.15,
2011-10-19,8808.25,8831.55,8745.36,8772.54,91200,8772.54,
2011-10-18,8758.74,8773.99,8727.39,8741.91,81600,8741.91,
2011-10-17,8881.44,8911.7,8856.58,8879.6,96000,8879.6,
2011-10-14,8782.91,8787.89,8733.71,8747.96,108400,8747.96,
2011-10-13,8832.81,8854.16,8808.73,8823.25,108200,8823.25,
2011-10-12,8719.67,8763.02,8689.38,8738.9,109800,8738.9,
2011-10-11,8733.54,8806.44,8725.62,8773.68,112600,8773.68,
2011-10-07,8593.22,8663.57,8589.36,8605.62,122400,8605.62,
2011-10-06,8463.83,8545.79,8463.83,8522.02,123600,8522.02,
2011-10-05,8491.43,8501.03,8343.01,8382.98,158000,8382.98,
2011-10-04,8426.39,8470.76,8359.24,8456.12,158600,8456.12,
2011-10-03,8567.98,8577.52,8455.67,8545.48,143600,8545.48,
2011-09-30,8713.91,8756,8653.62,8700.29,148800,8700.29,
2011-09-29,8527.64,8706.14,8501.42,8701.23,165600,8701.23,
2011-09-28,8607.92,8665.54,8595.85,8615.65,140200,8615.65,
2011-09-27,8496.33,8609.95,8479.05,8609.95,140400,8609.95,
2011-09-26,8547.62,8556.66,8359.7,8374.13,159000,8374.13,
2011-09-22,8643.02,8643.02,8545.46,8560.26,125000,8560.26,
2011-09-21,8717,8771.62,8707.16,8741.16,106600,8741.16,
2011-09-20,8763.61,8771.72,8704.23,8721.24,104000,8721.24,
2011-09-16,8785.28,8864.16,8774.16,8864.16,143200,8864.16,
2011-09-15,8645.38,8695.95,8634.02,8668.86,126600,8668.86,
2011-09-14,8623.55,8671.24,8499.34,8518.57,129400,8518.57,
2011-09-13,8588.74,8635.88,8549.06,8616.55,126000,8616.55,
2011-09-12,8578.71,8584.05,8520.97,8535.67,126800,8535.67,
