Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,601.51,602.41,597.52,599.18,2872660000,599.18
2012-05-24,600.58,603.18,597.03,601.40,3937670000,601.40
2012-05-23,599.88,601.27,590.84,600.55,4108330000,600.55
2012-05-22,599.87,605.25,596.97,600.00,4123680000,600.00
2012-05-21,591.94,600.06,591.70,599.84,3786750000,599.84
2012-05-18,595.89,599.00,590.05,591.61,4512470000,591.61
2012-05-17,603.57,604.30,595.88,595.89,4664280000,595.89
2012-05-16,605.32,610.74,603.38,603.50,4280420000,603.50
2012-05-15,608.60,611.83,604.38,605.32,4114040000,605.32
2012-05-14,615.34,615.34,607.93,608.60,3688120000,608.60
2012-05-11,618.05,620.98,613.66,615.34,3869070000,615.34
2012-05-10,616.24,621.32,616.24,618.05,3727990000,618.05
2012-05-09,620.77,620.77,611.68,616.13,4288540000,616.13
2012-05-08,623.36,623.36,614.40,620.94,4261670000,620.94
2012-05-07,622.33,625.35,620.50,623.36,3559390000,623.36
2012-05-04,632.70,632.70,622.40,622.73,3975140000,622.73
2012-05-03,637.27,637.79,631.56,632.97,4004910000,632.97
2012-05-02,638.64,638.64,633.66,637.27,3803860000,637.27
2012-05-01,635.45,643.29,634.71,638.84,3807950000,638.84
2012-04-30,637.99,637.99,633.71,635.45,3574010000,635.45
2012-04-27,636.85,639.71,635.81,637.99,3645830000,637.99
2012-04-26,632.86,637.83,631.37,636.79,4034700000,636.79
2012-04-25,624.20,633.44,624.20,632.86,3998430000,632.86
2012-04-24,621.47,625.76,621.25,624.15,3617100000,624.15
2012-04-23,626.00,626.00,618.09,621.42,3654860000,621.42
2012-04-20,625.30,630.74,625.30,626.10,3833320000,626.10
2012-04-19,629.80,631.66,622.19,625.29,4180020000,625.29
2012-04-18,632.43,632.43,629.23,629.83,3463140000,629.83
2012-04-17,622.32,633.22,622.32,632.41,3456200000,632.41
2012-04-16,622.64,627.03,620.55,622.27,3574780000,622.27
2012-04-13,631.19,631.19,622.40,622.64,3631160000,622.64
2012-04-12,623.16,631.47,623.16,631.19,3618280000,631.19
2012-04-11,619.14,626.07,619.14,623.16,3743040000,623.16
2012-04-10,629.26,630.00,618.45,619.14,4631730000,619.14
2012-04-09,635.84,635.84,627.53,629.27,3468980000,629.27
2012-04-05,636.12,637.35,633.24,635.84,3303740000,635.84
2012-04-04,642.59,642.59,633.82,636.19,3938290000,636.19
2012-04-03,645.24,645.53,638.77,642.65,3822090000,642.65
2012-04-02,640.68,646.76,638.70,645.29,3572010000,645.29
2012-03-30,638.73,641.60,637.66,640.68,3676890000,640.68
2012-03-29,639.97,639.97,633.53,638.47,3832000000,638.47
2012-03-28,642.39,643.21,636.32,639.98,3892800000,639.98
2012-03-27,644.39,645.52,642.14,642.41,3513640000,642.41
2012-03-26,635.60,644.42,635.60,644.38,3576950000,644.38
2012-03-23,633.77,636.62,631.53,635.57,3472950000,635.57
2012-03-22,637.84,637.84,631.99,633.77,3740590000,633.77
2012-03-21,639.91,640.80,637.35,637.90,3573590000,637.90
2012-03-20,641.04,641.04,636.16,639.89,3695280000,639.89
