Date,Open,High,Low,Close,Volume,Adj Close
2014-12-19,684.38,687.23,681.07,685.48,248300,685.48
2014-12-18,680.25,684.88,678.18,684.88,83600,684.88
2014-12-17,658.24,675.56,657.83,675.56,97700,675.56
2014-12-16,657.40,667.13,655.61,657.55,90400,657.55
2014-12-15,666.01,668.75,656.87,658.48,84500,658.48
2014-12-12,668.70,669.70,663.59,664.20,77700,664.20
2014-12-11,671.99,680.70,671.75,672.79,66700,672.79
2014-12-10,684.63,684.63,670.47,670.48,77300,670.48
2014-12-09,670.30,686.10,667.13,686.09,85900,686.09
2014-12-08,681.58,686.09,673.17,674.26,72900,674.26
2014-12-05,678.65,683.99,678.48,682.70,72400,682.70
2014-12-04,680.84,680.84,675.66,678.39,81400,678.39
2014-12-03,674.67,683.01,674.46,681.41,75500,681.41
2014-12-02,668.18,677.11,668.18,674.59,78500,674.59
2014-12-01,675.89,675.89,667.41,667.41,84000,667.41
2014-11-28,686.66,686.66,676.32,676.82,56900,676.82
2014-11-26,684.57,686.73,683.97,686.48,62500,686.48
2014-11-25,685.72,687.61,682.88,684.57,63000,684.57
2014-11-24,678.15,685.10,678.15,685.09,58800,685.09
2014-11-21,681.89,684.68,675.69,677.36,73300,677.36
2014-11-20,667.38,676.95,666.60,676.91,60100,676.91
2014-11-19,675.54,675.54,665.63,669.21,66700,669.21
2014-11-18,674.15,678.80,674.15,675.87,58400,675.87
2014-11-17,678.43,679.43,672.97,673.01,60200,673.01
2014-11-14,680.15,681.30,678.61,679.36,63700,679.36
2014-11-13,686.25,687.13,679.55,680.13,62100,680.13
2014-11-12,679.79,686.53,679.25,686.06,71100,686.06
2014-11-11,681.40,681.95,679.62,681.56,61800,681.56
2014-11-10,679.14,681.40,677.56,681.39,72900,681.39
2014-11-07,678.08,679.10,674.71,679.06,74200,679.06
2014-11-06,676.85,678.95,674.91,678.90,75500,678.90
2014-11-05,678.16,679.25,674.97,677.22,74200,677.22
2014-11-04,676.34,678.20,672.70,675.72,77300,675.72
2014-11-03,679.64,682.08,676.01,677.85,89200,677.85
2014-10-31,675.14,679.73,674.65,679.50,122800,679.50
2014-10-30,661.95,670.45,660.44,668.48,87100,668.48
2014-10-29,664.68,667.67,659.06,663.58,80600,663.58
2014-10-28,647.74,664.27,647.74,664.26,91800,664.26
2014-10-27,643.70,645.34,638.03,645.21,60900,645.21
2014-10-24,645.26,646.30,642.46,645.80,65400,645.80
2014-10-23,637.85,647.96,637.85,644.65,81900,644.65
2014-10-22,643.44,645.89,634.27,634.63,70300,634.63
2014-10-21,633.61,642.76,633.61,642.39,69300,642.39
2014-10-20,623.05,631.88,622.64,631.88,71800,631.88
2014-10-17,631.23,633.96,622.61,624.69,110500,624.69
2014-10-16,616.07,629.62,613.50,626.52,97900,626.52
2014-10-15,612.31,623.08,604.48,620.98,107400,620.98
2014-10-14,612.22,624.00,612.22,616.68,95700,616.68
2014-10-13,611.39,618.58,608.32,609.39,87900,609.39
2014-10-10,615.19,621.67,610.87,610.90,92500,610.90
2014-10-09,632.12,632.12,617.42,617.50,83900,617.50
2014-10-08,619.87,632.67,615.36,632.33,113600,632.33
2014-10-07,628.61,628.65,620.61,620.61,129100,620.61
2014-10-06,637.48,638.44,630.33,630.77,112300,630.77
2014-10-03,634.98,639.21,634.98,636.31,64700,636.31
2014-10-02,626.43,634.11,623.24,632.09,79100,632.09
2014-10-01,634.81,634.81,625.24,626.61,88200,626.61
2014-09-30,643.35,643.72,634.99,634.99,103700,634.99
2014-09-29,639.74,643.99,637.23,643.11,60000,643.11
2014-09-26,640.04,644.01,639.99,643.65,58700,643.65
2014-09-25,648.37,648.37,637.73,639.53,68400,639.53
2014-09-24,644.60,649.91,642.22,648.93,63900,648.93
2014-09-23,649.42,651.19,643.80,643.80,74300,643.80
2014-09-22,656.49,656.49,649.16,650.32,70000,650.32
2014-09-19,666.60,668.33,656.94,658.30,208400,658.30
2014-09-18,663.24,666.40,663.24,665.65,64300,665.65
2014-09-17,660.76,664.92,659.33,661.91,64600,661.91
2014-09-16,657.04,661.62,655.40,660.52,64900,660.52
2014-09-15,664.27,664.27,657.36,657.95,60800,657.95
2014-09-12,671.57,671.57,662.25,664.56,64400,664.56
2014-09-11,664.44,672.00,663.61,671.40,70100,671.40
2014-09-10,664.96,667.19,662.42,667.03,64600,667.03
2014-09-09,672.13,672.13,664.63,664.97,70000,664.97
2014-09-08,671.85,673.90,669.67,672.67,56000,672.67
2014-09-05,669.21,672.12,666.77,672.04,59500,672.04
2014-09-04,673.12,677.89,669.57,670.67,60600,670.67
2014-09-03,676.89,678.01,671.48,672.48,79100,672.48
2014-09-02,673.53,676.68,671.75,675.59,60600,675.59
2014-08-29,668.28,672.27,666.58,671.88,58100,671.88
2014-08-28,669.92,669.92,666.72,667.74,47900,667.74
2014-08-27,673.58,674.01,671.01,671.84,44700,671.84
2014-08-26,668.72,673.69,668.72,673.15,55300,673.15
2014-08-25,669.83,671.91,666.32,668.42,48000,668.42
2014-08-22,667.96,669.47,664.71,667.71,53000,667.71
2014-08-21,665.46,668.70,659.92,668.16,52900,668.16
2014-08-20,667.70,667.70,662.92,665.60,51000,665.60
2014-08-19,667.35,670.18,667.35,669.33,58000,669.33
2014-08-18,660.50,666.64,660.50,666.64,63900,666.64
2014-08-15,661.91,662.63,651.54,657.10,82500,657.10
2014-08-14,657.13,658.31,656.46,657.89,47000,657.89
2014-08-13,654.41,658.66,654.41,657.18,51600,657.18
2014-08-12,656.60,657.83,651.03,653.36,55500,653.36
2014-08-11,653.84,661.95,653.84,657.75,58400,657.75
2014-08-08,645.92,652.58,645.80,652.14,75700,652.14
2014-08-07,651.09,652.55,644.30,646.03,64700,646.03
2014-08-06,645.50,652.53,643.54,649.48,67800,649.48
2014-08-05,647.19,652.14,644.13,647.86,73200,647.86
2014-08-04,644.79,649.20,639.09,648.88,79200,648.88
2014-08-01,645.77,647.37,639.45,643.29,85500,643.29
2014-07-31,655.71,655.71,644.92,644.93,99500,644.93
2014-07-30,660.68,662.28,657.85,659.83,74600,659.83
2014-07-29,658.84,662.54,657.94,658.29,70700,658.29
2014-07-28,659.64,659.64,653.26,657.32,60500,657.32
2014-07-25,663.14,663.14,658.03,659.58,65000,659.58
2014-07-24,666.71,670.33,664.12,666.16,67800,666.16
2014-07-23,667.20,668.07,664.49,666.00,60600,666.00
2014-07-22,662.93,668.84,662.93,666.68,56600,666.68
2014-07-21,661.90,661.90,657.33,660.83,54100,660.83
2014-07-18,653.97,664.48,653.69,664.04,69100,664.04
2014-07-17,661.63,662.76,653.61,654.69,71600,654.69
2014-07-16,666.76,668.13,661.73,663.36,60100,663.36
2014-07-15,670.10,671.26,661.88,664.68,58100,664.68
2014-07-14,670.59,672.53,669.47,670.21,53500,670.21
2014-07-11,668.31,668.37,664.57,667.14,72100,667.14
2014-07-10,669.64,672.41,663.62,669.21,67100,669.21
2014-07-09,676.79,678.44,674.86,676.23,71400,676.23
2014-07-08,681.28,681.28,672.62,675.63,87200,675.63
2014-07-07,690.78,690.78,681.87,681.99,73500,681.99
2014-07-03,688.42,692.54,688.42,692.54,39400,692.54
2014-07-02,690.25,691.37,686.41,686.93,59200,686.93
2014-07-01,684.25,695.71,684.25,690.88,85800,690.88
2014-06-30,679.97,682.95,677.17,682.87,89900,682.87
2014-06-27,673.47,680.79,672.37,680.61,151300,680.61
2014-06-26,677.42,677.42,672.00,675.58,50900,675.58
2014-06-25,670.74,677.31,669.70,677.15,57700,677.15
2014-06-24,677.38,682.86,672.36,672.44,68800,672.44
2014-06-23,680.14,680.84,676.81,678.02,56600,678.02
2014-06-20,678.36,679.65,676.41,679.59,199500,679.59
2014-06-19,678.13,678.83,674.37,677.23,53100,677.23
2014-06-18,673.65,677.08,670.58,676.97,61900,676.97
2014-06-17,667.55,674.80,666.24,673.58,69800,673.58
2014-06-16,666.74,668.12,663.76,668.02,55400,668.02
2014-06-13,666.32,668.47,663.19,667.29,58800,667.29
2014-06-12,669.42,669.42,663.43,665.40,58900,665.40
2014-06-11,671.87,671.87,666.99,670.00,54700,670.00
2014-06-10,675.08,675.08,670.45,673.67,54800,673.67
2014-06-09,670.96,678.54,670.96,676.30,63400,676.30
2014-06-06,667.37,673.15,667.37,671.26,67600,671.26
2014-06-05,652.98,665.55,650.11,665.40,67100,665.40
2014-06-04,648.19,652.67,645.92,652.24,59900,652.24
2014-06-03,649.70,651.47,645.23,649.42,87400,649.42
2014-06-02,653.62,654.03,646.10,651.05,64900,651.05
2014-05-30,655.88,656.21,651.30,653.01,76700,653.01
2014-05-29,655.55,656.27,652.47,655.41,52900,655.41
2014-05-28,657.70,657.70,652.51,654.12,74600,654.12
2014-05-27,652.44,660.01,652.44,658.32,63900,658.32
2014-05-23,644.17,650.09,643.99,650.03,59500,650.03
2014-05-22,638.85,644.91,638.85,643.47,62500,643.47
2014-05-21,636.41,640.36,632.39,638.16,66300,638.16
2014-05-20,644.14,644.14,631.86,635.37,95100,635.37
2014-05-19,638.22,645.69,637.25,644.59,55600,644.59
2014-05-16,633.94,639.08,630.96,639.08,68200,639.08
2014-05-15,635.98,635.98,626.31,633.97,85100,633.97
2014-05-14,648.88,648.88,636.57,637.26,76100,637.26
2014-05-13,656.95,656.95,649.19,649.20,71700,649.20
2014-05-12,643.81,659.19,643.81,657.08,82700,657.08
2014-05-09,635.87,642.81,634.30,642.69,77800,642.69
2014-05-08,642.08,648.62,636.28,637.59,83500,637.59
2014-05-07,640.95,643.24,634.09,642.91,89300,642.91
2014-05-06,649.49,649.49,640.25,640.25,87000,640.25
2014-05-05,650.75,651.93,644.84,650.84,63700,650.84
2014-05-02,650.92,658.05,650.92,652.56,76000,652.56
2014-05-01,651.21,655.03,644.24,650.63,96900,650.63
2014-04-30,647.83,651.99,641.96,651.97,96700,651.97
2014-04-29,648.10,652.58,647.80,648.26,66400,648.26
2014-04-28,650.75,654.33,638.96,646.44,79200,646.44
2014-04-25,658.49,658.49,648.64,649.73,81100,649.73
2014-04-24,663.10,664.80,656.53,659.81,68600,659.81
2014-04-23,665.49,666.45,661.57,661.69,72400,661.69
2014-04-22,660.09,666.82,660.09,665.66,69000,665.66
2014-04-21,658.11,659.84,654.87,659.81,57800,659.81
2014-04-17,653.66,659.40,651.92,657.73,78700,657.73
2014-04-16,650.06,654.15,649.39,654.01,59500,654.01
2014-04-15,646.85,650.55,636.52,648.06,79300,648.06
2014-04-14,645.51,650.85,640.97,646.08,70700,646.08
2014-04-11,648.75,651.02,640.85,642.79,81200,642.79
2014-04-10,666.74,666.74,648.96,650.77,80300,650.77
2014-04-09,661.26,667.15,659.27,666.90,66200,666.90
2014-04-08,655.22,662.75,653.48,660.40,76100,660.40
2014-04-07,663.50,663.50,652.18,654.79,108600,654.79
2014-04-04,679.23,682.34,661.85,663.44,80500,663.44
2014-04-03,682.50,682.63,675.32,677.90,64800,677.90
2014-04-02,680.00,682.50,678.56,682.33,69100,682.33
2014-04-01,671.67,679.57,671.67,679.51,88100,679.51
2014-03-31,660.89,672.15,660.89,671.12,88500,671.12
2014-03-28,657.80,667.48,657.80,659.25,65900,659.25
2014-03-27,660.12,662.69,655.60,657.71,71800,657.71
2014-03-26,673.06,675.62,659.97,659.97,78800,659.97
2014-03-25,673.51,677.82,668.78,671.55,63900,671.55
2014-03-24,679.11,680.31,667.78,671.82,78600,671.82
2014-03-21,680.99,686.29,677.82,678.37,190000,678.37
2014-03-20,677.27,680.98,675.28,680.08,57900,680.08
2014-03-19,682.82,683.03,674.40,677.82,61900,677.82
2014-03-18,674.30,682.91,674.30,682.91,69500,682.91
2014-03-17,670.67,677.66,670.67,674.04,68900,674.04
2014-03-14,665.63,671.42,664.59,669.63,63500,669.63
2014-03-13,675.86,677.02,664.25,666.62,71700,666.62
2014-03-12,671.92,674.96,668.21,674.94,64100,674.94
2014-03-11,680.45,681.77,671.50,673.45,75900,673.45
2014-03-10,680.52,681.16,676.71,680.31,66600,680.31
2014-03-07,681.96,684.21,678.99,681.22,70500,681.22
2014-03-06,680.03,681.73,678.97,680.70,67800,680.70
2014-03-05,680.75,680.75,677.93,679.57,70500,679.57
2014-03-04,667.17,683.65,667.17,681.11,131100,681.11
2014-03-03,665.04,665.04,657.28,663.41,75000,663.41
2014-02-28,667.78,672.03,664.58,667.33,109800,667.33
2014-02-27,664.94,667.49,662.16,667.49,71300,667.49
2014-02-26,660.53,668.70,660.30,665.42,81400,665.42
2014-02-25,660.58,662.72,658.62,659.71,79700,659.71
2014-02-24,655.90,663.92,655.90,660.56,94300,660.56
2014-02-21,656.54,657.27,654.46,655.18,96400,655.18
2014-02-20,648.45,655.80,648.21,655.25,75200,655.25
2014-02-19,652.63,656.17,647.50,647.65,80900,647.65
2014-02-18,649.38,654.63,648.72,653.98,84500,653.98
2014-02-14,647.71,649.14,643.96,648.62,66500,648.62
2014-02-13,635.91,647.56,634.64,647.49,70200,647.49
2014-02-12,637.33,641.37,636.51,638.80,66400,638.80
2014-02-11,632.16,638.17,631.60,637.01,70600,637.01
2014-02-10,631.23,631.80,626.77,631.73,72200,631.73
