Date,Open,High,Low,Close,Volume,Adj Close
2012-05-25,430.57,432.14,429.45,430.95,000,430.95
2012-05-24,430.33,431.14,425.33,430.55,000,430.55
2012-05-23,427.29,430.86,421.27,430.33,000,430.33
2012-05-22,430.73,433.38,425.76,428.03,000,428.03
2012-05-21,423.29,430.84,421.69,430.73,000,430.73
2012-05-18,426.46,429.15,422.17,423.10,000,423.10
2012-05-17,435.91,436.68,426.48,426.48,000,426.48
2012-05-16,439.23,442.31,435.79,435.94,000,435.94
2012-05-15,438.92,443.04,438.23,439.23,000,439.23
2012-05-14,444.11,444.11,437.92,438.94,000,438.94
2012-05-11,445.65,447.87,442.57,444.72,000,444.72
2012-05-10,444.02,448.11,443.61,445.94,000,445.94
2012-05-09,446.06,446.15,439.88,444.02,000,444.02
2012-05-08,445.96,446.47,439.94,446.09,000,446.09
2012-05-07,445.32,447.70,443.36,446.37,000,446.37
2012-05-04,453.08,453.08,444.97,445.37,000,445.37
2012-05-03,459.75,459.75,451.78,453.50,000,453.50
2012-05-02,457.15,460.07,453.33,459.88,000,459.88
2012-05-01,457.32,465.41,456.93,457.47,000,457.47
2012-04-30,461.88,461.88,457.13,457.32,000,457.32
2012-04-27,457.47,462.54,454.52,462.02,000,462.02
2012-04-26,453.69,458.21,453.03,457.49,000,457.49
2012-04-25,446.46,455.25,446.46,453.86,000,453.86
2012-04-24,443.28,448.01,442.83,446.42,000,446.42
2012-04-23,449.71,449.71,439.74,443.29,000,443.29
2012-04-20,448.19,453.91,448.19,450.38,000,450.38
2012-04-19,450.69,453.72,445.32,447.83,000,447.83
2012-04-18,454.73,454.73,448.73,450.59,000,450.59
2012-04-17,448.11,458.06,448.11,454.75,000,454.75
2012-04-16,446.10,450.48,443.52,447.65,000,447.65
2012-04-13,452.36,452.36,446.10,446.10,000,446.10
2012-04-12,445.97,453.40,445.97,452.36,000,452.36
2012-04-11,439.23,445.90,439.23,445.90,000,445.90
2012-04-10,449.27,449.27,438.93,439.21,000,439.21
2012-04-09,457.74,457.74,447.72,449.66,000,449.66
2012-04-05,458.87,459.24,456.58,457.74,000,457.74
2012-04-04,466.42,466.42,456.74,458.90,000,458.90
2012-04-03,469.41,469.86,464.54,466.42,000,466.42
2012-04-02,463.28,469.42,461.02,469.42,000,469.42
2012-03-30,464.84,467.34,462.31,463.45,000,463.45
2012-03-29,465.40,465.47,459.57,464.64,000,464.64
2012-03-28,468.08,468.51,462.21,465.81,000,465.81
2012-03-27,471.29,472.34,468.08,468.08,000,468.08
2012-03-26,461.97,471.41,461.97,471.29,000,471.29
2012-03-23,457.40,461.98,454.25,461.91,000,461.91
2012-03-22,461.61,461.61,454.73,457.42,000,457.42
2012-03-21,461.56,464.20,460.46,461.69,000,461.69
2012-03-20,465.97,465.97,459.87,461.50,000,461.50
2012-03-19,461.69,469.09,460.53,465.97,000,465.97
2012-03-16,463.33,463.98,461.04,461.77,000,461.77
2012-03-15,458.85,463.30,457.48,463.30,000,463.30
2012-03-14,462.85,463.39,457.63,458.85,000,458.85
2012-03-13,453.84,462.85,453.84,462.85,000,462.85
2012-03-12,453.69,455.14,451.59,453.27,000,453.27
2012-03-09,447.96,456.04,447.80,453.69,000,453.69
2012-03-08,442.93,448.35,441.72,447.96,000,447.96
2012-03-07,438.70,443.04,438.70,442.80,000,442.80
2012-03-06,446.99,446.99,437.81,438.50,000,438.50
2012-03-05,446.23,447.78,442.80,447.21,000,447.21
2012-03-02,453.67,454.11,444.70,446.23,000,446.23
2012-03-01,451.03,458.52,451.03,453.67,000,453.67
2012-02-29,457.81,460.72,451.02,451.02,000,451.02
2012-02-28,459.26,461.65,455.63,457.69,000,457.69
2012-02-27,459.69,461.18,452.47,459.19,000,459.19
2012-02-24,461.45,461.80,459.27,459.76,000,459.76
2012-02-23,455.50,461.89,453.68,461.71,000,461.71
2012-02-22,458.95,459.37,455.41,455.50,000,455.50
2012-02-21,461.77,463.14,457.24,458.96,000,458.96
2012-02-17,461.92,463.75,461.36,461.77,000,461.77
2012-02-16,453.06,461.92,452.95,461.92,000,461.92
2012-02-15,456.99,458.61,451.79,453.06,000,453.06
2012-02-14,458.68,458.68,453.64,456.85,000,456.85
2012-02-13,453.33,459.30,453.33,459.02,000,459.02
2012-02-10,458.92,458.92,452.82,453.00,000,453.00
2012-02-09,462.25,462.70,457.44,459.51,000,459.51
2012-02-08,460.95,464.15,458.12,461.81,000,461.81
2012-02-07,461.53,463.11,458.75,460.95,000,460.95
2012-02-06,463.17,463.17,460.06,461.53,000,461.53
2012-02-03,454.19,464.98,454.19,463.56,000,463.56
2012-02-02,451.79,455.27,451.35,453.83,000,453.83
2012-02-01,442.32,451.87,442.32,451.62,000,451.62
2012-01-31,441.28,444.31,439.07,442.12,000,442.12
2012-01-30,444.57,444.57,438.78,441.06,000,441.06
2012-01-27,441.96,444.92,440.54,444.83,000,444.83
2012-01-26,443.88,445.90,440.67,442.23,000,442.23
2012-01-25,440.61,444.34,437.97,443.73,000,443.73
2012-01-24,437.18,441.12,433.90,440.72,000,440.72
2012-01-23,438.68,441.05,434.95,437.61,000,437.61
2012-01-20,437.31,439.45,436.17,438.68,000,438.68
2012-01-19,435.53,438.81,435.31,437.36,000,437.36
2012-01-18,428.47,435.50,427.84,435.50,000,435.50
2012-01-17,427.25,432.20,427.25,428.47,000,428.47
2012-01-13,431.01,431.01,424.44,427.22,000,427.22
2012-01-12,428.86,431.10,425.86,431.01,000,431.01
2012-01-11,427.59,429.36,425.93,428.70,000,428.70
2012-01-10,422.07,428.02,422.07,427.62,000,427.62
2012-01-09,420.23,422.13,418.09,421.63,000,421.63
2012-01-06,421.51,422.66,417.69,420.18,000,420.18
2012-01-05,418.48,422.39,412.14,421.51,000,421.51
2012-01-04,421.40,421.40,416.20,418.48,000,418.48
2012-01-03,416.30,425.93,416.30,421.55,000,421.55
2011-12-30,418.83,419.71,415.04,415.07,000,415.07
2011-12-29,413.50,419.59,413.50,418.99,000,418.99
2011-12-28,422.28,422.28,412.93,413.29,000,413.29
2011-12-27,419.40,423.59,417.62,422.27,000,422.27
2011-12-23,418.54,420.22,417.62,419.66,000,419.66
2011-12-22,415.67,420.17,415.67,418.30,000,418.30
2011-12-21,413.58,416.29,407.97,415.60,000,415.60
2011-12-20,397.21,413.60,397.21,413.57,000,413.57
2011-12-19,404.20,408.55,396.71,397.17,000,397.17
2011-12-16,400.70,408.65,400.70,403.79,000,403.79
2011-12-15,395.86,401.16,395.86,400.48,000,400.48
2011-12-14,401.05,401.05,394.70,395.17,000,395.17
2011-12-13,408.60,413.57,399.59,401.05,000,401.05
2011-12-12,414.39,414.39,404.04,408.40,000,408.40
2011-12-09,401.51,416.32,401.51,414.51,000,414.51
2011-12-08,414.39,414.39,400.99,401.51,000,401.51
2011-12-07,413.52,415.48,405.83,414.39,000,414.39
2011-12-06,414.54,416.82,411.28,414.05,000,414.05
2011-12-05,408.97,417.85,408.97,414.54,000,414.54
2011-12-02,407.66,415.03,407.66,408.73,000,408.73
2011-12-01,410.16,412.20,407.06,407.06,000,407.06
2011-11-30,388.51,410.48,388.51,410.48,000,410.48
2011-11-29,388.69,390.13,385.33,387.81,000,387.81
2011-11-28,371.34,389.00,371.34,388.68,000,388.68
2011-11-25,375.58,378.85,371.31,371.31,000,371.31
2011-11-23,387.18,387.18,375.84,375.98,000,375.98
2011-11-22,390.26,392.25,386.24,387.46,000,387.46
2011-11-21,398.79,398.79,387.98,390.25,000,390.25
2011-11-18,398.71,401.67,397.34,399.86,000,399.86
2011-11-17,403.72,406.02,397.17,398.63,000,398.63
2011-11-16,410.73,413.20,403.49,403.73,000,403.73
2011-11-15,405.58,412.84,401.69,411.26,000,411.26
2011-11-14,411.71,411.71,403.39,405.71,000,405.71
2011-11-11,401.56,412.29,401.56,412.08,000,412.08
2011-11-10,397.61,403.76,396.82,401.05,000,401.05
