year	quarter	000021DebtCapc	000021OperCapc	000021DeveCapc	000021EarnCapc	000066DebtCapc	000066OperCapc	000066DeveCapc	000066EarnCapc	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth	GDP.growth	IVA.growth	financial.crisis
2005	1	100.44189	-19.816015	-0.322679226	-0.08550244	77.85443748	-9.3680158	1.112170408	-0.129508724	2.53	8.28	5.22 	14.31 	9.4	14.53	0
2005	2	99.99485	-15.419838	0.144404954	0.03291246	159.0603105	-7.9614365	2.966842452	-0.661557956	2.43	8.28	5.22 	14.87 	10.1	16.47	0
2005	3	135.16905	-6.955999	-0.009824113	0.15278796	59.57366956	-6.9078385	-0.543384886	-0.552835955	2.1	8.13	5.22 	17.19 	9.8	16.2	0
2005	4	109.39704	2.34556	0.137638419	0.27963323	66.4176937	-5.0773178	0.447268757	-0.491583326	1.83	8.07	5.22 	18.09 	9.9	16.4	0
2006	1	129.46973	-15.917521	-0.065660402	-0.06610511	-90.74248011	-9.9703499	-1.880215839	0.029486158	1.5	8.05	5.22 	17.52 	10.2	16.83	0
2006	2	97.46261	-4.951875	0.06910722	0.0594285	-38.90127512	-8.151657	0.388649222	-0.007137201	1.23	8.01	5.40 	17.38 	11.7	18	0
2006	3	101.072	10.95432	-0.079468424	0.17366229	-34.33208344	-5.994839	0.166817139	-0.02299866	1.23	7.96	5.52 	16.33 	10.6	16.17	0
2006	4	-4436.65467	33.444866	0.010830509	0.27843569	-19.32462601	-4.4999582	-1.137259067	-0.003896896	1.37	7.86	5.58 	15.61 	10.4	14.77	0
2007	1	308.57075	3.055484	4.768977427	0.33642939	-29.91306313	-9.6349961	-2.058399293	0.041245339	2.43	7.76	5.61 	16.95 	11.1	18.3	0
2007	2	155.27765	28.853524	-1.067221087	0.44087224	58.39111964	-7.1266431	2.247816833	-0.072867647	2.97	7.68	5.79 	16.97 	11.9	18.3	0
2007	3	120.8949	38.94978	-0.252884913	0.53276106	5.31054259	-4.2967951	-0.264344446	-0.084404882	3.83	7.56	6.24 	18.34 	11.5	18.13	1
2007	4	599.18962	64.41218	2.189902655	0.73283042	-0.04968319	10.2256164	-0.661622957	-0.077324144	4.6	7.43	6.51 	17.87 	11.2	17.53	1
2008	1	69.92614	-5.542932	-0.840779462	-0.1083514	-4.15612314	-12.7877003	-3.198181369	0.090787002	7.67	7.16	6.57 	17.47 	10.6	16.2	1
2008	2	69.97879	17.146921	-0.143820295	-0.03603359	-2.92240806	-13.8904743	10.80484278	0.013857987	8.07	6.96	6.57 	17.38 	10.1	15.9	1
2008	3	60.18728	23.604958	0.308921883	0.05578037	-3.81126477	-15.1404325	-1.066830135	0.054299243	7.33	6.84	6.45 	15.80 	9	12.97	1
