year	quarter	000032DebtCapc	000032OperCapc	000032DeveCapc	000032EarnCapc	600171DebtCapc	600171OperCapc	600171DeveCapc	600171EarnCapc	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth
2005	1	-25.7973761	-9.42584861	-98.27218	-0.185915663	-2.928420561	-3.21025753	-0.4229604	-0.038419592	2.53	8.28	5.22	14.30920461
2005	2	-11.6329911	-6.12717822	-96.65554	-0.131606314	-1.563539518	-1.16742752	1.3316015	-0.089853863	2.43	8.28	5.22	14.8707352
2005	3	-6.6877934	-2.99425329	-96.67199	-0.090971049	-1.632737051	1.50955837	2.9602952	-0.135577984	2.1	8.13	5.22	17.19476822
2005	4	-3.9057383	-0.2653764	-96.03755	-0.03625364	-1.548426495	3.74947664	1.2290473	-0.14846061	1.83	8.07	5.22	18.09123087
2006	1	-12.6708246	-8.47656656	-96.27052	-0.200739361	-1.466739706	-2.99338087	4.7706813	0.024066418	1.5	8.05	5.22	17.51718278
2006	2	-11.8842936	-5.64141455	-95.9746	-0.118278241	-2.102041696	-0.65940456	1.5584988	-0.011555427	1.23	8.01	5.4	17.38256767
2006	3	-7.5302771	-2.4490012	-96.58765	-0.050754965	-1.70619424	1.90420045	1.906067	-0.050819888	1.23	7.96	5.52	16.32614112
2006	4	-4.0527061	1.93719758	-95.96989	0.045055309	-3.103274961	3.8625163	3.1359138	-0.145489245	1.37	7.86	5.58	15.60622221
2007	1	-42.3117508	-7.9352831	-96.61589	-0.150952146	-3.660489768	-3.70579572	1.4503807	0.03232991	2.43	7.76	5.61	16.94836817
2007	2	-7.9721353	-3.4773585	-96.33671	-0.035860403	-5.918939525	-2.05234827	1.6969931	-0.005421661	2.97	7.68	5.79	16.96535471
2007	3	-2.712136	2.01614958	-96.34918	0.080733267	-5.721017808	-0.71950036	1.8062181	-0.01112623	3.83	7.56	6.24	18.34050682
2007	4	-4.4494019	9.63182053	-93.63136	0.485599026	-4.338933636	1.21109001	-0.621891	-0.016010287	4.6	7.43	6.51	17.87054535
2008	1	-12.2003111	-5.75328698	-96.19105	0.24293132	3.897511695	-3.61014298	0.8129225	0.093403486	7.67	7.16	6.57	17.47019444
2008	2	-4.260671	-1.36489515	-97.2515	0.322036638	-6.806820428	-2.3368594	13.928183	0.071602562	8.07	6.96	6.57	17.38303282
2008	3	-1.2470704	3.62008407	-96.54975	0.396769679	-3.923191403	-0.83905158	1.3742171	0.060025514	7.33	6.84	6.45	15.79803171
2008	4	-0.1243789	4.11818165	-96.96158	0.244832952	-0.50411576	0.95579779	-3.8916666	0.081064183	6.3	6.84	5.31	15.83323959
2009	1	-38.3151097	-9.22035031	-91.84947	-0.163719129	28.29843358	-3.95259164	3.4425443	0.296122984	0.03	6.84	4.86	21.51701359
2009	2	-27.7936889	-6.13911813	-97.16023	-0.136350742	17.76051035	-2.27151525	1.6741222	0.357904507	-0.93	6.83	4.86	26.66699371
2009	3	-13.005304	-3.89332225	-96.76439	-0.113509954	12.72240228	-0.38055699	1.0192519	0.351040438	-1.17	6.83	4.86	28.71429551
2009	4	-24.1349675	0.08933232	-88.99292	0.021112457	34.97674495	2.4007305	48.1012959	1.101753737	-0.9	6.83	4.86	29.1668298
2010	1	27.6734209	-8.48501284	-97.00145	-0.197865787	-0.663991047	-2.86521624	0.8374895	0.078022881	1.93	6.83	4.86	24.66034388
2010	2	19.2860435	-5.14237358	-96.72765	-0.156099065	-2.764496813	-0.69751619	4.4124531	0.019938768	2.5	6.82	4.86	20.27998732
2010	3	40.9822957	0.25470005	-93.57838	0.003103188	-5.321719891	1.66986492	1.7264825	-0.028735454	2.8	6.77	4.86	18.60427965
2010	4	45.6942316	4.61057656	-96.89303	0.087535452	-3.224808143	4.58608467	0.8195823	-0.058217903	3.17	6.65	5.183333	19.22971745
2011	1	-23.7495013	-7.19043425	-96.05541	-0.157551763	-0.907228489	-2.99630096	0.4716109	0.069430222	4.93	6.58	5.516667	16.55746923
2011	2	-5.0793407	-2.24790373	-96.61711	-0.07657173	-1.794608141	-0.77257975	10.5847654	0.027459462	5.23	6.5	5.85	15.43661454
2011	3	-1.5993547	2.58729451	-97.1063	-0.051999492	-1.429917055	1.67051327	-1.2358122	0.018079516	5.6	6.42	6.1	13.7584146
2011	4	-1.709051	8.05178495	-92.39385	0.070401395	-4.444626275	4.06328267	3.6469377	-0.1814163	5.5	6.36	6.1	16.75804914
2012	1	6.3912203	-9.1429856	-98.30656	-0.386036063	-0.568757067	-3.20220036	0.9071227	0.056594438	4.07	6.31	6.1	17.52529737
2012	2	5.3223497	-4.74073981	-97.28753	-0.399439556	-2.752975488	-1.1634785	-20.7571903	-0.124651918	3.5	6.33	6.016667	17.945193
2012	3	4.4017939	0.71816942	-97.53306	-0.401037063	-2.421168989	1.59872815	0.9429608	-0.20341649	2.93	6.35	5.6	19.07042865
2012	4	-15.7819726	7.27973735	4161.29199	1.332534276	-2.004911559	4.8202437	-25.3233172	-0.223804676	2.67	6.24	5.6	14.49413194
2013	1	-11.5573187	-6.57246221	-97.32914	-0.106167054	-1.570575978	-3.31014607	3.0790226	0.098327516	2.36	6.22	5.6	15.57882161
2013	2	-7.0500314	-1.38620077	-96.63439	0.012791234	-3.433199894	-0.99522891	1.6749893	-0.016485739	2.4	6.15	5.6	15.26833409
2013	3	-7.7177996	3.6196767	-97.45461	0.009409045	-2.692098103	0.3927215	0.8441288	-0.009200366	2.48	6.13	5.6	14.46348577
2013	4	-2.9535958	13.06245995	-74.37311	-0.085426835	-4.691570324	3.9933242	-85.6262788	-0.233793911	2.62	6.09	5.6	14.03099259
2014	1	20.214343	-4.88075134	-96.83227	-0.367470002	5.290753571	-3.53834646	1.3161102	0.229925564	2.33	6.1	5.6	12.865347
2014	2	-5.040584	3.02240288	-96.42304	-0.465447888	-2.57373969	-1.66999871	1.1864968	0.013030781	2.22	6.23	5.6	13.79200024
2014	3	-3.2428206	9.56371581	-96.92233	-0.513255503	-4.945487214	0.6746758	-0.9403735	-0.197890386	2.21	6.17	5.6	12.62835459
2014	4	-27.8951886	23.42872972	-136.0429	0.794210962	-4.408166901	3.5595491	1.0351353	-0.267953577	2.04	6.15	5.6	11.6766024
2015	1	10.3137709	-0.22556224	-97.16635	0.167195891	-0.006897384	-2.76487009	1.9326188	0.076693302	1.02	6.24	5.516667	10.52284864
2015	2	0.8869021	-1.22836352	-98.73257	-0.387689607	-1.447390123	0.07926188	7.8191643	-0.15619375	1.27	6.2	5.1	10.13337373
2015	3	188.3977111	18.48121897	-99.28862	0.630111789	-1.080334837	3.17313906	1.9970872	-0.320865318	1.39	6.3	4.683333	13.24902758
2015	4	6.501402	8.31281055	-97.49836	0.220605131	-0.872804454	5.99995592	1.3870981	-0.481455616	1.43	6.4	4.35	13.50407781
