year	quarter	CR1	QR	ICR	ALR	ART	ITR	APTR	FATR	TATR	WCTR	FAGR	TAGR	PGR	ORGR	OPGR	ROA	FAPM	NARR	OPR	CPI	IVA.growth	GDP.growth	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth
2005	1	2.051922	1.776589	-22.909788	0.330686	1.409542	4.9556	1.477107	2.82423	0.478534	1.390112	-0.007245	0.018863	-0.209957	-0.062592	-0.267414	0.017301	0.102106	0.025942	0.042498	2.53	14.53	9.4	8.28	5.22	14.30920461
2005	2	1.876152	1.525765	-22.462646	0.36548	2.95952	8.459932	2.899967	5.849482	0.985738	2.986281	0.025338	0.063095	0.148009	0.105043	0.046387	0.036365	0.215797	0.056032	0.041314	2.43	16.47	10.1	8.28	5.22	14.8707352
2005	3	2.207059	1.975469	-57.637027	0.345192	4.159246	16.246416	4.483632	8.837691	1.476366	3.888144	0.004654	0.05992	-0.02793	-0.056252	0.054418	0.055343	0.331292	0.08392	0.042522	2.1	16.2	9.8	8.13	5.22	17.19476822
2005	4	2.299386	2.126449	-31.865076	0.328799	5.186013	24.933043	6.134568	11.622801	1.946743	5.059187	0.015882	0.066014	0.099209	-0.026519	0.127866	0.075918	0.453259	0.113663	0.044856	1.83	16.4	9.9	8.07	5.22	18.09123087
2006	1	2.5264	2.333612	-51.937868	0.292878	1.498267	8.868146	1.888788	3.189292	0.525992	1.206872	-0.006667	-0.022841	-0.016198	0.13032	-0.090073	0.019999	0.121259	0.029027	0.041935	1.5	16.83	10.2	8.05	5.22	17.51718278
2006	2	2.45289	2.286074	-19.930717	0.297181	3.122113	19.090524	3.733246	6.400532	1.064294	2.484882	0.007463	-0.025083	0.009255	0.021108	0.150749	0.040228	0.241925	0.058572	0.044625	1.23	18	11.7	8.01	5.4	17.38256767
2006	3	2.742557	2.583069	-23.540254	0.257537	5.59265	34.092398	6.581232	10.030276	1.744643	3.997622	0.073056	-0.050317	-0.001964	0.223828	-0.153176	0.061176	0.351714	0.086663	0.040069	1.23	16.17	10.6	7.96	5.52	16.32614112
2006	4	3.139996	3.01068	4514.186476	0.220404	7.949099	55.82392	10.166909	13.62488	2.495614	5.58436	0.162749	-0.068441	0.01567	0.09181	0.004493	0.082693	0.451465	0.114299	0.03713	1.37	14.77	10.4	7.86	5.58	15.60622221
2007	1	3.665147	3.524753	-231.039456	0.196419	4.126996	27.561056	4.724486	4.33799	0.738389	1.582081	-0.01127	0.020523	3.375687	0.075165	3.824599	0.085671	0.503315	0.107671	0.135002	2.43	18.3	11.1	7.76	5.61	16.94836817
2007	2	2.985878	2.871969	-77.746034	0.232451	6.990345	52.706283	8.035279	7.848169	1.384516	3.167886	0.028285	-0.01169	-0.77081	-0.154845	-0.796914	0.107013	0.606604	0.137612	0.088025	2.97	18.3	11.9	7.68	5.79	16.96535471
