year	quarter	DD
2005	1	0.07577907
2005	2	0.02976986
2005	3	0.0406112
2005	4	0.10631152
2006	1	0.13499811
2006	2	0.12896494
2006	3	0.07891979
2006	4	0.10283413
2007	1	0.16314452
2007	2	0.14762267
2007	3	0.14574632
2007	4	0.21490834
2008	1	0.16717754
2008	2	0.13421953
2008	3	0.10677739
2008	4	0.06575759
2009	1	0.13506747
2009	2	0.17321512
2009	3	0.17337776
2009	4	0.21471119
2010	1	0.29707271
2010	2	0.23658491
2010	3	0.2367938
2010	4	0.24381722
2011	1	0.30043238
2011	2	0.28233586
2011	3	0.2923775
2011	4	0.20257724
2012	1	0.21013762
2012	2	0.22142762
2012	3	0.21999693
2012	4	0.22546971
2013	1	0.28281919
2013	2	0.18672444
2013	3	0.25723767
2013	4	0.27229857
2014	1	0.26844729
2014	2	0.306081
2014	3	0.23543501
2014	4	0.26653519
2015	1	0.27790785
2015	2	0.21602691
2015	3	0.12309037
2015	4	0.18752532
