date	quarter	000021.DD	000032.DD	000066.DD	000727.DD	000748.DD	600171.DD	600536.DD	600755.DD	600764.DD	600775.DD
2005-01	1	0.271562269	0.22611557	0.324884745	0.17705974	0.2441394	0.3282671	0.23949679	-0.109940788	0.26098401	0.07577907
2005-02	2	0.226976715	0.12436287	0.280791565	0.07705424	0.2102863	0.3104471	0.20619417	-0.255895647	0.21746679	0.02976986
2005-03	3	0.327406535	0.18103872	0.325024819	0.02746256	0.1963903	0.2803468	0.08252946	-0.337587783	0.17946141	0.0406112
2005-04	4	0.362083342	0.18702062	0.352129672	0.04198867	0.2074674	0.3552648	0.30767706	-0.077920205	0.158244	0.10631152
2006-01	1	0.359544342	0.12124464	0.380427207	0.10965208	0.2937261	0.3269098	0.25260314	-0.263634962	0.07227478	0.13499811
2006-02	2	0.192400074	0.10893351	0.2042535	0.0965492	0.1605784	0.2915866	0.1748323	-0.0901201	0.10607036	0.12896494
2006-03	3	0.288167499	0.08333448	0.28983943	0.14043541	0.1946924	0.3319163	0.23640556	-0.112151614	0.11221655	0.07891979
2006-04	4	0.414593864	0.16879438	0.364144151	0.14694638	0.2685834	0.4113548	0.26318775	0.004480297	0.14193998	0.10283413
2007-01	1	0.235017852	0.11370825	0.245211341	0.13361432	0.2806939	0.2748088	0.17310117	0.002553851	0.13294732	0.16314452
2007-02	2	0.257207	0.13672886	0.149876972	0.13223438	0.2104198	0.2316988	0.18160395	0.093074841	0.15279028	0.14762267
2007-03	3	0.268986896	0.10954727	0.190177971	0.16197555	0.201286	0.2378839	0.18189042	0.11159804	0.11839888	0.14574632
2007-04	4	0.303191883	0.15911457	0.239213994	0.19320753	0.231634	0.280028	0.19933913	0.113351166	0.13026243	0.21490834
2008-01	1	0.253825029	0.19931893	0.204899674	0.18299676	0.2417362	0.2530991	0.19359394	0.07827654	0.16007192	0.16717754
2008-02	2	0.197155175	0.13826815	0.123875142	0.14065509	0.1477109	0.2096056	0.09321969	0.032589104	0.09040467	0.13421953
2008-03	3	0.179357569	0.10643335	0.068331217	0.12431185	0.1499311	0.2140549	0.05904026	0.004660925	0.03026904	0.10677739
2008-04	4	0.207624273	0.1083546	0.066537517	0.08675324	0.1563157	0.2210585	-0.01958821	-0.039463641	0.02727891	0.06575759
2009-01	1	0.213153058	0.17561007	0.128117091	0.14204731	0.1851995	0.2591287	0.08304604	-0.00841061	0.07237844	0.13506747
2009-02	2	0.233757818	0.26312513	0.124615929	0.19218202	0.2199017	0.270259	0.16058369	0.027687067	0.15836384	0.17321512
2009-03	3	0.245589245	0.20945519	0.173327424	0.18206246	0.2599792	0.2450838	0.20667627	-0.024924946	0.16907688	0.17337776
2009-04	4	0.305926415	0.18976117	-0.451186458	0.21970489	0.263637	0.2835056	0.23486112	-0.124664042	0.18705342	0.21471119
2010-01	1	0.328500727	0.26886987	-0.392123972	0.30018868	0.3199235	0.3306906	0.27115841	-0.05811312	0.21812842	0.29707271
2010-02	2	0.195476565	0.18902175	-0.173162261	0.23228474	0.3000455	0.3149985	0.19280083	-0.12496241	0.20643289	0.23658491
2010-03	3	0.23525082	0.23012412	-0.312969833	0.29549587	0.3228502	0.3947094	0.22053581	-0.088248806	0.24321171	0.2367938
2010-04	4	0.263645247	0.22064083	-0.195494029	0.19885812	0.3248219	0.3146281	0.26225455	-0.298863315	0.28385435	0.24381722
2011-01	1	0.371918987	0.30377255	-0.263494737	0.22563101	0.3631548	0.3974724	0.35585706	-0.473969371	0.3506238	0.30043238
2011-02	2	0.357281654	0.27160495	-0.326311359	0.28672013	0.3314458	0.3481173	0.30156798	-0.453626301	0.19623961	0.28233586
2011-03	3	0.224586259	0.28087185	-0.657919905	0.27306881	0.3653074	0.3842262	0.28679699	-0.359134018	0.23987195	0.2923775
2011-04	4	0.111184652	0.25341591	-0.664112436	0.26185325	0.3600787	0.364717	0.1796573	-0.677716463	0.24320799	0.20257724
2012-01	1	0.071898423	0.21647566	-0.735038895	0.19398489	0.3282983	0.2892869	0.21592926	-0.718231071	0.23637445	0.21013762
2012-02	2	0.106490408	0.19210401	-1.418665988	0.21538892	0.3124551	0.3251797	0.25873955	-0.369361768	0.27029682	0.22142762
2012-03	3	0.096389248	0.14674725	-1.940021718	0.17867418	0.3663297	0.3515107	0.22722696	-0.809707485	0.31737914	0.21999693
2012-04	4	0.004647639	0.17272376	-1.884740308	0.20848021	0.3803309	0.3957931	0.17204831	-1.004337133	0.36546528	0.22546971
2013-01	1	-0.053702376	0.24732446	-2.370117479	0.31297962	0.3086876	0.4142095	0.16594005	-0.937970671	0.37270658	0.28281919
2013-02	2	-0.077200952	0.28005446	-2.269836918	0.19926575	0.267514	0.3676744	0.1425174	-1.425292412	0.28892275	0.18672444
2013-03	3	-0.049713653	0.2298401	-1.429126357	0.18738246	0.2624909	0.2988715	0.12614416	-0.801808784	0.34490493	0.25723767
2013-04	4	-0.034028759	0.29263252	-1.442733231	0.32830113	0.2935266	0.2275759	0.16518793	-0.68824122	0.27200923	0.27229857
2014-01	1	-0.004865801	0.29125699	-1.554512451	0.21854208	0.3279187	0.2759642	0.23051095	-0.917325189	0.3418088	0.26844729
2014-02	2	-0.084193623	0.30491567	-2.042341534	0.33880735	0.3689089	0.3134231	0.09670524	-1.340534444	0.34993114	0.306081
2014-03	3	-0.02067048	0.62189135	-1.291468095	0.26865086	0.4359045	0.3810219	0.23619266	-0.882532622	0.62436138	0.23543501
2014-04	4	0.047293967	0.13367686	-0.690707228	-0.95625622	0.4094987	0.3875462	0.25072738	-0.125408879	0.23374794	0.26653519
2015-01	1	0.113239957	0.30474977	-0.226695736	0.15094413	0.3430083	0.3124715	0.22494023	-0.146239883	0.23120432	0.27790785
2015-02	2	0.15977475	0.20642172	-0.030946881	0.20654342	0.1380275	0.2281409	0.22644816	-0.100027887	0.20586198	0.21602691
2015-03	3	0.053360659	0.12889654	-0.036245918	0.10568432	0.3240683	0.140726	0.12052796	-0.181034218	0.11886324	0.12309037
2015-04	4	0.110080115	0.17814503	-0.002505544	0.15237047	0.3216964	0.2115968	0.20303561	-0.283729133	0.17758553	0.18752532
