year	quarter	DebtAbility	OperAbility	DevelopAbility	EarningAbility	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth
2005	1	26.8122614	-46.1821295	-1.23585468	-1.71766618	2.53	8.28	5.22	14.30920461
2005	2	30.7367054	-33.0575504	-1.90619754	-1.33545896	2.43	8.28	5.22	14.8707352
2005	3	31.1051666	-20.2843314	1.07073103	-1.18238129	2.1	8.13	5.22	17.19476822
2005	4	31.7674578	-3.7203932	3.96586562	-0.82513691	1.83	8.07	5.22	18.09123087
2006	1	29.2230249	-47.0564908	0.4367836	-1.53885682	1.5	8.05	5.22	17.51718278
2006	2	29.7015775	-32.2619516	-2.71491245	-1.5039739	1.23	8.01	5.4	17.38256767
2006	3	31.2405732	-15.5621033	11.80346057	-1.14699277	1.23	7.96	5.52	16.32614112
2006	4	32.5524873	2.299129	2.1357809	-0.72122118	1.37	7.86	5.58	15.60622221
2007	1	28.5997271	-41.1588125	0.16383862	-1.64429279	2.43	7.76	5.61	16.94836817
2007	2	30.2543615	-22.8452449	-2.01070905	-1.39177233	2.97	7.68	5.79	16.96535471
2007	3	31.1128485	-5.5823603	2.24508562	-1.09319656	3.83	7.56	6.24	18.34050682
2007	4	32.246367	13.5659336	3.30298407	-0.43389389	4.6	7.43	6.51	17.87054535
2008	1	34.880414	-41.6358438	0.68891838	-1.4446846	7.67	7.16	6.57	17.47019444
2008	2	34.0042831	-26.0610498	5.60828826	-1.21355081	8.07	6.96	6.57	17.38303282
2008	3	41.3938868	-3.5652505	6.35951037	0.16564258	7.33	6.84	6.45	15.79803171
2008	4	34.9188549	14.5086652	-0.33290193	-0.47391423	6.3	6.84	5.31	15.83323959
2009	1	19.1171425	-46.1983492	1.68198511	-2.18609961	0.03	6.84	4.86	21.51701359
2009	2	19.4160562	-29.9561264	0.71440207	-2.16180408	-0.93	6.83	4.86	26.66699371
2009	3	24.3236663	-17.8504442	-30.98613538	-2.06530517	-1.17	6.83	4.86	28.71429551
2009	4	45.922597	6.8391828	17.9830091	-0.72218482	-0.9	6.83	4.86	29.1668298
2010	1	33.2846342	-39.0256335	0.03282519	-1.88731632	1.93	6.83	4.86	24.66034388
2010	2	30.5404666	-17.224179	-0.11929422	-1.66573602	2.5	6.82	4.86	20.27998732
2010	3	29.4529916	0.6331522	1.94950178	-1.39370838	2.8	6.77	4.86	18.60427965
2010	4	26.1926582	18.1135504	10.25173575	0.06624608	3.17	6.65	5.183333	19.22971745
2011	1	27.4611031	-40.184518	0.69020283	-1.37559202	4.93	6.58	5.516667	16.55746923
2011	2	24.2172557	-18.7503749	2.32245154	-1.1737746	5.23	6.5	5.85	15.43661454
2011	3	22.8767243	2.4119649	-0.30807145	-1.22234094	5.6	6.42	6.1	13.7584146
2011	4	15.9486465	32.8662781	-24.8363489	0.35015973	5.5	6.36	6.1	16.75804914
2012	1	38.2167578	-28.5746028	-0.55188879	-1.98712051	4.07	6.31	6.1	17.52529737
2012	2	-493.2961424	0.3752972	1.22737265	-2.240209	3.5	6.33	6.016667	17.945193
2012	3	66.5201753	38.4024604	-39.52575562	1.85442458	2.93	6.35	5.6	19.07042865
2012	4	-842.6371813	81.7663748	1.43578324	4.41584603	2.67	6.24	5.6	14.49413194
2013	1	24.1958937	-30.6932214	0.85126151	-0.95642703	2.36	6.22	5.6	15.57882161
2013	2	16.3857254	2.3505747	4.61368688	0.7635096	2.4	6.15	5.6	15.26833409
2013	3	11.3681475	38.9135946	1.78963548	2.31148997	2.48	6.13	5.6	14.46348577
2013	4	0.9250038	89.8644049	3.62472128	5.91777005	2.62	6.09	5.6	14.03099259
2014	1	53.0744406	-26.1011828	0.91066209	-0.58546346	2.33	6.1	5.6	12.865347
2014	2	39.9398042	12.489176	3.29045401	1.40894874	2.22	6.23	5.6	13.79200024
2014	3	43.5001355	49.7698548	2.20656119	3.94915685	2.21	6.17	5.6	12.62835459
2014	4	46.637404	95.7642157	1.94423149	5.92719765	2.04	6.15	5.6	11.6766024
2015	1	34.7434326	-31.4973035	1.08071108	-0.58718329	1.02	6.24	5.516667	10.52284864
2015	2	39.7117218	7.566799	3.30092743	1.37357513	1.27	6.2	5.1	10.13337373
2015	3	43.691283	45.9031795	2.01236695	3.71790859	1.39	6.3	4.683333	13.24902758
2015	4	47.7194589	110.6256598	2.83233432	7.65538288	1.43	6.4	4.35	13.50407781
