year	quarter	CR1	QR	ICR	ALR	ART	ITR	APTR	FATR	TATR	WCTR	FAGR	TAGR	PGR	ORGR	OPGR	ROA	FAPM	NARR	OPR	CPI	IVA.growth	GDP.growth	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth
2005	1	4.44803	3.479233	-11.281549	0.194027	0.248063	0.335842	0.382276	0.709092	0.062577	0.102313	-0.024423	-0.14783	-1.748069	-0.597688	-1.742541	-0.005022	-0.056908	-0.006749	-0.100667	2.53	14.53	9.4	8.28	5.22	14.30920461
2005	2	4.003271	3.149411	69.714867	0.217558	0.788143	0.944788	1.091356	2.253362	0.194141	0.32059	-0.036915	-0.114816	-5.247662	1.157721	-4.803647	0.016025	0.185995	0.021826	0.089379	2.43	16.47	10.1	8.28	5.22	14.8707352
2005	3	2.733822	2.165096	-20.551928	0.315473	1.044763	1.305985	1.49242	3.376471	0.272797	0.490863	-0.020858	0.026755	-0.481858	-0.252657	-0.516744	0.025006	0.309509	0.036349	0.097955	2.1	16.2	9.8	8.13	5.22	17.19476822
2005	4	2.780578	2.304402	-931.982732	0.305493	1.965231	2.288673	2.390945	4.905551	0.428392	0.773083	0.151228	0.038136	0.773289	0.713361	0.978543	0.042679	0.488717	0.061584	0.110629	1.83	16.4	9.9	8.07	5.22	18.09123087
2006	1	2.09023	1.543058	2.768679	0.421052	0.49553	0.443516	0.494569	1.347897	0.108473	0.21865	-0.068227	0.202408	-0.907103	-0.225514	-0.906643	0.001475	0.018329	0.002336	0.015973	1.5	16.83	10.2	8.05	5.22	17.51718278
2006	2	2.585397	1.790771	12.278201	0.331849	1.3358	1.030188	2.182389	3.183642	0.278919	0.523328	-0.052568	0.039465	10.440242	0.381078	9.328981	0.019816	0.22618	0.029095	0.075997	1.23	18	11.7	8.01	5.4	17.38256767
2006	3	2.608097	1.796855	10.381855	0.322848	1.940956	1.893551	2.881929	5.519913	0.482086	0.910522	-0.066225	0.031523	-0.785885	0.244224	-0.88701	0.02381	0.272627	0.034724	0.048688	1.23	16.17	10.6	7.96	5.52	16.32614112
2006	4	2.39066	1.896254	11.688175	0.336009	2.504927	3.03345	3.362598	6.022723	0.61797	1.229896	0.321938	0.07627	3.688483	-0.2602	9.247481	0.041266	0.402177	0.060802	0.072732	1.37	14.77	10.4	7.86	5.58	15.60622221
2007	1	2.458936	1.820787	2.581911	0.319701	0.196349	0.180069	0.213671	0.456007	0.050966	0.109941	-0.03299	-0.018153	-0.91189	-0.638318	-0.968494	0.001525	0.013647	0.002265	0.01309	2.43	18.3	11.1	7.76	5.61	16.94836817
2007	2	2.035125	1.532282	6.507085	0.384185	0.648398	0.739632	0.848123	1.772143	0.195195	0.455564	0.034736	0.080236	5.388738	2.020022	15.194244	0.010737	0.097475	0.016768	0.055987	2.97	18.3	11.9	7.68	5.79	16.96535471
2007	3	2.192049	1.523421	7.980501	0.341447	1.107293	1.25354	1.635924	3.059395	0.341248	0.786631	0.009899	0.02915	0.297091	-0.061148	-0.073025	0.023352	0.209354	0.035243	0.061494	3.83	18.13	11.5	7.56	6.24	18.34050682
2007	4	2.1799	1.444272	9.528019	0.338743	1.759262	1.607422	2.544174	4.401009	0.450115	1.07207	-0.137104	0.051123	0.382265	-0.194116	0.509325	0.039982	0.390926	0.060221	0.078569	4.6	17.53	11.2	7.43	6.51	17.87054535
2008	1	2.334969	1.272764	2.915635	0.301399	0.275767	0.16987	0.483655	0.691967	0.064658	0.170369	-0.030954	-0.051965	-0.936724	-0.426357	-1.176786	0.00107	0.011451	0.001575	-0.040001	7.67	16.2	10.6	7.16	6.57	17.47019444
2008	2	2.312593	1.314889	6.780838	0.304629	0.867954	0.605157	1.42953	2.288002	0.210889	0.556595	-0.055139	-0.049391	9.079595	1.265906	-5.486686	0.011839	0.128448	0.017465	0.042705	8.07	15.9	10.1	6.96	6.57	17.38303282
2008	3	2.299645	1.248238	6.279692	0.305003	1.588172	0.966853	2.205294	3.552564	0.34535	0.91482	0.067571	-0.033825	-0.003971	-0.062189	-0.19374	0.022389	0.230308	0.033029	0.052713	7.33	12.97	9	6.84	6.45	15.79803171
2008	4	2.076713	1.150708	10.068472	0.327511	3.037278	1.755776	3.141146	3.401063	0.597923	1.67175	1.86072	0.030099	1.030099	0.998173	1.489701	0.04261	0.242369	0.063887	0.06687	6.3	6.43	6.8	6.84	5.31	15.83323959
2009	1	1.910922	1.113184	2.119953	0.365983	0.563614	0.275934	0.390827	0.450394	0.111123	0.337446	-0.01774	0.062657	-0.939172	-0.558534	-0.943559	0.001216	0.004929	0.001863	0.010847	0.03	5.46	6.1	6.84	4.86	21.51701359
2009	2	1.855724	1.127237	4.529916	0.376922	1.377732	0.732587	0.987949	1.124523	0.273316	0.839494	-0.032443	0.078291	3.575656	0.478233	1.790303	0.00673	0.02769	0.010404	0.01659	-0.93	8.97	7.9	6.83	4.86	26.66699371
2009	3	1.763591	0.994628	8.879537	0.410237	1.901779	0.96055	1.454236	1.648259	0.383049	1.194931	-0.044753	0.159976	1.134521	-0.234566	-0.610056	0.017819	0.076674	0.028371	0.01466	-1.17	12.33	8.9	6.83	4.86	28.71429551
2009	4	1.506662	0.89917	21.128571	0.515294	3.833226	2.112594	2.576888	4.167949	0.816748	2.755068	-0.039162	0.111171	2.763864	4.462396	44.516411	0.047573	0.242769	0.086866	0.060276	-0.9	17.93	10.7	6.83	4.86	29.1668298
2010	1	1.504464	0.881587	2.402717	0.525119	0.510789	0.3547	0.455981	0.792783	0.143078	0.568019	-0.010112	0.011533	-0.888413	-0.706212	-0.924256	0.003538	0.019602	0.007374	0.022409	1.93	20.03	11.9	6.83	4.86	24.66034388
2010	2	1.544398	0.880079	4.765139	0.51918	1.188912	0.760268	1.008818	1.765103	0.316272	1.22208	-0.013376	0.022745	2.203718	0.222813	2.749985	0.014789	0.082535	0.030635	0.047887	2.5	16	10.3	6.82	4.86	20.27998732
2010	3	1.422191	0.846013	3.662283	0.581889	1.655717	0.977523	1.4785	2.427433	0.401434	1.656793	-0.031718	0.171386	-1.073228	-0.340982	-1.191605	0.013007	0.078655	0.028984	0.029829	2.8	13.53	9.6	6.77	4.86	18.60427965
2010	4	1.354494	0.993313	8.416538	0.608314	2.64191	2.498517	2.79238	5.020102	0.781205	3.502292	0.017069	0.336002	-49.526032	3.206811	-20.259173	0.046201	0.296895	0.107735	0.062386	3.17	13.3	9.8	6.65	5.183333	19.22971745
2011	1	1.357842	0.909396	0.535036	0.606422	0.263593	0.290597	0.305638	0.631557	0.086073	0.419422	-0.019588	-0.00635	-1.02029	-0.762138	-1.048178	-0.00061	-0.004473	-0.001553	-0.018527	4.93	14.33	9.7	6.58	5.516667	16.55746923
2011	2	1.379719	0.933129	3.79472	0.608392	0.735669	0.873583	0.951968	1.877155	0.251063	1.191249	-0.032042	0.018742	-14.503271	0.953572	-5.284421	0.007528	0.056282	0.01922	0.020603	5.23	13.93	9.5	6.5	5.85	15.43661454
2011	3	1.321311	0.882362	2.365317	0.628916	1.160501	1.403138	1.423312	3.084471	0.404464	2.049342	-0.01808	0.073646	-1.065181	-0.009988	-1.352142	0.006812	0.051952	0.017879	0.006731	5.6	13.77	9.1	6.42	6.1	13.7584146
2011	4	1.284039	1.005112	7.849736	0.642567	2.345071	3.837916	2.53599	6.672202	0.891706	4.779812	0.172914	0.230685	-78.543675	2.466268	-17.862853	0.043519	0.325631	0.116739	0.043502	5.5	12.8	8.9	6.36	6.1	16.75804914
2012	1	1.344755	0.949606	1.076012	0.60498	0.211197	0.338315	0.195329	0.648024	0.087863	0.481733	-0.025045	-0.095385	-0.995248	-0.820975	-1.077044	0.000168	0.00124	0.000448	-0.030258	4.07	12	8.1	6.31	6.1	17.52529737
2012	2	1.341054	0.876313	2.882619	0.607892	0.597208	0.877106	0.55265	1.747511	0.232844	1.277638	-0.033752	-0.070427	43.65827	0.684788	-3.753044	0.007579	0.056883	0.020258	0.019757	3.5	9.47	7.6	6.33	6.016667	17.945193
2012	3	1.271648	0.829216	2.641083	0.662471	1.010499	1.38942	0.91909	3.034382	0.375911	2.210577	-0.044411	0.064098	-0.682479	0.158493	-1.021721	0.009286	0.074955	0.026747	0.01105	2.93	9.1	7.4	6.35	5.6	19.07042865
2012	4	1.304922	1.015608	5.42076	0.629863	2.095228	3.823542	1.951014	6.383642	0.792042	4.501335	-0.058445	0.046151	11.353844	1.586179	-198.861496	0.03679	0.296515	0.101091	0.042258	2.67	10	7.9	6.24	5.6	14.49413194
2013	1	1.376095	0.970419	0.826462	0.581842	0.202328	0.246033	0.153926	0.572033	0.070531	0.371111	-0.025688	-0.115579	-1.011527	-0.835397	-1.086744	-0.000328	-0.002661	-0.000836	-0.037377	2.36	9.6	7.7	6.22	5.6	15.57882161
2013	2	1.786459	1.345058	2.279581	0.483092	0.665234	0.87206	0.558878	2.006767	0.211224	0.76964	-0.033534	0.198667	-18.132719	1.494192	-2.414473	0.004537	0.0431	0.010078	0.004434	2.4	9.13	7.5	6.15	5.6	15.26833409
2013	3	1.669385	1.284476	2.669197	0.516694	1.20149	1.781898	1.044413	3.900666	0.394378	1.505785	-0.02988	0.29318	0.019652	0.327198	-0.564164	0.00906	0.089605	0.020877	0.005663	2.48	10.1	7.8	6.13	5.6	14.46348577
2013	4	1.34712	1.10155	5.55299	0.592097	2.557616	3.579784	1.842381	7.501063	0.66055	3.531424	-0.046298	0.610924	4.569302	0.86438	20.167096	0.030996	0.351983	0.078782	0.040557	2.62	10	7.7	6.09	5.6	14.03099259
2014	1	1.389738	1.014168	1.060869	0.542577	0.321988	0.346614	0.214636	0.992959	0.07224	0.374833	-0.024379	-0.108027	-0.994303	-0.731582	-1.098177	0.000112	0.001545	0.000261	-0.028906	2.33	8.7	7.4	6.1	5.6	12.865347
