year	quarter	DD
2005	1	0.276549
2005	2	0.2325979
2005	3	0.2004352
2005	4	0.2759682
2006	1	0.2285986
2006	2	0.1648439
2006	3	0.2121976
2006	4	0.2581229
2007	1	0.2349027
2007	2	0.2140994
2007	3	0.2535144
2007	4	0.2813638
2008	1	0.2373497
2008	2	0.1988423
2008	3	0.202512
2008	4	0.1852704
2009	1	0.1947549
2009	2	0.2339299
2009	3	0.2553059
2009	4	0.2990071
2010	1	0.1515485
2010	2	0.1544633
2010	3	0.2777156
2010	4	0.2951543
2011	1	0.2787457
2011	2	0.2639713
2011	3	0.2951147
2011	4	0.2336073
2012	1	0.1995642
2012	2	0.2363068
2012	3	0.2183939
2012	4	0.1998402
2013	1	0.1900629
2013	2	0.2542989
2013	3	0.2534266
2013	4	0.2025097
2014	1	0.2853446
2014	2	0.2849572
2014	3	0.240075
2014	4	0.1959661
2015	1	0.2552034
2015	2	0.1942442
2015	3	0.1254401
2015	4	0.3185561
