year	quarter	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth	GDP.growth	IVA.growth	financial.crisis
2005	1	2.53	8.28	5.22	14.31	9.4	14.53	0
2005	2	2.43	8.28	5.22	14.87	10.1	16.47	0
2005	3	2.1	8.13	5.22	17.19	9.8	16.2	0
2005	4	1.83	8.07	5.22	18.09	9.9	16.4	0
2006	1	1.5	8.05	5.22	17.52	10.2	16.83	0
2006	2	1.23	8.01	5.4	17.38	11.7	18	0
2006	3	1.23	7.96	5.52	16.33	10.6	16.17	0
2006	4	1.37	7.86	5.58	15.61	10.4	14.77	0
2007	1	2.43	7.76	5.61	16.95	11.1	18.3	0
2007	2	2.97	7.68	5.79	16.97	11.9	18.3	0
2007	3	3.83	7.56	6.24	18.34	11.5	18.13	1
2007	4	4.6	7.43	6.51	17.87	11.2	17.53	1
2008	1	7.67	7.16	6.57	17.47	10.6	16.2	1
2008	2	8.07	6.96	6.57	17.38	10.1	15.9	1
2008	3	7.33	6.84	6.45	15.8	9	12.97	1
2008	4	6.3	6.84	5.31	15.83	6.8	6.43	1
2009	1	0.03	6.84	4.86	21.52	6.1	5.46	1
2009	2	-0.93	6.83	4.86	26.67	7.9	8.97	0
2009	3	-1.17	6.83	4.86	28.71	8.9	12.33	0
2009	4	-0.9	6.83	4.86	29.17	10.7	17.93	0
2010	1	1.93	6.83	4.86	24.66	11.9	20.03	0
2010	2	2.5	6.82	4.86	20.28	10.3	16	0
2010	3	2.8	6.77	4.86	18.6	9.6	13.53	0
2010	4	3.17	6.65	5.18	19.23	9.8	13.3	0
2011	1	4.93	6.58	5.52	16.56	9.7	14.33	0
2011	2	5.23	6.5	5.85	15.44	9.5	13.93	0
2011	3	5.6	6.42	6.1	13.76	9.1	13.77	0
2011	4	5.5	6.36	6.1	16.76	8.9	12.8	0
2012	1	4.07	6.31	6.1	17.53	8.1	12	0
2012	2	3.5	6.33	6.02	17.95	7.6	9.47	0
2012	3	2.93	6.35	5.6	19.07	7.4	9.1	0
2012	4	2.67	6.24	5.6	14.49	7.9	10	0
2013	1	2.36	6.22	5.6	15.58	7.7	9.6	0
2013	2	2.4	6.15	5.6	15.27	7.5	9.13	0
2013	3	2.48	6.13	5.6	14.46	7.8	10.1	0
2013	4	2.62	6.09	5.6	14.03	7.7	10	0
2014	1	2.33	6.1	5.6	12.87	7.4	8.7	0
2014	2	2.22	6.23	5.6	13.79	7.5	8.9	0
2014	3	2.21	6.17	5.6	12.63	7.3	7.97	0
2014	4	2.04	6.15	5.6	11.68	7.3	7.6	0
2015	1	1.02	6.24	5.52	10.52	7	6.27	0
2015	2	1.27	6.2	5.1	10.13	7	6.27	0
2015	3	1.39	6.3	4.68	13.25	6.9	5.93	0
2015	4	1.43	6.4	4.35	13.5	6.8	5.9	0
