year	quarter	600130DebtCapc	600130OperCapc	600130DeveCapc	600130EarnCapc	600776DebtCapc	600776OperCapc	600776DeveCapc	600776EarnCapc	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth	GDP.growth	IVA.growth	financial.crisis
2005	1	7.092053	-11.453908	-1.05	-0.0261529	-78.8711118	-11.067534	-1.1470376	-0.19764128	2.53	8.28	5.22 	14.31 	9.4	14.53	0
2005	2	-139.77739	-6.895336	8.28	0.24974103	-30.5831067	-8.418425	-7.6690666	-0.290659831	2.43	8.28	5.22 	14.87 	10.1	16.47	0
2005	3	770.52923	1.358268	-1.26	0.60493035	-391.81667	-5.357995	-1.0079734	-0.370806426	2.1	8.13	5.22 	17.19 	9.8	16.2	0
2005	4	-115.615866	2.231505	-1.04	0.98774114	25.4836944	3.047473	0.7123974	-0.575795556	1.83	8.07	5.22 	18.09 	9.9	16.4	0
2006	1	-1899.390284	-13.209663	0.466	-0.02830713	3.2065923	-4.132573	-2.3067117	-0.202034442	1.5	8.05	5.22 	17.52 	10.2	16.83	0
2006	2	22.177058	-9.057321	0.172	-0.03328195	1.9306543	7.271788	0.1576369	-0.180221616	1.23	8.01	5.40 	17.38 	11.7	18	0
2006	3	41.731259	-6.344692	4.47	-0.01422326	0.8214122	15.511197	-1.3460739	-0.157254219	1.23	7.96	5.52 	16.33 	10.6	16.17	0
2006	4	40.599263	-1.45759	1.5	-0.03560312	-0.9865411	30.584655	-0.2677707	-0.124996388	1.37	7.86	5.58 	15.61 	10.4	14.77	0
2007	1	51.9315	-14.067906	4.13	0.07862916	13.4729165	-2.654736	-1.824315	-0.19351615	2.43	7.76	5.61 	16.95 	11.1	18.3	0
2007	2	134.876698	-10.595611	-13.3	0.79570497	11.9671721	8.179543	0.8906653	-0.140590113	2.97	7.68	5.79 	16.97 	11.9	18.3	0
2007	3	-24.601287	-7.042833	-1.2	1.73235155	11.8379289	17.291733	-0.912963	-0.077922672	3.83	7.56	6.24 	18.34 	11.5	18.13	1
2007	4	23.50772	-1.039415	-0.0403	2.09076555	14.1211899	26.729487	-0.3367787	0.091276162	4.6	7.43	6.51 	17.87 	11.2	17.53	1
2008	1	42.569179	-14.872618	-0.204	0.1814178	5.7577045	-5.253829	-2.211365	-0.199830042	7.67	7.16	6.57 	17.47 	10.6	16.2	1
2008	2	44.2471	-11.653826	0.673	0.13485102	6.6901506	3.760235	37.7735941	-0.149434999	8.07	6.96	6.57 	17.38 	10.1	15.9	1
2008	3	41.357792	-7.660672	3.69	0.25844901	8.0114842	12.586598	-0.331809	-0.092776483	7.33	6.84	6.45 	15.80 	9	12.97	1
2008	4	26.363391	-5.455159	-5.6	0.877699	8.2645498	21.106956	-1.9670084	-0.053930277	6.3	6.84	5.31 	15.83 	6.8	6.43	1
2009	1	60.389909	-11.855337	0.159	0.12106357	21.4117986	-8.117917	0.7582039	-0.182240463	0.03	6.84	4.86 	21.52 	6.1	5.46	1
2009	2	80.073176	-3.51426	-1.29	0.25189108	11.3454237	-5.16438	-1.4417526	-0.14975902	-0.93	6.83	4.86 	26.67 	7.9	8.97	0
2009	3	87.198939	9.329962	0.184	0.26113548	11.0302356	-2.319942	0.6770183	-0.079717477	-1.17	6.83	4.86 	28.71 	8.9	12.33	0
2009	4	39.483135	15.571514	31.8	-0.08957627	9.1880827	2.297583	-1.6673194	-0.021146433	-0.9	6.83	4.86 	29.17 	10.7	17.93	0
2010	1	26.07526	-7.217422	-0.0555	-0.02916084	11.4843622	-10.768802	-1.1498392	-0.163112407	1.93	6.83	4.86 	24.66 	11.9	20.03	0
2010	2	42.188353	2.921737	-0.94	-0.07930602	12.9448317	-7.894509	-0.6556645	-0.076939889	2.5	6.82	4.86 	20.28 	10.3	16	0
2010	3	44.167547	11.32465	-4.9	-0.24179075	14.7528431	-4.128828	-1.3966544	-0.013716214	2.8	6.77	4.86 	18.60 	9.6	13.53	0
2010	4	34.338826	20.096576	-0.704	-0.410501	26.3400147	2.765188	-3.4140956	0.205587921	3.17	6.65	5.18 	19.23 	9.8	13.3	0
2011	1	14.650551	-13.373543	-2.37	-0.19686312	15.5314477	-11.139468	-3.2534942	-0.09137235	4.93	6.58	5.52 	16.56 	9.7	14.33	0
2011	2	-9.825814	-8.723777	-0.72	-0.36961589	17.8298431	-5.991922	-0.4111853	0.05915661	5.23	6.5	5.85 	15.44 	9.5	13.93	0
2011	3	39.865716	-1.192342	-0.693	-0.50409727	15.2195497	0.25925	-1.9360193	0.11117323	5.6	6.42	6.10 	13.76 	9.1	13.77	0
