year	quarter	CR1	QR	ICR	ALR	ART	ITR	APTR	FATR	TATR	WCTR	FAGR	TAGR	PGR	ORGR	OPGR	ROA	FAPM	NARR	OPR	CPI	IVA.growth	GDP.growth	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth
2005	1	1.190448	0.699898	1.946357	0.609055	0.614157	0.397632	0.928111	1.098654	0.147745	1.384337	-0.013168	-0.042913	-2.641562	0.192734	-2.263407	0.004589	0.034121	0.012153	0.02644	2.53	14.53	9.4	8.28	5.22	14.30920461
2005	2	1.202026	0.578364	1.703266	0.592727	1.348375	0.69413	1.524768	2.162802	0.291032	2.68693	-0.055004	-0.085321	-0.436455	-0.07286	-0.146812	0.007333	0.054498	0.019045	0.025425	2.43	16.47	10.1	8.28	5.22	14.8707352
2005	3	1.203286	0.606044	0.867988	0.586307	2.1115	1.108869	2.529026	3.236855	0.438463	4.066293	-0.079701	-0.122155	-4.609132	-0.00727	-4.033376	-0.002249	-0.016605	-0.005803	-0.006823	2.1	16.2	9.8	8.13	5.22	17.19476822
2005	4	1.188908	0.722606	0.765616	0.593632	2.222083	1.65624	3.619659	4.058929	0.571604	5.469283	-0.009594	-0.127776	-0.796056	-0.07262	-0.533255	-0.004246	-0.030149	-0.011053	-0.013879	1.83	16.4	9.9	8.07	5.22	18.09123087
2006	1	1.182685	0.725609	0.964557	0.609276	0.486179	0.44361	0.732765	1.003462	0.145246	1.300142	-0.036307	0.040593	-0.912376	0.047445	-0.904974	-0.000183	-0.001267	-0.00046	-0.003395	1.5	16.83	10.2	8.05	5.22	17.51718278
2006	2	1.22133	0.692382	1.203484	0.593364	1.067106	0.836093	1.445426	2.02848	0.293961	2.414205	-0.067566	0.005724	-14.500378	-0.010697	-4.339724	0.002332	0.016094	0.005737	0.003993	1.23	18	11.7	8.01	5.4	17.38256767
2006	3	1.207314	0.669853	0.999788	0.607334	1.630288	1.251332	2.227518	3.126935	0.439061	3.685097	-0.099929	0.035398	-1.927186	0.036976	-2.414144	-0.000003	-0.000022	-0.000008	-0.002683	1.23	16.17	10.6	7.96	5.52	16.32614112
2006	4	1.627957	0.918402	5.793933	0.488582	1.759286	1.56397	3.622125	4.601719	0.553028	2.740461	-0.494996	-0.10783	-40.330009	-0.513128	-44.279162	0.097802	0.813808	0.215197	0.195118	1.37	14.77	10.4	7.86	5.58	15.60622221
2007	1	1.654504	0.874318	-1.523451	0.475156	0.364736	0.148605	0.456777	1.154542	0.066416	0.2151	-0.014654	-0.037659	-1.067381	-0.217622	-1.060107	-0.007118	-0.123742	-0.013738	-0.106726	2.43	18.3	11.1	7.76	5.61	16.94836817
2007	2	1.764984	0.916969	1.363942	0.442103	1.159529	0.553032	1.579657	4.267518	0.245436	0.762882	-0.055487	-0.077591	-2.362126	1.620265	-2.177748	0.002631	0.045751	0.004929	0.00524	2.97	18.3	11.9	7.68	5.79	16.96535471
2007	3	1.837466	0.874287	1.328776	0.422872	1.928384	0.894869	2.762056	7.032482	0.40773	1.239425	-0.068751	-0.106033	-0.896171	-0.120353	-0.923651	0.003714	0.064056	0.006845	0.004821	3.83	18.13	11.5	7.56	6.24	18.34050682
2007	4	1.278589	0.747968	1.503626	0.427834	1.570983	0.853367	2.205512	4.321406	0.321071	1.475994	-0.347241	-0.098624	2.783407	-1.538452	-69.585716	0.00763	0.1027	0.01416	-0.134419	4.6	17.53	11.2	7.43	6.51	17.87054535
2008	1	1.278575	0.770652	1.545411	0.435905	0.478496	0.396745	0.819396	1.903941	0.114704	0.957287	-0.035913	0.01798	-0.500647	-2.289903	-1.0438	0.002052	0.034059	0.003612	0.018008	7.67	16.2	10.6	7.16	6.57	17.47019444
2008	2	1.266983	0.749912	2.203167	0.459437	1.098994	0.916761	1.7408	4.599424	0.267606	2.219446	-0.051098	0.073384	1.89571	0.397062	1.913894	0.00778	0.133718	0.013998	0.029404	8.07	15.9	10.1	6.96	6.57	17.38303282
2008	3	2.253318	1.705926	1.257448	0.310745	1.492844	1.255314	2.475409	6.444956	0.298971	1.057525	-0.089289	0.549575	-1.826444	-0.35865	-1.813125	0.00244	0.052606	0.003793	0.008446	7.33	12.97	9	6.84	6.45	15.79803171
2008	4	1.893298	1.475246	-4.691364	0.341283	2.292801	2.060312	4.057641	8.666103	0.412572	1.725862	-0.119293	0.311226	13.966651	0.354346	14.503708	-0.056197	-1.180419	-0.088469	-0.140618	6.3	6.43	6.8	6.84	5.31	15.83323959
2009	1	1.929946	1.426876	-1.236193	0.328366	0.435212	0.380257	0.689248	1.789059	0.070669	0.233356	-0.016465	-0.026732	-0.902569	-0.287875	-0.895379	-0.005105	-0.129239	-0.007676	-0.080087	0.03	5.46	6.1	6.84	4.86	21.51701359
2009	2	1.873265	1.3589	-0.843987	0.339418	0.890367	0.790152	1.315974	3.873739	0.149208	0.499617	-0.053157	-0.013817	-0.558259	0.125186	-0.428059	-0.007312	-0.189841	-0.011085	-0.059238	-0.93	8.97	7.9	6.83	4.86	26.66699371
2009	3	1.92935	1.318933	-0.955082	0.309575	1.53201	1.294446	2.254893	6.564341	0.248349	0.843739	-0.083564	-0.00945	0.219051	0.261883	-0.15345	-0.010021	-0.264886	-0.014858	-0.04645	-1.17	12.33	8.9	6.83	4.86	28.71429551
2009	4	1.900599	1.484435	2.008831	0.324134	2.151131	2.390995	3.948706	10.761009	0.391552	1.347523	-0.423913	0.066261	-6.63615	0.626242	-1.637573	0.005097	0.140073	0.007664	-0.023906	-0.9	17.93	10.7	6.83	4.86	29.1668298
2010	1	1.824322	1.436143	-2.279175	0.341433	0.476994	0.640646	0.896442	3.75689	0.094848	0.332814	-0.022462	0.018789	-1.346579	-0.360211	-4.169953	-0.004879	-0.193244	-0.007313	-0.05305	1.93	20.03	11.9	6.83	4.86	24.66034388
2010	2	1.88734	1.322181	-1.502867	0.32204	1.174851	1.327123	2.040248	8.963856	0.227991	0.793628	-0.041957	-0.015889	-0.237986	0.362456	-0.145202	-0.008747	-0.34389	-0.012922	-0.04165	2.5	16	10.3	6.82	4.86	20.27998732
2010	3	1.837994	1.307367	-3.047563	0.327844	1.589878	1.756519	2.67597	11.597561	0.292553	1.03766	-0.062724	-0.020664	1.377565	-0.514329	1.057889	-0.017783	-0.70496	-0.026383	-0.063395	2.8	13.53	9.6	6.77	4.86	18.60427965
2010	4	1.702659	1.318947	-6.021347	0.355125	1.901747	2.613532	3.563295	14.1779	0.383918	1.427098	0.086813	-0.013797	1.452286	0.448098	1.7333	-0.039753	-1.468052	-0.060235	-0.11219	3.17	13.3	9.8	6.65	5.183333	19.22971745
