year	quarter	DebtAbility	OperAbility	DevelopAbility	EarningAbility	CPI	RMB.US.Spot.rate	shorterm.interest.rate	M2.growth
2005	1	-78.8711118	-11.067534	-1.1470376	-0.19764128	2.53	8.28	5.22	14.30920461
2005	2	-30.5831067	-8.418425	-7.6690666	-0.290659831	2.43	8.28	5.22	14.8707352
2005	3	-391.81667	-5.357995	-1.0079734	-0.370806426	2.1	8.13	5.22	17.19476822
2005	4	25.4836944	3.047473	0.7123974	-0.575795556	1.83	8.07	5.22	18.09123087
2006	1	3.2065923	-4.132573	-2.3067117	-0.202034442	1.5	8.05	5.22	17.51718278
2006	2	1.9306543	7.271788	0.1576369	-0.180221616	1.23	8.01	5.4	17.38256767
2006	3	0.8214122	15.511197	-1.3460739	-0.157254219	1.23	7.96	5.52	16.32614112
2006	4	-0.9865411	30.584655	-0.2677707	-0.124996388	1.37	7.86	5.58	15.60622221
2007	1	13.4729165	-2.654736	-1.824315	-0.19351615	2.43	7.76	5.61	16.94836817
2007	2	11.9671721	8.179543	0.8906653	-0.140590113	2.97	7.68	5.79	16.96535471
2007	3	11.8379289	17.291733	-0.912963	-0.077922672	3.83	7.56	6.24	18.34050682
2007	4	14.1211899	26.729487	-0.3367787	0.091276162	4.6	7.43	6.51	17.87054535
2008	1	5.7577045	-5.253829	-2.211365	-0.199830042	7.67	7.16	6.57	17.47019444
2008	2	6.6901506	3.760235	37.7735941	-0.149434999	8.07	6.96	6.57	17.38303282
2008	3	8.0114842	12.586598	-0.331809	-0.092776483	7.33	6.84	6.45	15.79803171
2008	4	8.2645498	21.106956	-1.9670084	-0.053930277	6.3	6.84	5.31	15.83323959
2009	1	21.4117986	-8.117917	0.7582039	-0.182240463	0.03	6.84	4.86	21.51701359
2009	2	11.3454237	-5.16438	-1.4417526	-0.14975902	-0.93	6.83	4.86	26.66699371
2009	3	11.0302356	-2.319942	0.6770183	-0.079717477	-1.17	6.83	4.86	28.71429551
2009	4	9.1880827	2.297583	-1.6673194	-0.021146433	-0.9	6.83	4.86	29.1668298
2010	1	11.4843622	-10.768802	-1.1498392	-0.163112407	1.93	6.83	4.86	24.66034388
2010	2	12.9448317	-7.894509	-0.6556645	-0.076939889	2.5	6.82	4.86	20.27998732
2010	3	14.7528431	-4.128828	-1.3966544	-0.013716214	2.8	6.77	4.86	18.60427965
2010	4	26.3400147	2.765188	-3.4140956	0.205587921	3.17	6.65	5.183333	19.22971745
2011	1	15.5314477	-11.139468	-3.2534942	-0.09137235	4.93	6.58	5.516667	16.55746923
2011	2	17.8298431	-5.991922	-0.4111853	0.05915661	5.23	6.5	5.85	15.43661454
2011	3	15.2195497	0.25925	-1.9360193	0.11117323	5.6	6.42	6.1	13.7584146
2011	4	15.2834548	6.004421	4.1621571	0.371386967	5.5	6.36	6.1	16.75804914
2012	1	11.2214754	-11.228902	-1.8199056	-0.08796036	4.07	6.31	6.1	17.52529737
2012	2	11.8393574	-7.187143	-1.211699	0.007300551	3.5	6.33	6.016667	17.945193
2012	3	11.1902626	-3.947548	-1.2492918	0.087461458	2.93	6.35	5.6	19.07042865
2012	4	13.991964	3.726888	2.1699117	0.424474477	2.67	6.24	5.6	14.49413194
2013	1	11.4095563	-11.27487	-1.6020637	-0.051399502	2.36	6.22	5.6	15.57882161
2013	2	12.2673402	-4.666363	-1.7373585	0.153054775	2.4	6.15	5.6	15.26833409
2013	3	10.8851656	-1.883657	-1.189195	0.226278144	2.48	6.13	5.6	14.46348577
2013	4	13.4575763	2.620627	1.993486	0.598691184	2.62	6.09	5.6	14.03099259
2014	1	10.7419919	-11.08068	-1.9725612	-0.107721498	2.33	6.1	5.6	12.865347
2014	2	16.4790424	-5.687507	0.3840344	0.0663482	2.22	6.23	5.6	13.79200024
2014	3	15.4051216	-1.05428	-1.2292123	0.232063454	2.21	6.17	5.6	12.62835459
2014	4	17.4435456	3.544882	-0.5996031	0.566403787	2.04	6.15	5.6	11.6766024
2015	1	10.330692	-11.366103	-1.8711361	-0.090915895	1.02	6.24	5.516667	10.52284864
2015	2	14.1420846	-5.151354	1.5737384	0.126715187	1.27	6.2	5.1	10.13337373
2015	3	13.903129	-2.877815	-1.8620954	0.222491454	1.39	6.3	4.683333	13.24902758
2015	4	13.6217872	2.528578	1.7461755	0.573548442	1.43	6.4	4.35	13.50407781
