year	quarter	DD
2005	1	0.130637435
2005	2	0.098891682
2005	3	-0.138265869
2005	4	-0.104383303
2006	1	0.027912557
2006	2	-0.007046553
2006	3	0.008555389
2006	4	0.080634247
2007	1	0.160245007
2007	2	0.18413257
2007	3	0.200947816
2007	4	0.2777259
2008	1	0.210479993
2008	2	0.138109236
2008	3	0.130900585
2008	4	0.110085882
2009	1	0.195928789
2009	2	0.274348449
2009	3	0.21786935
2009	4	0.285918249
2010	1	0.328670613
2010	2	0.30244147
2010	3	0.358130644
2010	4	0.304913183
2011	1	0.230787384
2011	2	0.241991161
2011	3	0.308012916
2011	4	0.353619503
2012	1	0.324902852
2012	2	0.372444259
2012	3	0.404363094
2012	4	0.362465138
2013	1	0.341723816
2013	2	0.297469481
2013	3	0.300589152
2013	4	0.316347405
2014	1	0.275753133
2014	2	0.337583186
2014	3	0.327515425
2014	4	0.337444988
2015	1	0.332637529
2015	2	0.244685661
2015	3	0.142780625
2015	4	0.221603922
