BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.013236831,-0.981,0.015389684,3.2583333,13.285,0.39,-0.7609,2.945438479,2.996501462,3.146663489,3.505106845,3.015044585,2.956944667,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.012770906,-1.21,0.004878485,3.2583333,14.232,0.54,-1.1042,2.933324813,2.995976168,3.146663489,3.533160879,3.022374205,2.938939675,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.011599172,-1.036,-0.002322553,3.2583333,16.369,0.63,-1.1769,2.942542445,2.995616139,3.146663489,3.593716763,3.026746327,2.935084839,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.013170004,-0.263,-0.006921,2.852334,12.631,0.67,-1.0064,2.982495047,2.995386164,3.129053257,3.485262757,3.028683374,2.94410208,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.014191514,-0.386,-0.00998542,2.852334,16.214,0.54,-2.2116,2.976243597,2.995232878,3.129053257,3.589445784,3.022374205,2.878546559,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.012379781,-1.344,-0.01617648,2.852334,13.662,0.69,-1.0036,2.92616781,2.994923122,3.129053257,3.516369605,3.029650492,2.944249488,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.01348837,-1.006,-0.016759571,3.1999997,12.587,0.86,-1.4079,2.94412314,2.994893944,3.144152266,3.483913436,3.03783345,2.922736759,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.014244055,-0.798,-0.017360171,3.1999997,15.252,1.07,-2.0902,2.95501444,2.994863888,3.144152266,3.562522265,3.047850228,2.885348049,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.012108771,-0.615,-0.017479358,3.1999997,14.196,1.06,-2.7229,2.964499571,2.994857924,3.144152266,3.532108678,3.047375507,2.849381925,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.013217839,0.354,-0.017418505,3.0546663,14.953,1.06,-1.7291,3.013277453,2.994860969,3.137868191,3.554004302,3.047375507,2.90530963,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
