BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.016546472,0.613,-0.576203161,2.7213333,11.092,-1,-0.7329,3.025921945,2.966498956,3.123304276,3.436950551,2.944438979,2.958398978,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.014531397,0.797,-0.57098591,2.7213333,14.965,-0.87,-1.0612,3.034808746,2.96676752,3.123304276,3.554347561,2.951257783,2.941212728,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.014525973,1.253,-0.567958902,2.7213333,14.871,-0.77,-0.9169,3.056498062,2.966923307,3.123304276,3.551655538,2.95647156,2.948803127,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.013615726,1.083,-0.562320941,1.876667,10.235,-0.72,-0.7594,3.048467029,2.967213402,3.085420635,3.409000194,2.959068289,2.95702263,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.014400479,0.526,-0.560633395,1.876667,11.859,-0.74,-1.9726,3.021692375,2.967300216,3.085420635,3.461319917,2.958030406,2.891892823,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.013009418,-0.087,-0.733007762,1.876667,13.4,-0.69,-0.5656,2.991372785,2.958393385,3.085420635,3.5085559,2.960623096,2.967044692,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.012353361,0.441,-0.697860075,2.068333,16.371,-0.45,-1.3079,3.017542688,2.960215967,3.094143685,3.593771754,2.972975286,2.928100975,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.014586161,0.853,-0.703315176,2.068333,9.725,-0.36,-2.1902,3.037497823,2.95993331,3.094143685,3.391988443,2.977568303,2.879748868,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.014698934,1.139,-0.686699623,2.068333,11.887,-0.38,-2.8099,3.051119676,2.960793997,3.094143685,3.462198403,2.976549454,2.844333637,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.017864931,1.436,-0.658742246,1.939333,14.327,-0.48,-1.9631,3.065071752,2.962240522,3.088281053,3.535932217,2.971439581,2.89241966,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
0.018773657,1.975,-0.715553144,1.939333,14.573,-0.48,-1.7856,3.089905444,2.959298909,3.088281053,3.543073031,2.971439581,2.90221249,0.91,16.55,30.29223263,31.11,78.6960907,91.81498718,106.2877808,78.83218384,86.32300568,107.1847076,37.15930557,95.7723132,80.09874359
0.018770103,2.269,-0.682797236,1.939333,12.844,-0.73,-2.1153,3.103195577,2.960996034,3.088281053,3.49176908,2.958549482,2.883945599,0.91,16.27,60.47648217,32.13,90.34359741,82.68560028,61.57172012,75.70652771,73.47694397,78.41303253,97.13572693,102.8207341,99.50458837
0.018914549,0.504,-0.705723478,2.149667,8.659,-0.83,-2.8404,3.020619989,2.959808499,3.097822463,3.35546753,2.953346557,2.842557784,0.9,18.22,94.51192914,34.31,88.27758789,75.34062958,59.47798538,76.26370239,52.9017868,124.426239,101.1584015,85.79190271,89.41577492
0.016972518,0.286,-0.668533421,2.149667,6.854,-0.4,-1.6916,3.009930993,2.961734161,3.097822463,3.290414786,2.975529566,2.907359971,0.93,17.11,53.07184275,34.69,88.90148163,76.99822998,83.92586517,51.82107925,80.38735962,109.1451035,46.90383148,94.10591184,78.60084387
0.016683804,0.532,-0.638968187,2.149667,8.072,-0.59,-1.9004,3.021984645,2.963262377,3.097822463,3.334772638,2.965788397,2.895889839,0.93,14.86,38.91576892,36.74,84.3309021,125.0216446,117.3388062,156.4485626,97.98274994,77.43811035,85.35299683,87.56225103,92.37258476
