BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.013027251,-3.666,0.015389684,2.657,15.582,0.77,-0.7009,2.793248825,2.996501462,3.120468855,3.571839892,3.033509638,2.960058463,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.012258862,-3.565,0.004878485,2.657,15.55,0.88,-1.0242,2.799413207,2.995976168,3.120468855,3.570940156,3.038791763,2.943164483,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.011326603,-3.043,-0.002322553,2.657,15.306,1.08,-1.0669,2.830680728,2.995616139,3.120468855,3.564052921,3.048324724,2.940911713,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.011617297,-1.994,-0.006921,2.013667,13.479,1.14,-0.9464,2.890705036,2.995386164,3.091663488,3.510918377,3.05116698,2.94725606,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.013556896,-2.14,-0.00998542,2.013667,12.601,1.21,-2.1716,2.882563575,2.995232878,3.091663488,3.484342963,3.054472769,2.880792691,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.012259543,-2.488,-0.01617648,2.013667,15.237,1.32,-0.9436,2.86288636,2.994923122,3.091663488,3.562096667,3.059645599,2.947403003,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.013878745,-2.623,-0.016759571,2.288666,15.009,1.44,-1.3979,2.855147493,2.994893944,3.104078298,3.555605171,3.065258336,2.923274478,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.015914013,-2.378,-0.017360171,2.288666,16.259,1.51,-2.0702,2.869148121,2.994863888,3.104078298,3.590687626,3.068517943,2.886464133,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.014023879,-1.917,-0.017479358,2.288666,16.355,1.52,-2.6729,2.89497227,2.994857924,3.104078298,3.593331746,3.068982735,2.85227175,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.011920211,-0.812,-0.017418505,2.189,15.975,1.57,-1.6791,2.954285084,2.994860969,3.099596671,3.582824253,3.07130346,2.908042485,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
