BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.017317687,-1.671,0.015389684,3.392,18.798,0.44,-0.6849,2.908484505,2.996501462,3.152394084,3.658368699,3.017493765,2.960887173,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.015867224,-2.222,0.004878485,3.392,18.036,0.46,-1.0262,2.877961738,2.995976168,3.152394084,3.63853308,3.018471761,2.94305908,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.015107713,-1.663,-0.002322553,3.392,18.672,0.71,-1.1249,2.908920877,2.995616139,3.152394084,3.655115824,3.030616675,2.937843593,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.01762722,-0.932,-0.006921,2.9156673,17.237,0.8,-0.9774,2.948011537,2.995386164,3.131820838,3.617302891,3.034952987,2.945627746,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.017722075,-1.302,-0.00998542,2.9156673,17.748,0.95,-2.1856,2.928416566,2.995232878,3.131820838,3.630932494,3.042138646,2.880007119,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.016745165,-1.762,-0.01617648,2.9156673,20.389,1.02,-0.9466,2.90350733,2.994923122,3.131820838,3.698557471,3.045474365,2.947245563,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.018938853,-1.643,-0.016759571,3.100333,17.441,1.22,-1.3759,2.910010973,2.994893944,3.139847033,3.622766361,3.054944133,2.924456441,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.023303434,-1.177,-0.017360171,3.100333,20.58,1.29,-2.0432,2.935079526,2.994863888,3.139847033,3.703275334,3.058237479,2.887968873,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.019265764,-1.095,-0.017479358,3.100333,18.447,1.3,-2.6929,2.939426437,2.994857924,3.139847033,3.64928067,3.058707073,2.851116822,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.018229517,-0.48,-0.017418505,2.847333,16.104,1.22,-1.6921,2.971439581,2.994860969,3.128834393,3.586403663,3.054944133,2.907332661,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
0.019165878,0.528,-0.018574278,2.847333,19.827,1.08,-1.3556,3.021789808,2.994803128,3.128834393,3.684545074,3.048324724,2.925545833,0.91,16.55,30.29223263,31.11,78.6960907,91.81498718,106.2877808,78.83218384,86.32300568,107.1847076,37.15930557,95.7723132,80.09874359
0.017881343,0.813,-0.018140145,2.847333,17.309,1.16,-1.5653,3.035577791,2.994824855,3.128834393,3.619234584,3.052112607,2.914234758,0.91,16.27,60.47648217,32.13,90.34359741,82.68560028,61.57172012,75.70652771,73.47694397,78.41303253,97.13572693,102.8207341,99.50458837
0.018246707,0.59,-0.019975798,2.797334,17.095,1.07,-2.3394,3.024805521,2.994732985,3.126643599,3.61348219,3.047850228,2.87133617,0.9,18.22,94.51192914,34.31,88.27758789,75.34062958,59.47798538,76.26370239,52.9017868,124.426239,101.1584015,85.79190271,89.41577492
0.016895126,0.638,-0.019264299,2.797334,16.451,1.09,-0.9746,3.027134037,2.994768594,3.126643599,3.595968893,3.048798994,2.945774928,0.93,17.11,53.07184275,34.69,88.90148163,76.99822998,83.92586517,51.82107925,80.38735962,109.1451035,46.90383148,94.10591184,78.60084387
0.016791672,1.085,-0.018558718,2.797334,18.843,1.07,-1.3074,3.048561887,2.994803907,3.126643599,3.65952788,3.047850228,2.928127724,0.93,14.86,38.91576892,36.74,84.3309021,125.0216446,117.3388062,156.4485626,97.98274994,77.43811035,85.35299683,87.56225103,92.37258476
0.018489572,1.382,-0.018722087,2.874667,18.637,1.19,-1.6607,3.062549447,2.994795731,3.130030054,3.654210367,3.053529372,2.909046298,0.96,15.64,57.15698577,36.75,79.72691345,109.8380356,104.8796005,169.8411255,59.87421417,110.5964737,43.1658287,96.00481801,83.61222162
