BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.013863497,-14.349,-1.497806919,1.067,12.097,-9.19,1.2271,1.731832521,2.91788927,3.047707835,3.468762568,2.380471632,3.055278667,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.012571967,-14.54,-1.243598189,1.067,9.197,-8.79,4.0588,1.69744879,2.931535124,3.047707835,3.374065964,2.416806237,3.180500834,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.012441394,-13.854,-1.034593744,1.067,7.401,-7.99,-3.2169,1.815801464,2.942616596,3.047707835,3.310579509,2.485739636,2.820372428,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.012169459,-13.406,-0.873177618,0.455001,4.695,-10.39,-2.1794,1.886160145,2.951091663,3.0182274,3.206600794,2.262804223,2.880355092,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.012940708,-12.93,-0.737941995,0.455001,3.304,-7.19,-4.1626,1.95586048,2.958137255,3.0182274,3.14862502,2.550226116,2.762374231,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.011780993,-13.577,-0.638871183,0.455001,7.797,-6.49,-0.6056,1.859885298,2.963267387,3.0182274,3.324928101,2.603430152,2.964984365,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.012024869,-13.478,-0.577698757,1.212,8.511,-6.59,-2.4479,1.875181077,2.966421954,3.054567059,3.350289978,2.596000697,2.865173601,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.012757258,-12.546,-0.499485769,1.212,11.416,-6.49,-2.4802,2.008750801,2.970440836,3.054567059,3.447317317,2.603430152,2.86333167,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.013367024,-12.145,-0.439305415,1.212,7.212,-7.89,-0.2899,2.061150272,2.973522174,3.054567059,3.303658052,2.494031558,2.981131195,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.013718984,-11.433,-0.42117163,0.818,9.305,-7.19,-0.3431,2.147917613,2.974448797,3.035817997,3.37775815,2.550226116,2.978428422,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
0.014382286,-9.609,-0.49556468,0.818,8.914,-6.69,1.1044,2.340940047,2.970641892,3.035817997,3.364325907,2.588515632,3.04948155,0.91,16.55,30.29223263,31.11,78.6960907,91.81498718,106.2877808,78.83218384,86.32300568,107.1847076,37.15930557,95.7723132,80.09874359
