BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.012508065,-1.594,0.591592845,0.537,2.193,1.39,-0.028,2.912676698,3.024882878,3.022228137,3.099776924,3.062923523,2.994331293,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.013062725,-2.007,0.575864395,0.537,-0.733,1.41,-0.043,2.889982793,3.024118758,3.022228137,2.958393788,3.063858103,2.993579959,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.013592137,-2.289,0.565636349,0.537,1.498,1.4,-0.26,2.874185915,3.023621545,3.022228137,3.067959908,3.063390922,2.982647034,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.013169403,-1.346,0.555399941,0.975667,2.396,1.39,-0.247,2.9260606,3.023123677,3.043363052,3.108882371,3.062923523,2.983305379,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.013520758,-0.912,0.550647975,0.975667,4.355,1.28,-0.239,2.949059865,3.022892472,3.043363052,3.192737167,3.057767664,2.983710298,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.014563799,-1.257,0.716831282,0.975667,0.262,1.38,-0.438,2.930820349,3.030946475,3.043363052,3.008747211,3.062455906,2.973588909,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.013035391,-1.447,0.681100504,1.1316667,-3.784,1.31,-0.1,2.920631501,3.029220264,3.050772707,2.785998409,3.059176446,2.990719732,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.01237302,-1.651,0.685955005,1.1316667,5.527,1.43,0.1,2.909575077,3.029454968,3.050772707,3.239736716,3.064791809,3.000719815,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.013546381,-1.754,0.669220265,1.1316667,2.309,1.44,0.087,2.903945878,3.02864565,3.050772707,3.104990184,3.065258336,3.00007284,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.012722977,-1.082,0.641323741,1.1153333,0.626,1.54,0.234,2.94011385,3.027295073,3.049999473,3.026552416,3.069911672,3.007364358,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
