BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.012931938,-4.279,0.591592845,-0.0643333,4.49,1.77,0.032,2.754997398,3.024882878,2.992510424,3.198264871,3.080532875,2.997330995,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.013269409,-4.362,0.575864395,-0.0643333,0.585,1.75,0.037,2.74970385,3.024118758,2.992510424,3.024562655,3.079613758,2.997580564,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.013182572,-4.296,0.565636349,-0.0643333,0.435,1.85,-0.15,2.753915457,3.023621545,2.992510424,3.017249117,3.084200922,2.988204007,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.012566765,-3.077,0.555399941,0.137,3.244,1.86,-0.187,2.828673643,3.023123677,3.002558919,3.146047034,3.084658483,2.986338288,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.013219365,-2.666,0.550647975,0.137,0.742,1.95,-0.199,2.852669891,3.022892472,3.002558919,3.03216063,3.08876714,2.985732441,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.013499424,-2.401,0.716831282,0.137,1.837,2.01,-0.378,2.867842082,3.030946475,3.002558919,3.083605779,3.091496896,2.976651386,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.012072227,-3.064,0.681100504,0.220333,-1.362,1.89,-0.09,2.829441534,3.029220264,3.006688682,2.925202507,3.086029912,2.991222118,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.010532603,-3.231,0.685955005,0.220333,6.534,1.87,0.12,2.819531944,3.029454968,3.006688682,3.278426929,3.085115835,3.001714345,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.011836519,-3.056,0.669220265,0.220333,4.468,1.9,0.137,2.829913789,3.02864565,3.006688682,3.197366141,3.086486637,3.002558919,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.012777585,-2.248,0.641323741,0.249667,1.648,2.05,0.284,2.876498186,3.027295073,3.008138349,3.074913071,3.093312602,3.009832398,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
0.013044586,-1.799,0.696978866,0.249667,2.587,2.13,0.439,2.901476538,3.029987741,3.008138349,3.11737452,3.096934154,3.01744484,0.91,16.55,30.29223263,31.11,78.6960907,91.81498718,106.2877808,78.83218384,86.32300568,107.1847076,37.15930557,95.7723132,80.09874359
0.012044812,-1.671,0.664657091,0.249667,4.235,2.43,0.546,2.908484505,3.028424854,3.008138349,3.187797869,3.110399349,3.022666275,0.91,16.27,60.47648217,32.13,90.34359741,82.68560028,61.57172012,75.70652771,73.47694397,78.41303253,97.13572693,102.8207341,99.50458837
0.012908956,-0.052,0.68574768,0.372334,7.979,2.45,0.509,2.993128888,3.029444945,3.014177804,3.331454229,3.111290614,3.020863814,0.9,18.22,94.51192914,34.31,88.27758789,75.34062958,59.47798538,76.26370239,52.9017868,124.426239,101.1584015,85.79190271,89.41577492
0.01313821,0.034,0.649269122,0.372334,9.43,2.11,0.711,2.99743083,3.027679925,3.014177804,3.382014562,3.096029995,3.03066496,0.93,17.11,53.07184275,34.69,88.90148163,76.99822998,83.92586517,51.82107925,80.38735962,109.1451035,46.90383148,94.10591184,78.60084387
0.01285587,0.214,0.620409469,0.372334,9.085,2.36,0.559,3.006375434,3.026281336,3.014177804,3.370222577,3.107273648,3.023298801,0.93,14.86,38.91576892,36.74,84.3309021,125.0216446,117.3388062,156.4485626,97.98274994,77.43811035,85.35299683,87.56225103,92.37258476
0.012960253,-0.424,0.634132819,0.374,10.003,2.38,0.469,2.974304326,3.026946638,3.014259578,3.401297377,3.108167703,3.018911547,0.96,15.64,57.15698577,36.75,79.72691345,109.8380356,104.8796005,169.8411255,59.87421417,110.5964737,43.1658287,96.00481801,83.61222162
0.013103689,-0.643,0.608296527,0.374,9.641,2.36,0.546,2.963054111,3.025693739,3.014259578,3.389158538,3.107273648,3.022666275,1.06,16.62,92.67783958,40.28,97.2080307,114.849823,126.787468,170.8830261,76.00424957,88.85319519,137.9871979,107.3065169,101.8330859
0.012971416,-0.487,0.598728716,0.374,8.49,2.48,0.483,2.97108091,3.025229361,3.014259578,3.349553149,3.112626025,3.019595274,1.3,16.08,114.736083,38.03,85.27448273,99.8453064,104.7889633,128.3917542,56.01540756,116.6262817,59.12108612,76.36504181,92.50442169
0.012158978,-0.101,0.590410994,0.481,11.294,2.56,0.536,2.990669479,3.024825482,3.019497627,3.443426386,3.116178427,3.022179444,1.41,15.08,73.34909203,40.78,88.95649719,115.9253998,57.15773392,99.18595886,124.9737625,75.10518646,50.48696136,72.91038409,86.08021248
0.009867708,0.083,0.576318147,0.481,9.095,2.61,0.484,2.999873686,3.02414081,3.019497627,3.370566338,3.118392286,3.019644094,1.59,15.37,95.12458581,44.9,84.44986725,77.3423996,60.64183807,99.52498627,50.74696732,36.51834106,88.03998566,72.77615468,74.03549073
0.011991288,-0.283,0.568712089,0.481,5.997,2.57,0.409,2.981481208,3.023771091,3.019497627,3.257981147,3.116621591,3.01597598,1.68,14.28,71.32165237,45.94,108.5095825,89.59677124,65.45806122,143.2897491,48.16343689,64.54100037,92.03104401,137.4411025,90.05754795
0.012469814,-0.071,0.559497355,0.876333,10.247,2.61,0.397,2.992175957,3.023322993,3.038616125,3.409397006,3.118392286,3.015387831,1.87,12.75,107.7022302,53.28,118.3414459,120.0014648,115.984375,122.1546631,154.4183197,56.45822144,107.5005188,85.27479418,82.15916514
0.013783516,-0.608,0.567321011,0.876333,5.974,2.62,0.34,2.96486061,3.023703458,3.038616125,3.257096038,3.118834471,3.012589391,2.19,16.18,78.57551175,48.47,96.69577026,127.938324,68.12167358,195.9334259,95.49815369,39.24856949,93.9905014,102.7393302,87.49682814
