BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.028607919,-2.284,0.591592845,0.6706667,7.706,1.44,0.048,2.874468186,3.024882878,3.028715628,3.321648996,3.065258336,2.998129398,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.027307443,-3.019,0.575864395,0.6706667,3.071,1.33,0.035,2.832095072,3.024118758,3.028715628,3.138576418,3.060114532,2.997480744,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.027230387,-2.916,0.565636349,0.6706667,3.801,1.48,-0.208,2.838142353,3.023621545,3.028715628,3.169727597,3.06712227,2.985277816,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.027332065,-2.015,0.555399941,1.0390003,7.002,1.52,-0.218,2.889538077,3.023123677,3.046377872,3.295910937,3.068982735,2.984772433,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.02805227,-1.828,0.550647975,1.0390003,5.889,1.69,-0.213,2.899881948,3.022892472,3.046377872,3.253818168,3.076851325,2.985025156,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.027717214,-1.675,0.716831282,1.0390003,6.989,1.71,-0.381,2.908266248,3.030946475,3.046377872,3.295429376,3.077772984,2.976498484,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.026569687,-2.084,0.681100504,1.032,1.07,1.67,-0.068,2.885694168,3.029220264,3.046045087,3.047850228,3.075928816,2.99232648,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.024096807,-2.03,0.685955005,1.032,10.855,1.65,0.147,2.888703701,3.029454968,3.046045087,3.429298812,3.075005454,3.003055394,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.026455227,-2.234,0.669220265,1.032,6.56,1.68,0.117,2.877286518,3.02864565,3.046045087,3.279406325,3.076390177,3.001565229,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.026817501,-1.916,0.641323741,0.908,1.777,1.7,0.271,2.895027569,3.027295073,3.040131861,3.080854367,3.077312261,3.009191293,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
0.025582824,-1.447,0.696978866,0.908,5.254,1.56,0.43,2.920631501,3.029987741,3.040131861,3.228984559,3.070839746,3.017004409,0.91,16.55,30.29223263,31.11,78.6960907,91.81498718,106.2877808,78.83218384,86.32300568,107.1847076,37.15930557,95.7723132,80.09874359
0.025730506,-1.456,0.664657091,0.908,4.465,1.89,0.55,2.920146287,3.028424854,3.040131861,3.197243525,3.086029912,3.022860941,0.91,16.27,60.47648217,32.13,90.34359741,82.68560028,61.57172012,75.70652771,73.47694397,78.41303253,97.13572693,102.8207341,99.50458837
0.025622165,0.086,0.68574768,0.647667,8.436,1.9,0.501,3.000023055,3.029444945,3.027602335,3.347655948,3.086486637,3.020473665,0.9,18.22,94.51192914,34.31,88.27758789,75.34062958,59.47798538,76.26370239,52.9017868,124.426239,101.1584015,85.79190271,89.41577492
0.025909193,0.352,0.649269122,0.647667,9.597,1.49,0.717,3.013179187,3.027679925,3.027602335,3.387673005,3.067587711,3.030954619,0.93,17.11,53.07184275,34.69,88.90148163,76.99822998,83.92586517,51.82107925,80.38735962,109.1451035,46.90383148,94.10591184,78.60084387
0.02681083,0.553,0.620409469,0.647667,10.771,1.66,0.593,3.023006916,3.026281336,3.027602335,3.426572688,3.075467242,3.024951212,0.93,14.86,38.91576892,36.74,84.3309021,125.0216446,117.3388062,156.4485626,97.98274994,77.43811035,85.35299683,87.56225103,92.37258476
0.025549433,-0.1,0.634132819,0.424333,10.602,1.78,0.487,2.990719732,3.026946638,3.016726984,3.421065366,3.080992118,3.019790539,0.96,15.64,57.15698577,36.75,79.72691345,109.8380356,104.8796005,169.8411255,59.87421417,110.5964737,43.1658287,96.00481801,83.61222162
0.026632623,-0.066,0.608296527,0.424333,10.082,2,0.532,2.992426817,3.025693739,3.016726984,3.403926986,3.091042453,3.021984645,1.06,16.62,92.67783958,40.28,97.2080307,114.849823,126.787468,170.8830261,76.00424957,88.85319519,137.9871979,107.3065169,101.8330859
0.025483438,0.249,0.598728716,0.424333,8.001,2.06,0.48,3.00810541,3.025229361,3.016726984,3.332240224,3.093766014,3.0194488,1.3,16.08,114.736083,38.03,85.27448273,99.8453064,104.7889633,128.3917542,56.01540756,116.6262817,59.12108612,76.36504181,92.50442169
0.028437461,0.542,0.590410994,0.762333,11.449,2.11,0.544,3.022471571,3.024825482,3.033140432,3.448367186,3.096029995,3.022568928,1.41,15.08,73.34909203,40.78,88.95649719,115.9253998,57.15773392,99.18595886,124.9737625,75.10518646,50.48696136,72.91038409,86.08021248
0.021777736,0.783,0.576318147,0.762333,10.269,2.14,0.522,3.034135345,3.02414081,3.033140432,3.410124086,3.097385927,3.021497481,1.59,15.37,95.12458581,44.9,84.44986725,77.3423996,60.64183807,99.52498627,50.74696732,36.51834106,88.03998566,72.77615468,74.03549073
0.025869768,0.706,0.568712089,0.762333,6.924,2.06,0.397,3.030423513,3.023771091,3.033140432,3.293018082,3.093766014,3.015387831,1.68,14.28,71.32165237,45.94,108.5095825,89.59677124,65.45806122,143.2897491,48.16343689,64.54100037,92.03104401,137.4411025,90.05754795
0.02691721,1.2,0.559497355,1.037,9.678,2.16,0.391,3.054001182,3.023322993,3.046282792,3.390406031,3.098288862,3.015093627,1.87,12.75,107.7022302,53.28,118.3414459,120.0014648,115.984375,122.1546631,154.4183197,56.45822144,107.5005188,85.27479418,82.15916514
0.024537175,0.75,0.567321011,1.037,6.633,2.18,0.333,3.032546247,3.023703458,3.046282792,3.282151048,3.099190982,3.012245182,2.19,16.18,78.57551175,48.47,96.69577026,127.938324,68.12167358,195.9334259,95.49815369,39.24856949,93.9905014,102.7393302,87.49682814
0.025051023,0.665,0.60198279,1.037,2.235,2.31,0.1,3.028441448,3.025387323,3.046282792,3.101667624,3.105035008,3.000719815,2.18,12.98,28.59229406,43.15,66.53287506,83.33496857,54.96220779,110.0841217,42.32065201,81.47636414,96.87821198,101.978866,81.61707782
0.026100833,0.01,0.624654712,1.4759997,2.6,2.31,-0.05,2.996232149,3.026487191,3.066936019,3.117949906,3.105035008,2.993229143,2.48,14.08,77.83283293,46.84,66.73433685,58.94661713,48.37984085,65.62034607,47.83789444,175.2454529,75.73043823,91.53623011,97.16167635
0.02553743,-0.127,0.61197102,1.4759997,3.88,2.22,-0.091,2.989362027,3.025872024,3.066936019,3.173041289,3.100992784,2.991171891,2.72,11.66,31.34054454,48.15,51.69568634,74.9770813,53.16243362,90.66368103,59.98699951,112.5640182,32.59744644,101.479898,97.48550868
0.025456552,-0.599,0.593428544,1.4759997,4.384,2.28,-0.004,2.965324611,3.024972022,3.066936019,3.19392718,3.103689415,2.995532254,2.73,12.5,42.25327753,54.19,49.30863571,81.45478821,40.66996002,107.5706253,55.9072876,107.5473404,99.00125122,110.3986235,104.0453916
0.025730203,-0.46,0.583354829,1.8173337,1.509,2.24,0.264,2.972463647,3.024482731,3.082704778,3.068471452,3.101892469,3.008845913,2.84,14.09,68.83730803,52.98,78.39586639,89.07868195,34.60283279,117.0465622,93.47690582,75.75196838,50.36788559,88.55944214,105.8777754
0.027897591,-0.317,0.599792931,1.8173337,2.297,2.17,0.459,2.979755319,3.025281024,3.082704778,3.10445214,3.098740024,3.018422883,2.93,15.12,60.59286998,49.83,75.09077454,99.44091034,66.39905548,149.0582581,79.14923859,32.71545029,105.3501663,97.12235234,91.51857992
0.026824584,0.078,0.585280867,1.8173337,6.173,2.07,0.469,2.999624688,3.024576299,3.082704778,3.264728345,3.09421922,3.018911547,3.06,11.84,61.41351474,56.35,82.00558472,99.4149704,95.04406738,117.7484207,89.30683136,85.24398804,42.97225952,66.65926667,92.31783718
0.02623616,-0.065,0.599323898,1.708,5.167,2.09,0.409,2.992476981,3.025258255,3.077680856,3.225533613,3.095125017,3.01597598,3.34,11.4,56.60819119,59,71.93954468,85.08383942,80.35968018,101.2715149,76.36673737,26.12306976,35.55521011,85.75431068,89.40118925
0.023283655,-0.263,0.581922874,1.708,3.09,2.15,0.403,2.982495047,3.02441316,3.077680856,3.139399623,3.097837496,3.015681949,3.44,11.75,42.41258188,64.99,59.61723328,82.83348846,68.518013,85.01700592,81.79131317,49.51333237,92.99913788,79.92837485,77.0265398
0.028588781,-0.042,0.616738966,1.708,4.896,2.16,0.457,2.993630065,3.026103317,3.077680856,3.214707148,3.098288862,3.018325122,3.47,13.57,126.8743665,65.59,105.7698593,160.4738312,202.5643158,156.9485779,134.6169891,138.8449707,68.26113892,74.05627947,76.79072877
0.029116336,0.563,0.595242569,1.6089997,8.585,2.18,0.447,3.023493344,3.025060106,3.073109881,3.352882105,3.099190982,3.017836172,3.89,12.46,80.45718733,62.26,79.8299942,71.51885986,83.1720047,62.82376862,70.40970612,141.3383636,32.72947693,79.31924323,74.03845168
0.027991003,0.646,0.60695042,1.6089997,3.908,2.22,0.404,3.027521596,3.025628418,3.073109881,3.174213131,3.100992784,3.01573096,3.86,13.48,32.46609598,58.32,60.06785202,95.44764709,140.0655518,85.19086456,57.40055847,55.57432175,86.75798035,77.72626175,74.0782742
0.028451069,0.472,0.587606497,1.6089997,5.147,2.23,0.534,3.019058099,3.024689268,3.073109881,3.224738605,3.101442728,3.022082049,3.99,11.01,78.73817649,59.41,70.02675629,61.47662354,63.61540222,53.46963882,36.82439041,96.36314392,57.22021103,63.97693503,82.5874249
0.029822473,0.665,0.577899606,1.5933337,10.668,2.22,0.418,3.028441448,3.024217665,3.072384642,3.423219766,3.100992784,3.016416865,4.37,12.07,62.22241081,65.49,75.07923889,83.96113586,88.12340546,78.60295105,80.97428894,104.8241959,83.60843658,86.54246332,82.40277458
0.028346729,0.761,0.582513696,1.5933337,9.029,2.05,0.522,3.033076227,3.024441866,3.072384642,3.36829533,3.093312602,3.021497481,4.51,13.23,60.371622,61.63,69.491745,60.63415146,76.18671417,55.29086685,44.47035599,79.35954285,64.71510315,67.81324583,84.91605061
0.029624064,1,0.570443357,1.5933337,6.668,2.03,0.538,3.044522438,3.023855257,3.072384642,3.283464345,3.092405161,3.022276829,4.52,11.72,46.38076047,62.69,55.00807571,79.82993317,94.21289825,68.94371033,85.26280212,94.51129913,84.22509766,96.83735353,85.66593297
0.031357665,0.909,0.55861868,1.4676663,6.653,1.95,0.58,3.040179688,3.023280254,3.06654791,3.282901715,3.08876714,3.02431973,4.65,11.57,57.94457798,69.44,81.65171814,89.04356384,79.12750244,103.3140106,50.49769592,162.1650696,133.5046997,80.71140622,90.87574434
0.030293783,0.742,0.566248547,1.4676663,9.563,1.91,0.698,3.03216063,3.023651312,3.06654791,3.386523579,3.086943154,3.030037077,4.74,11.99,95.86812371,70.84,67.80979156,82.44514465,71.2885437,88.35649109,91.51164246,116.8075943,66.02268982,86.22192292,86.94474873
0.02927697,0.597,0.598842831,1.4676663,5.837,1.91,0.86,3.025145434,3.025234901,3.06654791,3.251807573,3.086943154,3.03783345,4.87,14.32,91.21692512,70.95,82.58628082,89.85152435,105.8366318,96.58042145,74.43009186,91.25888824,110.9243469,73.68794012,73.09620006
0.028229837,0.726,0.596113709,1.5183333,7.209,1.8,0.817,3.031388951,3.025102403,3.068905283,3.303547801,3.08190997,3.035769961,4.97,13.05,120.163635,74.41,84.47445679,82.00437164,98.15416718,84.71546173,73.43398285,79.23003387,42.70708466,115.8046467,100.8201958
0.02405974,1.094,0.57994611,1.5183333,4.061,1.72,0.838,3.04898864,3.024317112,3.068905283,3.180592272,3.078233495,3.036778243,4.92,14.34,134.5969372,73.04,71.51509857,58.86662674,59.31985092,47.26743317,42.7521286,101.6216125,36.35945511,83.46149966,86.1146878
0.028886051,1.196,0.573584686,1.5183333,7.74,1.72,0.996,3.053812485,3.024007956,3.068905283,3.322875415,3.078233495,3.044331943,4.77,11.96,35.06334046,63.8,61.75134659,76.82971191,93.78133392,58.60936737,40.59193802,95.02355957,71.5186615,79.65969393,82.26668277
0.028446322,0.003,0.568950655,1.436333,4.203,1.76,0.964,2.995882262,3.023782689,3.065087286,3.186476592,3.080073422,3.042806681,4.95,12.57,36.0965598,58.89,55.62950897,71.22180176,54.06163788,102.5792542,57.94781494,128.9896698,74.12514496,95.88160327,112.7486601
0.028691433,-0.12,0.557542189,1.436333,8.949,1.67,1.086,2.989714201,3.02322789,3.065087286,3.365535661,3.075928816,3.048609313,4.9,11.42,48.19654219,59.08,49.59912872,73.84509277,71.95194244,45.5282402,64.62189484,102.033699,43.89590454,82.3826071,84.95063855
0.028243432,-0.022,0.572302269,1.436333,8.711,1.63,1.084,2.994631668,3.023945621,3.065087286,3.357280325,3.07408124,3.048514459,4.89,11.66,17.61622867,61.96,51.03903961,74.91799164,84.13798523,65.25806427,52.11735916,58.93058014,67.6783905,80.43932055,83.00585097
0.02743511,-0.108,0.57439263,1.2703333,12.072,1.68,1.043,2.990317641,3.024047226,3.057313299,3.467983375,3.076390177,3.046567963,4.99,11.56,44.72173253,54.51,74.51002502,62.33881378,74.49567413,100.064415,33.97538376,149.0618439,80.1708374,81.88544547,91.46403355
0.030193959,0.289,0.576219382,1.2703333,13.71,1.56,1.022,3.010078867,3.02413601,3.057313299,3.517794529,3.070839746,3.045569508,5.01,10.08,27.48456458,59.28,50.86001968,58.51786423,47.3278656,110.7916489,23.31752014,106.7869415,64.65911865,94.05190415,84.78519788
0.031870393,0.656,0.563048699,1.2703333,14.081,1.6,1.204,3.028005834,3.023495713,3.057313299,3.528740044,3.072693315,3.054189843,4.9,18.61,59.73266382,60.44,72.52986145,71.11644745,100.4476547,69.78369141,41.88372803,83.08111572,70.07432556,76.73695938,75.56315595
0.0319079,1.179,0.561609006,0.9896667,12.599,1.52,1.177,3.053010125,3.023425697,3.044030255,3.484281613,3.068982735,3.052915687,4.79,14.53,31.23259476,63.98,59.8413887,65.16531372,69.16750336,79.72940826,35.20516586,154.7365112,68.3313446,97.69672419,91.12969883
0.027181098,1.265,0.557733741,0.9896667,8.186,1.51,1.094,3.057062529,3.023237208,3.044030255,3.338825401,3.068517943,3.04898864,4.6,13.08,36.2766463,63.46,71.13732147,54.99327469,28.43398476,110.5976257,34.04615021,87.80557251,47.79152679,101.8956179,83.61323408
0.029729288,1.252,0.552397301,0.9896667,9.735,1.56,1.069,3.056451009,3.022977591,3.044030255,3.392324803,3.070839746,3.047802766,4.68,12.78,42.45996474,67.49,68.7592392,60.84606171,45.65317535,74.188591,39.64413452,86.8629837,77.08946228,94.71720906,76.18691761
0.028362371,1.134,0.549212543,0.978667,9.411,1.51,1.103,3.050883118,3.022822621,3.043506064,3.381368754,3.068517943,3.04941521,4.82,15.4,25.43432021,74.12,44.78275299,47.69234467,37.95064926,48.65172958,42.00607681,84.8600235,136.7205811,83.46434899,74.30745171
0.024684543,1.157,0.568465615,0.978667,6.475,1.44,1.325,3.05197082,3.023759108,3.043506064,3.276200891,3.065258336,3.059880093,3.91,21.22,148.9329355,72.36,90.0072937,94.66285706,117.5662918,151.1452942,76.18293762,39.61501694,56.73624039,77.60296965,75.36807363
0.027216874,1.16,0.557080667,0.978667,8.88,1.38,1.495,3.052112607,3.02320544,3.043506064,3.363149314,3.062455906,3.06782035,3.72,23.38,154.1409048,79.92,109.8926544,166.7332001,186.6208649,267.5460815,178.9587097,61.48648453,90.57120514,69.82748672,94.64316086
0.02777846,1.814,0.565899074,1.0859996,6.498,1.31,1.265,3.082551966,3.023634319,3.048609294,3.277069258,3.059176446,3.057062529,3.84,18.49,122.1359633,85.8,90.64006805,96.88045502,141.7201691,147.1581879,68.95202637,85.83960724,92.54260254,76.98911548,97.35279334
0.02741129,2.343,0.566849679,1.0859996,5.142,1.26,1.231,3.106513073,3.023680541,3.048609294,3.224539754,3.056827373,3.055462378,3.08,23.01,94.69215131,94.77,106.5661621,97.73733521,88.44246674,113.9740677,58.10637283,57.53176117,108.4284668,75.93914769,72.9358514
0.026849312,2.613,0.593650421,1.0859996,7.503,1.39,1.124,3.118524962,3.024982796,3.048609294,3.31429509,3.062923523,3.050409835,3.29,23.61,125.2693112,91.69,116.9908981,98.01473236,116.0400543,120.6578827,81.57663727,125.646286,93.82692719,90.94471974,72.56060659
0.02782808,4.272,0.576868375,0.7303337,3.234,1.41,0.932,3.189323423,3.02416755,3.031598024,3.145616723,3.063858103,3.041279089,1.92,23.17,238.2866373,92.97,177.0422058,160.2590485,186.539093,224.4404602,129.9138031,124.265892,142.8052368,76.38003494,74.37611808
0.028240693,4.318,0.570336103,0.7303337,1.744,1.42,0.873,3.191216817,3.023850043,3.031598024,3.079337857,3.064325065,3.038456458,1.81,24.02,102.750519,95.39,108.3147354,128.7845459,127.3486557,144.9771423,119.0305023,143.6300659,157.7542725,88.16442454,73.85223955
0.028894583,3.64,0.566492433,0.7303337,0.993,1.48,1.217,3.162940193,3.023663171,3.031598024,3.044189049,3.06712227,3.054802747,1.36,26.28,161.235678,105.45,114.4745712,139.8707275,91.62520599,191.3272247,100.893959,145.3533173,174.0117188,73.54504544,94.10876895
0.029008136,3.407,0.590278113,1.1120003,0.653,1.57,1.124,3.153035123,3.024819028,3.049841613,3.027860587,3.07130346,3.050409835,1.41,23.43,88.15247823,112.58,98.19770813,96.74758148,78.17948151,120.2012024,92.03775024,145.4421997,145.5144958,73.39338527,91.89627908
0.02860949,3.119,0.574519238,1.1120003,6.044,1.69,1.151,3.14065479,3.02405338,3.049841613,3.259787415,3.076851325,3.051687186,1.85,18.18,48.31972309,125.4,88.6734314,76.82344055,53.69578934,73.11942291,57.07178116,111.4049988,100.6835785,81.96152039,107.0484028
0.028815235,2.734,0.564289233,1.1120003,5.135,1.63,1.127,3.123861601,3.023556039,3.049841613,3.224261297,3.07408124,3.050551843,1.87,19.83,51.21319244,133.88,89.13687897,106.4278412,114.4253693,108.1952896,85.61047363,103.0274963,157.0119324,56.29097808,82.81294228
0.027374091,2.839,0.569898476,0.9096667,0.672,1.6,1.061,3.128469601,3.023828768,3.040211574,3.028780128,3.072693315,3.047422989,1.65,25.92,94.88114733,133.37,115.1027222,87.93302155,85.72582245,87.52262878,70.77664185,25.9875412,152.1179199,80.76726187,87.29113013
0.02306175,2.973,0.574038712,0.9096667,2.559,1.45,1.223,3.134319613,3.024030024,3.040211574,3.116134099,3.065724645,3.055085499,1.69,22.57,66.78899498,116.67,81.16308594,92.29638672,86.25924683,107.7161789,78.42800903,85.45172882,205.6284485,153.5595882,70.10380876
0.027521926,3.205,0.658427685,0.9096667,0.051,1.33,1.267,3.144367773,3.028123356,3.040211574,2.998279028,3.060114532,3.057156576,0.9,21.99,202.1720929,104.11,238.171875,156.0435028,155.9117584,206.8439789,126.7844849,120.6571274,298.3870239,129.0689034,84.19480815
0.027957816,2.94,0.634267589,0.5059999,-0.606,1.5,1.269,3.132882112,3.026953169,3.020717521,2.96496374,3.068052935,3.057250614,0.44,45.26,181.9019392,76.61,241.7722778,216.5917816,256.0717773,272.4897461,140.9512634,199.2349548,187.5682373,100.8231374,90.97592763
0.025307291,2.505,0.691240616,0.5059999,-1.408,1.17,0.541,3.113737507,3.029710452,3.020717521,2.922731381,3.052585085,3.022422889,0.01,53.68,142.7077398,57.31,162.7133789,156.7744598,188.7566986,170.8104095,119.7324982,111.7271118,194.23703,112.2145954,99.27257582
0.025954165,2.436,0.679259146,0.5059999,-4.309,1.02,0.163,3.110666812,3.029131224,3.020717521,2.7530873,3.045474365,3.003849242,0.11,62.98,113.5509472,41.12,157.8286743,136.7845612,192.4884491,217.359787,66.90203094,143.165802,232.7663879,96.64414911,89.54149385
0.028735515,1.435,0.653595478,-0.076667,-4.181,1.08,-0.075,3.0650251,3.027889419,2.991891557,2.761211749,3.048324724,2.991975225,0.24,39.19,71.8785307,41.71,184.8178253,159.9938354,174.7227325,216.7999573,95.44641876,121.8899994,223.546875,99.72913723,99.27209062
0.027907568,1.049,0.685267325,-0.076667,-1.522,1.12,0.505,3.046853053,3.029421723,2.991891557,2.916580835,3.050220459,3.020668759,0.26,45.52,145.2466263,39.09,202.5479584,139.6969757,121.999321,163.9576874,110.5293808,57.71405411,170.9781342,93.34286623,96.9300351
