BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.120847584,0.69,0,-0.1336667,-5.513,-0.05,-0.076,3.029650492,2.995732274,2.989026505,2.673251696,2.993229143,2.991925035,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.118954399,1.012,0,-0.1336667,-3.804,0.08,-0.078,3.045093703,2.995732274,2.989026505,2.784764298,2.999724295,2.991824649,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.118248778,0.627,0,-0.1336667,-2.303,-0.08,-0.052,3.026600897,2.995732274,2.989026505,2.873395134,2.991724252,2.993128888,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.119139342,0.669,0,-0.0633333,-4.606,-0.13,-0.029,3.028634993,2.995732274,2.992560584,2.733977823,2.989211057,2.994281221,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.11853942,0.916,0,-0.0633333,-1.534,-0.41,-0.026,3.040514416,2.995732274,2.992560584,2.915931203,2.975019232,2.994431428,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.119503591,0.418,0,-0.0633333,-6.727,-0.33,-0.057,3.016416865,2.995732274,2.992560584,2.585731897,2.979094632,2.992878205,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.113521091,0.637,0,0.0996667,-4.854,-0.36,-0.032,3.027085581,2.995732274,3.000703233,2.717736471,2.977568303,2.994130992,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.109965859,0.379,0,0.0996667,-5.328,-0.22,-0.047,3.014504959,2.995732274,3.000703233,2.685940916,2.984671326,2.993379508,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.119227777,0.48,0,0.0996667,-4.251,-0.24,-0.03,3.0194488,2.995732274,3.000703233,2.756776871,2.983659692,2.994231147,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.119350263,0.834,0,0.2073333,-1.151,-0.16,-0.037,3.036586268,2.995732274,3.006045573,2.936459862,2.987700102,2.99388056,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
0.113646106,0.631,0,0.2073333,-3.765,-0.11,-0.041,3.026794799,2.995732274,3.006045573,2.787169406,2.990217093,2.993680169,0.91,16.55,30.29223263,31.11,78.6960907,91.81498718,106.2877808,78.83218384,86.32300568,107.1847076,37.15930557,95.7723132,80.09874359
0.121460677,0.736,0,0.2073333,-8.641,-0.22,-0.044,3.03187132,2.995732274,3.006045573,2.430010381,2.984671326,2.99352985,0.91,16.27,60.47648217,32.13,90.34359741,82.68560028,61.57172012,75.70652771,73.47694397,78.41303253,97.13572693,102.8207341,99.50458837
0.121861295,0.831,0,-0.2013333,-0.241,-0.22,-0.052,3.036442262,2.995732274,2.985614597,2.983609084,2.984671326,2.993128888,0.9,18.22,94.51192914,34.31,88.27758789,75.34062958,59.47798538,76.26370239,52.9017868,124.426239,101.1584015,85.79190271,89.41577492
0.119918482,0.822,0,-0.2013333,-3.811,-0.18,-0.116,3.03601012,2.995732274,2.985614597,2.784331999,2.986691529,2.989915388,0.93,17.11,53.07184275,34.69,88.90148163,76.99822998,83.92586517,51.82107925,80.38735962,109.1451035,46.90383148,94.10591184,78.60084387
0.121785976,0.988,0,-0.2013333,-5.141,-0.17,-0.104,3.043950846,2.995732274,2.985614597,2.698605742,2.987195943,2.990518707,0.93,14.86,38.91576892,36.74,84.3309021,125.0216446,117.3388062,156.4485626,97.98274994,77.43811035,85.35299683,87.56225103,92.37258476
0.116146231,0.726,0,-0.246667,-5.653,-0.21,-0.068,3.031388951,2.995732274,2.983322237,2.663540861,2.98517676,2.99232648,0.96,15.64,57.15698577,36.75,79.72691345,109.8380356,104.8796005,169.8411255,59.87421417,110.5964737,43.1658287,96.00481801,83.61222162
0.109856158,0.347,0,-0.246667,-7.006,-0.3,-0.066,3.012933481,2.995732274,2.983322237,2.564487712,2.980618636,2.992426817,1.06,16.62,92.67783958,40.28,97.2080307,114.849823,126.787468,170.8830261,76.00424957,88.85319519,137.9871979,107.3065169,101.8330859
0.11507107,0.674,0,-0.246667,-3.009,-0.37,-0.057,3.028876872,2.995732274,2.983322237,2.832683792,2.977059008,2.992878205,1.3,16.08,114.736083,38.03,85.27448273,99.8453064,104.7889633,128.3917542,56.01540756,116.6262817,59.12108612,76.36504181,92.50442169
0.11076505,0.608,0,-0.533,-6.895,-0.28,-0.068,3.02567935,2.995732274,2.968720724,2.572993837,2.981633349,2.99232648,1.41,15.08,73.34909203,40.78,88.95649719,115.9253998,57.15773392,99.18595886,124.9737625,75.10518646,50.48696136,72.91038409,86.08021248
0.111941668,0.648,0,-0.533,-7.994,-0.33,-0.068,3.027618462,2.995732274,2.968720724,2.485406525,2.979094632,2.99232648,1.59,15.37,95.12458581,44.9,84.44986725,77.3423996,60.64183807,99.52498627,50.74696732,36.51834106,88.03998566,72.77615468,74.03549073
0.117514176,0.469,0,-0.533,-5.901,-0.24,-0.018,3.018911547,2.995732274,2.968720724,2.646103873,2.983659692,2.994831868,1.68,14.28,71.32165237,45.94,108.5095825,89.59677124,65.45806122,143.2897491,48.16343689,64.54100037,92.03104401,137.4411025,90.05754795
0.114064001,-0.407,0,-0.411333,-9.435,-0.26,-0.014,2.97517236,2.995732274,2.974951185,2.357546651,2.982647034,2.995032028,1.87,12.75,107.7022302,53.28,118.3414459,120.0014648,115.984375,122.1546631,154.4183197,56.45822144,107.5005188,85.27479418,82.15916514
0.113869633,-0.173,0,-0.411333,-8.736,-0.24,-0.013,2.987044645,2.995732274,2.974951185,2.421611799,2.983659692,2.995082062,2.19,16.18,78.57551175,48.47,96.69577026,127.938324,68.12167358,195.9334259,95.49815369,39.24856949,93.9905014,102.7393302,87.49682814
0.121711652,0.218,0,-0.411333,-8.058,-0.23,-0.017,3.006573297,2.995732274,2.974951185,2.480061598,2.984165637,2.994881912,2.18,12.98,28.59229406,43.15,66.53287506,83.33496857,54.96220779,110.0841217,42.32065201,81.47636414,96.87821198,101.978866,81.61707782
0.121621707,-0.325,0,-0.238,-11.509,-0.21,-0.005,2.979348794,2.995732274,2.983760902,2.139006779,2.98517676,2.995482242,2.48,14.08,77.83283293,46.84,66.73433685,58.94661713,48.37984085,65.62034607,47.83789444,175.2454529,75.73043823,91.53623011,97.16167635
0.119959436,-0.388,0,-0.238,-6.46,-0.23,0.019,2.976141624,2.995732274,2.983760902,2.605648267,2.984165637,2.996681823,2.72,11.66,31.34054454,48.15,51.69568634,74.9770813,53.16243362,90.66368103,59.98699951,112.5640182,32.59744644,101.479898,97.48550868
0.12034686,-0.487,0,-0.238,-6.879,-0.29,-0.009,2.97108091,2.995732274,2.983760902,2.574214,2.981126121,2.995282172,2.73,12.5,42.25327753,54.19,49.30863571,81.45478821,40.66996002,107.5706253,55.9072876,107.5473404,99.00125122,110.3986235,104.0453916
0.117034108,-0.584,0,-0.206,-3.243,-0.29,-0.057,2.966097468,2.995732274,2.985378861,2.818816081,2.981126121,2.992878205,2.84,14.09,68.83730803,52.98,78.39586639,89.07868195,34.60283279,117.0465622,93.47690582,75.75196838,50.36788559,88.55944214,105.8777754
0.118416752,-0.608,0,-0.206,-2.838,-0.23,-0.063,2.96486061,2.995732274,2.985378861,2.842697637,2.984165637,2.992577302,2.93,15.12,60.59286998,49.83,75.09077454,99.44091034,66.39905548,149.0582581,79.14923859,32.71545029,105.3501663,97.12235234,91.51857992
0.113629135,-0.912,0,-0.206,-4.665,-0.16,-0.058,2.949059865,2.995732274,2.985378861,2.730137798,2.987700102,2.99282806,3.06,11.84,61.41351474,56.35,82.00558472,99.4149704,95.04406738,117.7484207,89.30683136,85.24398804,42.97225952,66.65926667,92.31783718
0.111999782,-0.914,0,0.004,-1.603,-0.22,-0.03,2.948955082,2.995732274,2.995932254,2.912187608,2.984671326,2.994231147,3.34,11.4,56.60819119,59,71.93954468,85.08383942,80.35968018,101.2715149,76.36673737,26.12306976,35.55521011,85.75431068,89.40118925
0.105960552,-0.834,0,0.004,0.352,-0.32,-0.021,2.953137876,2.995732274,2.995932254,3.013179187,2.979602892,2.994681722,3.44,11.75,42.41258188,64.99,59.61723328,82.83348846,68.518013,85.01700592,81.79131317,49.51333237,92.99913788,79.92837485,77.0265398
0.112947417,-0.724,0,0.004,-1.848,-0.3,-0.018,2.958860799,2.995732274,2.995932254,2.898780747,2.980618636,2.994831868,3.47,13.57,126.8743665,65.59,105.7698593,160.4738312,202.5643158,156.9485779,134.6169891,138.8449707,68.26113892,74.05627947,76.79072877
0.11647819,-0.231,0,-0.1620001,-2.976,-0.35,-0.02,2.984115054,2.995732274,2.987599285,2.834624113,2.978077338,2.994731773,3.89,12.46,80.45718733,62.26,79.8299942,71.51885986,83.1720047,62.82376862,70.40970612,141.3383636,32.72947693,79.31924323,74.03845168
