BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.117074947,-0.215,0,-0.6753334,-2.979,0.47,-0.12,2.984924075,2.995732274,2.961382342,2.834447876,3.0189604,2.989714201,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.123982518,-0.385,0,-0.6753334,-2.821,0.42,-0.14,2.97629458,2.995732274,2.961382342,2.843687708,3.016514813,2.988707659,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.12706266,-0.422,0,-0.6753334,0.243,0.37,-0.15,2.974406487,2.995732274,2.961382342,3.007809055,3.01406323,2.988204007,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.122214107,-0.514,0,-0.4926667,-2.042,0.39,-0.1,2.969696259,2.995732274,2.970790462,2.888035698,3.015044585,2.990719732,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.122868368,-0.301,0,-0.4926667,2.845,0.2,-0.1,2.980567873,2.995732274,2.970790462,3.128732275,3.005682604,2.990719732,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.129619282,-0.579,0,-0.4926667,-5.101,0.18,-0.13,2.966354955,2.995732274,2.970790462,2.701294097,3.004692015,2.989211057,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.127850811,-0.37,0,-0.4366666,-2.476,0.25,-0.07,2.977059008,2.995732274,2.973657069,2.86357137,3.008154794,2.992226134,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.130691347,-0.453,0,-0.4366666,-4.702,0.57,-0.08,2.972821822,2.995732274,2.973657069,2.727722101,3.023833704,2.991724252,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.130948102,-0.658,0,-0.4366666,-4.316,0.71,-0.09,2.962278897,2.995732274,2.973657069,2.752641084,3.030616675,2.991222118,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.123742266,-0.509,0,-0.3893334,-1.03,0.75,-0.1,2.969952821,2.995732274,2.976073632,2.942858784,3.032546247,2.990719732,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
0.131347991,-0.598,0,-0.3893334,-1.414,0.73,-0.1,2.965376154,2.995732274,2.976073632,2.922408609,3.031581926,2.990719732,0.91,16.55,30.29223263,31.11,78.6960907,91.81498718,106.2877808,78.83218384,86.32300568,107.1847076,37.15930557,95.7723132,80.09874359
0.12138101,-0.749,0,-0.3893334,-6.63,0.77,-0.09,2.957563007,2.995732274,2.976073632,2.593013391,3.033509638,2.991222118,0.91,16.27,60.47648217,32.13,90.34359741,82.68560028,61.57172012,75.70652771,73.47694397,78.41303253,97.13572693,102.8207341,99.50458837
0.121827607,-0.05,0,-0.6486666,2.033,0.69,-0.08,2.993229143,2.995732274,2.962761327,3.092541329,3.029650492,2.991724252,0.9,18.22,94.51192914,34.31,88.27758789,75.34062958,59.47798538,76.26370239,52.9017868,124.426239,101.1584015,85.79190271,89.41577492
0.13054084,-0.281,0,-0.6486666,-2.515,0.66,-0.15,2.981582638,2.995732274,2.962761327,2.861343371,3.028199464,2.988204007,0.93,17.11,53.07184275,34.69,88.90148163,76.99822998,83.92586517,51.82107925,80.38735962,109.1451035,46.90383148,94.10591184,78.60084387
0.129220885,0.125,0,-0.6486666,-4.919,0.58,-0.17,3.001962823,2.995732274,2.962761327,2.713435673,3.02431973,2.987195943,0.93,14.86,38.91576892,36.74,84.3309021,125.0216446,117.3388062,156.4485626,97.98274994,77.43811035,85.35299683,87.56225103,92.37258476
0.129792985,0.021,0,-0.841667,-3.797,0.58,-0.15,2.996781723,2.995732274,2.952737765,2.78519641,3.02431973,2.988204007,0.96,15.64,57.15698577,36.75,79.72691345,109.8380356,104.8796005,169.8411255,59.87421417,110.5964737,43.1658287,96.00481801,83.61222162
0.126299513,-0.11,0,-0.841667,-5.094,0.7,-0.16,2.990217093,2.995732274,2.952737765,2.701763816,3.0301337,2.987700102,1.06,16.62,92.67783958,40.28,97.2080307,114.849823,126.787468,170.8830261,76.00424957,88.85319519,137.9871979,107.3065169,101.8330859
0.128369864,-0.04,0,-0.841667,-2.482,0.65,-0.14,2.993730271,2.995732274,2.952737765,2.863228924,3.027715319,2.988707659,1.3,16.08,114.736083,38.03,85.27448273,99.8453064,104.7889633,128.3917542,56.01540756,116.6262817,59.12108612,76.36504181,92.50442169
0.121939903,-0.115,0,-1.2386667,-6,0.66,-0.1,2.989965679,2.995732274,2.931798012,2.63905733,3.028199464,2.990719732,1.41,15.08,73.34909203,40.78,88.95649719,115.9253998,57.15773392,99.18595886,124.9737625,75.10518646,50.48696136,72.91038409,86.08021248
0.127843479,0.202,0,-1.2386667,-3.33,0.75,-0.1,3.005781609,2.995732274,2.931798012,2.813610697,3.032546247,2.990719732,1.59,15.37,95.12458581,44.9,84.44986725,77.3423996,60.64183807,99.52498627,50.74696732,36.51834106,88.03998566,72.77615468,74.03549073
0.1343273,-0.018,0,-1.2386667,-3.921,0.67,-0.09,2.994831868,2.995732274,2.931798012,2.777514073,3.028683374,2.991222118,1.68,14.28,71.32165237,45.94,108.5095825,89.59677124,65.45806122,143.2897491,48.16343689,64.54100037,92.03104401,137.4411025,90.05754795
0.124204988,-0.538,0,-1.182333,-7.619,0.66,-0.1,2.968463846,2.995732274,2.934796163,2.516163039,3.028199464,2.990719732,1.87,12.75,107.7022302,53.28,118.3414459,120.0014648,115.984375,122.1546631,154.4183197,56.45822144,107.5005188,85.27479418,82.15916514
0.130094867,-0.277,0,-1.182333,-9.476,0.58,-0.09,2.981785467,2.995732274,2.934796163,2.353658363,3.02431973,2.991222118,2.19,16.18,78.57551175,48.47,96.69577026,127.938324,68.12167358,195.9334259,95.49815369,39.24856949,93.9905014,102.7393302,87.49682814
0.127394884,0.246,0,-1.182333,-8.32,0.51,-0.08,3.007957243,2.995732274,2.934796163,2.457877977,3.020912572,2.991724252,2.18,12.98,28.59229406,43.15,66.53287506,83.33496857,54.96220779,110.0841217,42.32065201,81.47636414,96.87821198,101.978866,81.61707782
0.125518961,-0.46,0,-0.8426666,-11.005,0.49,-0.02,2.972463647,2.995732274,2.952685587,2.196668867,3.019936962,2.994731773,2.48,14.08,77.83283293,46.84,66.73433685,58.94661713,48.37984085,65.62034607,47.83789444,175.2454529,75.73043823,91.53623011,97.16167635
0.129305737,-0.299,0,-0.8426666,-4.521,0.44,-0.04,2.980669396,2.995732274,2.952685587,2.739484267,3.017493765,2.993730271,2.72,11.66,31.34054454,48.15,51.69568634,74.9770813,53.16243362,90.66368103,59.98699951,112.5640182,32.59744644,101.479898,97.48550868
0.130400295,-1.037,0,-0.8426666,-2.761,0.48,-0.06,2.942489712,2.995732274,2.952685587,2.847174259,3.0194488,2.992727765,2.73,12.5,42.25327753,54.19,49.30863571,81.45478821,40.66996002,107.5706253,55.9072876,107.5473404,99.00125122,110.3986235,104.0453916
0.128919145,-0.977,0,-0.5726666,-1.303,0.53,-0.12,2.945648773,2.995732274,2.966681013,2.928363083,3.021887231,2.989714201,2.84,14.09,68.83730803,52.98,78.39586639,89.07868195,34.60283279,117.0465622,93.47690582,75.75196838,50.36788559,88.55944214,105.8777754
