BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.184229344,1.379,-0.591592845,-1.2123334,-5.172,-0.92,-0.092,3.062409132,2.965706331,2.933200623,2.696517285,2.948640666,2.991121661,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.190480829,1.622,-0.575864395,-1.2123334,-2.088,-0.99,-0.097,3.073711315,2.966516396,2.933200623,2.885470879,2.944965157,2.990870474,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.18503774,1.867,-0.565636349,-1.2123334,-1.255,-1.03,0.11,3.084978651,2.967042821,2.933200623,2.93092705,2.942858784,3.001217204,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.187348927,0.832,-0.555399941,-1.4683337,-4.438,-1,0.147,3.036490266,2.9675694,2.919480961,2.744832045,2.944438979,3.003055394,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.192070206,0.611,-0.550647975,-1.4683337,-1.51,-1.08,0.139,3.025824914,2.967813755,2.919480961,2.917230045,2.940219564,3.002658234,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.187675301,0.678,-0.716831282,-1.4683337,-5.363,-1.2,0.308,3.029070333,2.959232628,2.919480961,2.68355257,2.93385687,3.011014897,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.193229249,1.077,-0.681100504,-1.5683333,1.308,-1.06,0.03,3.048182399,2.961083865,2.914070202,3.059082589,2.941276088,2.99723115,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.186089751,1.198,-0.685955005,-1.5683333,-10.229,-0.86,-0.18,3.053906838,2.960832551,2.914070202,2.279418815,2.951780386,2.986691529,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.188403062,1.096,-0.669220265,-1.5683333,-6.625,-0.73,-0.177,3.049083449,2.96169863,2.914070202,2.593387293,2.958549482,2.98684288,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.190601291,0.573,-0.641323741,-1.5046667,-1.656,-0.79,-0.334,3.023979536,2.963140704,2.917518446,2.909302546,2.955430977,2.978891256,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
