BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.036423417,0.9,-0.508091322,-0.3033334,-3.047,2.09,-2.096,3.039749159,2.96999944,2.980449413,2.830444809,3.095125017,2.885024152,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.039355222,0.9,-0.494141003,-0.3033334,1.619,1.92,-1.987,3.039749159,2.970714882,2.980449413,3.073572558,3.087399462,2.891093719,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.038709536,1,-0.485507081,-0.3033334,3.431,1.82,-1.812,3.044522438,2.971157416,2.980449413,3.154059932,3.08282698,2.900762036,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.03872318,0.4,-0.472792326,0.096666,3.896,1.57,-1.821,3.015534901,2.971808758,3.000553931,3.173711081,3.07130346,2.900267082,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.040972635,0.4,-0.468433003,0.096666,9.749,1.15,-1.551,3.015534901,2.972031977,3.000553931,3.392795518,3.051639905,2.915010168,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.042002811,0.5,-0.632610305,0.096666,4.412,1,-1.313,3.020424886,2.963590708,3.000553931,3.195074815,3.044522438,2.927828095,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.043860692,0.9,-0.596306504,0.113667,10.134,1.04,-1.371,3.039749159,2.965463434,3.001399534,3.405654102,3.046425388,2.924719506,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.043518177,0.8,-0.601984894,0.113667,-1.325,1.13,-1.576,3.034952987,2.965170747,3.001399534,2.927185731,3.050693832,2.913654163,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.042225112,0.9,-0.587143636,0.113667,6.633,1.11,-1.256,3.039749159,2.965935546,3.001399534,3.282151048,3.049746862,2.930873701,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.042846716,0.9,-0.559906816,0.051,9.257,1.21,-0.717,3.039749159,2.967337592,2.998279028,3.376118861,3.054472769,2.959223879,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
0.041824287,0.6,-0.617106972,0.051,5.765,1.31,-0.976,3.025291076,2.964390874,2.998279028,3.249016982,3.059176446,2.94570134,0.91,16.55,30.29223263,31.11,78.6960907,91.81498718,106.2877808,78.83218384,86.32300568,107.1847076,37.15930557,95.7723132,80.09874359
0.041586366,0.7,-0.585549516,0.051,8.75,0.96,-1.582,3.0301337,2.966017659,2.998279028,3.358637767,3.042615859,2.913328447,0.91,16.27,60.47648217,32.13,90.34359741,82.68560028,61.57172012,75.70652771,73.47694397,78.41303253,97.13572693,102.8207341,99.50458837
0.039984528,-0.7,-0.603217809,0.873666,6.326,2.46,-1.083,2.960105096,2.965107186,3.038488365,3.270557044,3.111735949,2.940060989,0.9,18.22,94.51192914,34.31,88.27758789,75.34062958,59.47798538,76.26370239,52.9017868,124.426239,101.1584015,85.79190271,89.41577492
0.040641198,-0.7,-0.568335772,0.873666,8.558,2.69,-1.397,2.960105096,2.966903912,3.038488365,3.351937107,3.121924299,2.923322858,0.93,17.11,53.07184275,34.69,88.90148163,76.99822998,83.92586517,51.82107925,80.38735962,109.1451035,46.90383148,94.10591184,78.60084387
0.04209346,-0.8,-0.538089625,0.873666,12.307,2.7,-1.285,2.954910279,2.968459241,3.038488365,3.475283925,3.122364924,2.929325341,0.93,14.86,38.91576892,36.74,84.3309021,125.0216446,117.3388062,156.4485626,97.98274994,77.43811035,85.35299683,87.56225103,92.37258476
