BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.040634218,-1.384,0.083501523,0.3673333,4.659,3.53,-2.048,2.924021426,2.999898658,3.013932309,3.205141945,3.158276203,2.887701529,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.038050584,-2.119,0.081723392,0.3673333,4.69,3.25,-1.952,2.883738697,2.999810117,3.013932309,3.206398303,3.146305132,2.893034875,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.037890723,-1.916,0.080129268,0.3673333,7.232,3.3,-2.02,2.895027569,2.999730732,3.013932309,3.304392752,3.148453361,2.889260029,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.036548235,-1.615,0.082607615,1.1356663,10.898,3.09,-2.039,2.911535115,2.999854148,3.050961959,3.430691457,3.139399623,2.888202741,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.038876069,-1.428,0.082214972,1.1356663,15.638,2.84,-1.764,2.92165507,2.999834596,3.050961959,3.573412484,3.128513385,2.903397662,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.037568206,-1.175,0.084220977,1.1356663,11.401,2.71,-1.694,2.935185774,2.999934481,3.050961959,3.44683974,3.122805356,2.907228875,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.038696019,-1.184,0.084794,1.145667,11.204,2.71,-1.439,2.934707572,2.999963011,3.051435015,3.440546292,3.122805356,2.921062605,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.034593156,-1.23,0.083970111,1.145667,9.53,2.78,-1.429,2.932259851,2.99992199,3.051435015,3.385406696,3.125882958,2.921601224,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.036198016,-1.334,0.082076629,1.145667,13.193,2.79,-1.139,2.926703687,2.999827707,3.051435015,3.50233901,3.126321843,2.937096298,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.037320725,-1.016,0.081416925,0.959,11.034,2.91,-0.446,2.943596519,2.999794856,3.042568148,3.435083378,3.131573496,2.973179869,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
0.036752069,-0.847,0.079871894,0.959,11.019,2.87,-0.546,2.952459361,2.999717915,3.042568148,3.43459992,3.129826008,2.968052704,0.91,16.55,30.29223263,31.11,78.6960907,91.81498718,106.2877808,78.83218384,86.32300568,107.1847076,37.15930557,95.7723132,80.09874359
0.037438984,-0.756,0.079107575,0.959,13.215,2.85,-1.032,2.957199324,2.99967985,3.042568148,3.503001581,3.128951117,2.942753349,0.91,16.27,60.47648217,32.13,90.34359741,82.68560028,61.57172012,75.70652771,73.47694397,78.41303253,97.13572693,102.8207341,99.50458837
0.043237829,-0.614,0.082529871,1.521333,14.762,4.36,-0.582,2.964551156,2.999850276,3.069044676,3.548524836,3.192942443,2.966200471,0.9,18.22,94.51192914,34.31,88.27758789,75.34062958,59.47798538,76.26370239,52.9017868,124.426239,101.1584015,85.79190271,89.41577492
0.040078496,-0.348,0.08093335,1.521333,18.155,4.18,-0.68,2.978179114,2.999770775,3.069044676,3.641656811,3.185525845,2.961140829,0.93,17.11,53.07184275,34.69,88.90148163,76.99822998,83.92586517,51.82107925,80.38735962,109.1451035,46.90383148,94.10591184,78.60084387
0.038976015,-0.247,0.082319844,1.521333,23.078,4.36,-0.692,2.983305379,2.999839818,3.069044676,3.763012426,3.192942443,2.960519518,0.93,14.86,38.91576892,36.74,84.3309021,125.0216446,117.3388062,156.4485626,97.98274994,77.43811035,85.35299683,87.56225103,92.37258476
0.038535636,-0.2,0.080024446,0.893667,21.372,4.68,-0.509,2.985681938,2.999725512,3.039446099,3.722604324,3.205993199,2.969952821,0.96,15.64,57.15698577,36.75,79.72691345,109.8380356,104.8796005,169.8411255,59.87421417,110.5964737,43.1658287,96.00481801,83.61222162
0.035343054,0.634,0.079522472,0.893667,10.13,4.59,-0.776,3.026940201,2.999700513,3.039446099,3.405521353,3.202339856,2.956159498,1.06,16.62,92.67783958,40.28,97.2080307,114.849823,126.787468,170.8830261,76.00424957,88.85319519,137.9871979,107.3065169,101.8330859
0.03499853,1.749,0.078557892,0.893667,12.41,4.76,-0.943,3.079567779,2.999652474,3.039446099,3.478467017,3.209229448,2.947434488,1.3,16.08,114.736083,38.03,85.27448273,99.8453064,104.7889633,128.3917542,56.01540756,116.6262817,59.12108612,76.36504181,92.50442169
0.03501621,1.942,0.081567096,0.373,4.097,4.92,-1.009,3.088402608,2.999802334,3.014210495,3.182087351,3.215670694,2.943965183,1.41,15.08,73.34909203,40.78,88.95649719,115.9253998,57.15773392,99.18595886,124.9737625,75.10518646,50.48696136,72.91038409,86.08021248
0.032276733,1.983,0.082398503,0.373,13.844,5.04,-1.602,3.090269427,2.999843735,3.014210495,3.521761731,3.220474546,2.912241963,1.59,15.37,95.12458581,44.9,84.44986725,77.3423996,60.64183807,99.52498627,50.74696732,36.51834106,88.03998566,72.77615468,74.03549073
0.034927939,2.106,0.080765474,0.373,6.861,5.35,-2.214,3.095849065,2.999762415,3.014210495,3.29067542,3.23277873,2.878411631,1.68,14.28,71.32165237,45.94,108.5095825,89.59677124,65.45806122,143.2897491,48.16343689,64.54100037,92.03104401,137.4411025,90.05754795
0.035980668,2.2,0.080351726,0.637333,2.497,5.53,-1.735,3.100092289,2.999741811,3.027101717,3.113381967,3.239854231,2.90498666,1.87,12.75,107.7022302,53.28,118.3414459,120.0014648,115.984375,122.1546631,154.4183197,56.45822144,107.5005188,85.27479418,82.15916514
0.034293923,2.35,0.080977568,0.637333,10.081,5.44,-1.968,3.106826321,2.999772977,3.027101717,3.403893743,3.236322738,2.892147957,2.19,16.18,78.57551175,48.47,96.69577026,127.938324,68.12167358,195.9334259,95.49815369,39.24856949,93.9905014,102.7393302,87.49682814
0.035149576,2.265,0.083664308,0.637333,6.065,5.61,-2.234,3.103015939,2.999906764,3.027101717,3.260593418,3.2429829,2.877286518,2.18,12.98,28.59229406,43.15,66.53287506,83.33496857,54.96220779,110.0841217,42.32065201,81.47636414,96.87821198,101.978866,81.61707782
0.038980155,2.01,0.086504661,0.4113337,2.523,5.74,-1.964,3.091496896,3.00004818,3.01609032,3.114537009,3.248046202,2.892369761,2.48,14.08,77.83283293,46.84,66.73433685,58.94661713,48.37984085,65.62034607,47.83789444,175.2454529,75.73043823,91.53623011,97.16167635
0.036375836,1.773,0.084212763,0.4113337,2.927,5.86,-2.184,3.08067067,2.999934072,3.01609032,3.132315255,3.252697373,2.88009693,2.72,11.66,31.34054454,48.15,51.69568634,74.9770813,53.16243362,90.66368103,59.98699951,112.5640182,32.59744644,101.479898,97.48550868
0.035974084,1.301,0.083312894,0.4113337,-1.161,5.7,-2.083,3.05875402,2.999889266,3.01609032,2.935929189,3.246490992,2.885749983,2.73,12.5,42.25327753,54.19,49.30863571,81.45478821,40.66996002,107.5706253,55.9072876,107.5473404,99.00125122,110.3986235,104.0453916
0.035957148,0.94,0.081302055,0.2643334,-1.516,5.52,-1.338,3.041661205,2.999789136,3.008862365,2.916905493,3.239462458,2.926489371,2.84,14.09,68.83730803,52.98,78.39586639,89.07868195,34.60283279,117.0465622,93.47690582,75.75196838,50.36788559,88.55944214,105.8777754
0.035529124,0.883,0.084135247,0.2643334,0.975,5.25,-1.466,3.038935431,2.999930212,3.008862365,3.043331252,3.228826156,2.919606883,2.93,15.12,60.59286998,49.83,75.09077454,99.44091034,66.39905548,149.0582581,79.14923859,32.71545029,105.3501663,97.12235234,91.51857992
0.035142302,-0.322,0.082360784,0.2643334,8.261,5.19,-1.408,2.97950126,2.999841857,3.008862365,3.341482762,3.22644709,2.922731381,3.06,11.84,61.41351474,56.35,82.00558472,99.4149704,95.04406738,117.7484207,89.30683136,85.24398804,42.97225952,66.65926667,92.31783718
0.034310225,-0.465,0.079507066,1.01,4.331,4.83,-0.811,2.972207729,2.999699746,3.044998515,3.191751257,3.2120526,2.954337198,3.34,11.4,56.60819119,59,71.93954468,85.08383942,80.35968018,101.2715149,76.36673737,26.12306976,35.55521011,85.75431068,89.40118925
0.030467761,-0.363,0.078704668,1.01,3.933,4.85,-0.986,2.977415542,2.999659784,3.044998515,3.17525826,3.212857753,2.94517555,3.44,11.75,42.41258188,64.99,59.61723328,82.83348846,68.518013,85.01700592,81.79131317,49.51333237,92.99913788,79.92837485,77.0265398
0.035762768,-0.442,0.081102285,1.01,5.502,4.67,-0.696,2.97338441,2.999779188,3.044998515,3.23875688,3.205587931,2.960312328,3.47,13.57,126.8743665,65.59,105.7698593,160.4738312,202.5643158,156.9485779,134.6169891,138.8449707,68.26113892,74.05627947,76.79072877
0.036134314,-0.437,0.080345602,0.7829997,10.893,4.61,-0.32,2.973640027,2.999741506,3.03413533,3.430529621,3.203152864,2.979602892,3.89,12.46,80.45718733,62.26,79.8299942,71.51885986,83.1720047,62.82376862,70.40970612,141.3383636,32.72947693,79.31924323,74.03845168
0.035642703,-0.754,0.079851504,0.7829997,5.932,4.71,-0.304,2.957303247,2.9997169,3.03413533,3.255477727,3.20720802,2.980415569,3.86,13.48,32.46609598,58.32,60.06785202,95.44764709,140.0655518,85.19086456,57.40055847,55.57432175,86.75798035,77.72626175,74.0782742
0.034852558,-1.028,0.079622288,0.7829997,8.229,4.57,-0.299,2.942964208,2.999705484,3.03413533,3.340349818,3.201526187,2.980669396,3.99,11.01,78.73817649,59.41,70.02675629,61.47662354,63.61540222,53.46963882,36.82439041,96.36314392,57.22021103,63.97693503,82.5874249
0.038078317,-1.635,0.082962737,0.9356667,11.161,4.5,-0.108,2.910446679,2.999871831,3.041454245,3.439167313,3.198673118,2.990317641,4.37,12.07,62.22241081,65.49,75.07923889,83.96113586,88.12340546,78.60295105,80.97428894,104.8241959,83.60843658,86.54246332,82.40277458
0.037922688,-1.339,0.081565676,0.9356667,10.883,4.38,-0.389,2.926435785,2.999802264,3.041454245,3.430205871,3.193763124,2.976090633,4.51,13.23,60.371622,61.63,69.491745,60.63415146,76.18671417,55.29086685,44.47035599,79.35954285,64.71510315,67.81324583,84.91605061
0.038878531,-1.4,0.079693792,0.9356667,12.9,4.05,0.092,2.923161581,2.999709045,3.041454245,3.493472658,3.180134997,3.000321726,4.52,11.72,46.38076047,62.69,55.00807571,79.82993317,94.21289825,68.94371033,85.26280212,94.51129913,84.22509766,96.83735353,85.66593297
0.04145337,-1.191,0.07834392,1.0136663,5.835,4.01,0.071,2.934335479,2.999641817,3.045173002,3.251730162,3.17847041,2.999275987,4.65,11.57,57.94457798,69.44,81.65171814,89.04356384,79.12750244,103.3140106,50.49769592,162.1650696,133.5046997,80.71140622,90.87574434
0.039823914,-1.458,0.07716879,1.0136663,15.99,3.87,0.139,2.920038429,2.999583288,3.045173002,3.583241122,3.17262244,3.002658234,4.74,11.99,95.86812371,70.84,67.80979156,82.44514465,71.2885437,88.35649109,91.51164246,116.8075943,66.02268982,86.22192292,86.94474873
0.038138543,-1.403,0.079940087,1.0136663,8.957,3.94,0.538,2.923000277,2.999721311,3.045173002,3.365811971,3.1755507,3.022276829,4.87,14.32,91.21692512,70.95,82.58628082,89.85152435,105.8366318,96.58042145,74.43009186,91.25888824,110.9243469,73.68794012,73.09620006
0.036334641,-1.074,0.083721003,1.3060003,12.58,3.75,0.543,2.940536638,2.999909587,3.058988737,3.483698603,3.16758253,3.02252025,4.97,13.05,120.163635,74.41,84.47445679,82.00437164,98.15416718,84.71546173,73.43398285,79.23003387,42.70708466,115.8046467,100.8201958
0.029696905,-0.406,0.083157063,1.3060003,10.176,3.64,0.81,2.975223397,2.999881507,3.058988737,3.407046906,3.162940193,3.03543364,4.92,14.34,134.5969372,73.04,71.51509857,58.86662674,59.31985092,47.26743317,42.7521286,101.6216125,36.35945511,83.46149966,86.1146878
