BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.009743777,13.368,1.513196603,2.1913333,1.188,9.58,-1.988,3.507597357,3.068666542,3.099701821,3.053434984,3.387098457,2.891038202,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.009972363,13.33,1.248476674,2.1913333,5.035,9.33,-5.163,3.506457892,3.056285207,3.099701821,3.220274846,3.378610883,2.697124061,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.009852649,12.818,1.032271191,2.1913333,8.968,8.62,2.04,3.490977145,3.046057982,3.099701821,3.366191772,3.354105774,3.092858984,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.010783464,13.143,0.866256618,2.397333,7.936,11.06,1.173,3.500831533,3.038133338,3.108941889,3.32991618,3.435920818,3.052726785,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.010311548,12.544,0.727956575,2.397333,12.91,7.73,1.951,3.48259302,3.031483348,3.108941889,3.493776563,3.32251486,3.088812697,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.009905372,12.233,0.622694703,2.397333,5.865,7.18,-0.398,3.472990772,3.026392154,3.108941889,3.252890703,3.302481409,2.975631602,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.010262377,12.472,0.560939186,1.9879997,4.076,7.45,1.04,3.48037818,3.02339312,3.090496836,3.181215494,3.312366168,3.046425388,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.008948826,11.748,0.482125598,1.9879997,3.836,7.56,0.39,3.457829731,3.019552584,3.090496836,3.171197043,3.316365446,3.015044585,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.009787842,11.53,0.421826057,1.9879997,6.984,8.95,-2.433,3.450939474,3.016604234,3.090496836,3.295244098,3.365570204,2.866022142,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.010093832,11.787,0.403753125,2.2366663,5.648,8.25,-1.386,3.459057401,3.015718861,3.101742562,3.244465596,3.341093458,2.923913986,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
0.010687956,10.768,0.476990402,2.2366663,7.148,7.66,-2.501,3.426475189,3.019301836,3.101742562,3.301303379,3.319987326,2.862143736,0.91,16.55,30.29223263,31.11,78.6960907,91.81498718,106.2877808,78.83218384,86.32300568,107.1847076,37.15930557,95.7723132,80.09874359
0.01067764,10.353,0.420576921,2.2366663,4.174,8.03,-0.624,3.412895359,3.016543065,3.101742562,3.185277675,3.333275365,2.964035187,0.91,16.27,60.47648217,32.13,90.34359741,82.68560028,61.57172012,75.70652771,73.47694397,78.41303253,97.13572693,102.8207341,99.50458837
0.011697902,9.96,0.41355319,1.5366667,7.861,7.74,-0.301,3.399863159,3.016199052,3.06975691,3.327227861,3.322875415,2.980567873,0.9,18.22,94.51192914,34.31,88.27758789,75.34062958,59.47798538,76.26370239,52.9017868,124.426239,101.1584015,85.79190271,89.41577492
0.011393343,9.462,0.426591101,1.5366667,6.747,6.7,0.911,3.383101297,3.016837537,3.06975691,3.286422318,3.284663565,3.040275336,0.93,17.11,53.07184275,34.69,88.90148163,76.99822998,83.92586517,51.82107925,80.38735962,109.1451035,46.90383148,94.10591184,78.60084387
0.011045682,9.209,0.399501648,1.5366667,1.812,7.29,1.999,3.374476881,3.015510472,3.06975691,3.082460277,3.306520335,3.090996998,0.93,14.86,38.91576892,36.74,84.3309021,125.0216446,117.3388062,156.4485626,97.98274994,77.43811035,85.35299683,87.56225103,92.37258476
0.0117362,8.478,0.363988395,1.349,0.58,7.67,-0.751,3.349131859,3.013768066,3.0610049,3.02431973,3.320348794,2.957459111,0.96,15.64,57.15698577,36.75,79.72691345,109.8380356,104.8796005,169.8411255,59.87421417,110.5964737,43.1658287,96.00481801,83.61222162
0.011562168,7.766,0.336994884,1.349,-1.514,8.59,-2.224,3.323812251,3.012441636,3.0610049,2.917013689,3.353057006,2.877849233,1.06,16.62,92.67783958,40.28,97.2080307,114.849823,126.787468,170.8830261,76.00424957,88.85319519,137.9871979,107.3065169,101.8330859
0.011514305,8.189,0.345990315,1.349,4.003,7.29,-3.087,3.338931831,3.012883856,3.0610049,3.178178823,3.306520335,2.828082557,1.3,16.08,114.736083,38.03,85.27448273,99.8453064,104.7889633,128.3917542,56.01540756,116.6262817,59.12108612,76.36504181,92.50442169
0.012323218,8.369,0.323732128,1.093,-1.454,6.94,-3.844,3.345297,3.011789274,3.048941232,2.920254132,3.293612171,2.782291498,1.41,15.08,73.34909203,40.78,88.95649719,115.9253998,57.15773392,99.18595886,124.9737625,75.10518646,50.48696136,72.91038409,86.08021248
0.012817017,9.253,0.308043353,1.093,2.988,7.31,-1.506,3.375982133,3.011017032,3.048941232,3.134972341,3.307252935,2.917446355,1.59,15.37,95.12458581,44.9,84.44986725,77.3423996,60.64183807,99.52498627,50.74696732,36.51834106,88.03998566,72.77615468,74.03549073
0.012211772,9.47,0.2967927,1.093,-1.52,7.21,-2.141,3.383372797,3.010462878,3.048941232,2.916689066,3.303584553,2.882507583,1.68,14.28,71.32165237,45.94,108.5095825,89.59677124,65.45806122,143.2897491,48.16343689,64.54100037,92.03104401,137.4411025,90.05754795
0.012481238,8.77,0.285767207,0.737,-5.763,6.67,-0.223,3.359333178,3.009919517,3.031919544,2.65584421,3.283539338,2.984519646,1.87,12.75,107.7022302,53.28,118.3414459,120.0014648,115.984375,122.1546631,154.4183197,56.45822144,107.5005188,85.27479418,82.15916514
0.013218592,9.37,0.286071554,0.737,-1.03,6.5,-1.01,3.379973745,3.00993452,3.031919544,2.942858784,3.277144733,2.943912525,2.19,16.18,78.57551175,48.47,96.69577026,127.938324,68.12167358,195.9334259,95.49815369,39.24856949,93.9905014,102.7393302,87.49682814
0.012990124,9.864,0.370987429,0.737,-1.964,5.88,0.733,3.396653742,3.014111704,3.031919544,2.892369761,3.25347047,3.031726634,2.18,12.98,28.59229406,43.15,66.53287506,83.33496857,54.96220779,110.0841217,42.32065201,81.47636414,96.87821198,101.978866,81.61707782
