BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.024082186,14.962,0.921603758,1.6543333,-1.005,8.19,-1.96,3.554261757,3.040782298,3.075205587,2.944175787,3.338967305,2.892591515,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.021465818,15.337,0.672612279,1.6543333,5.768,7.92,-5.12,3.564930574,3.028809746,3.075205587,3.249133412,3.329343278,2.700018029,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.021119337,15.107,0.466634842,1.6543333,7.47,7.22,2.3,3.558400541,3.018795992,3.075205587,3.3130945,3.303951997,3.104586678,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.020487188,14.489,0.310856677,1.421666,5.54,9.67,1.42,3.540640433,3.011155555,3.06440284,3.240245851,3.390136434,3.064325065,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.01979906,13.456,0.1773086,1.421666,8.555,6.45,2.19,3.510231143,3.004558636,3.06440284,3.351832052,3.275256158,3.099641737,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.021056931,13.49,-0.094136579,1.421666,5.603,5.8,0.04,3.511246887,2.991014333,3.06440284,3.242709532,3.250374492,2.997730276,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.022422656,13.919,-0.120161318,0.856333,7.86,6.14,1.14,3.523975329,2.989706087,3.037657643,3.327191968,3.263466708,3.05116698,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.022230879,13.399,-0.203829407,0.856333,-1.691,6.13,0.29,3.508525959,2.985488515,3.037657643,2.907392742,3.26308408,3.010128154,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.02128436,13.284,-0.247394208,0.856333,4.675,7.51,-2.52,3.505076801,2.983285421,3.037657643,3.205790585,3.314549575,2.86105737,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.018670041,12.869,-0.237570616,1.121333,5.022,6.71,-1.62,3.492529964,2.983782629,3.050283572,3.219755438,3.285038027,2.911263117,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
0.023463696,11.584,-0.219988464,1.121333,5.659,6.21,-2.89,3.452650663,2.984671909,3.050283572,3.244894387,3.266141017,2.839663088,0.91,16.55,30.29223263,31.11,78.6960907,91.81498718,106.2877808,78.83218384,86.32300568,107.1847076,37.15930557,95.7723132,80.09874359
0.022834628,11.073,-0.24408017,1.121333,8.35,6.36,-1.13,3.436339275,2.983453185,3.050283572,3.34462703,3.27184771,2.937573359,0.91,16.27,60.47648217,32.13,90.34359741,82.68560028,61.57172012,75.70652771,73.47694397,78.41303253,97.13572693,102.8207341,99.50458837
0.022861904,9.043,-0.27219449,1.090333,-0.334,6.06,-0.75,3.36877749,2.982029088,3.048814784,2.978891256,3.260401572,2.957511061,0.9,18.22,94.51192914,34.31,88.27758789,75.34062958,59.47798538,76.26370239,52.9017868,124.426239,101.1584015,85.79190271,89.41577492
0.019507529,8.288,-0.222678021,1.090333,0.961,5.39,0.31,3.342437686,2.984535927,3.048814784,3.042663568,3.234355396,3.011113376,0.93,17.11,53.07184275,34.69,88.90148163,76.99822998,83.92586517,51.82107925,80.38735962,109.1451035,46.90383148,94.10591184,78.60084387
0.018496254,7.668,-0.220907821,1.090333,-3.818,5.8,1.51,3.320276511,2.984625429,3.048814784,2.783899513,3.250374492,3.068517943,0.93,14.86,38.91576892,36.74,84.3309021,125.0216446,117.3388062,156.4485626,97.98274994,77.43811035,85.35299683,87.56225103,92.37258476
0.01983777,7.852,-0.270144424,1.171334,-4.369,6.1,-1.17,3.326904777,2.982133,3.052648097,2.749256122,3.261935314,2.935451343,0.96,15.64,57.15698577,36.75,79.72691345,109.8380356,104.8796005,169.8411255,59.87421417,110.5964737,43.1658287,96.00481801,83.61222162
0.017585236,7.485,-0.271301643,1.171334,-4.59,6.89,-2.69,3.313640401,2.982074345,3.052648097,2.735016649,3.29175447,2.851284369,1.06,16.62,92.67783958,40.28,97.2080307,114.849823,126.787468,170.8830261,76.00424957,88.85319519,137.9871979,107.3065169,101.8330859
0.018312642,7.266,-0.252738401,1.171334,-0.989,5.6,-3.51,3.305640505,2.983014829,3.052648097,2.945017759,3.242592351,2.802754137,1.3,16.08,114.736083,38.03,85.27448273,99.8453064,104.7889633,128.3917542,56.01540756,116.6262817,59.12108612,76.36504181,92.50442169
0.020575462,7.219,-0.266678866,0.863667,-6.008,5.11,-4.32,3.303915259,2.982308635,3.038009225,2.638485738,3.223266173,2.752386015,1.41,15.08,73.34909203,40.78,88.95649719,115.9253998,57.15773392,99.18595886,124.9737625,75.10518646,50.48696136,72.91038409,86.08021248
0.019139492,7.822,-0.268274794,0.863667,0.713,5.5,-1.96,3.325827075,2.982227757,3.038009225,3.030761522,3.238678452,2.892591515,1.59,15.37,95.12458581,44.9,84.44986725,77.3423996,60.64183807,99.52498627,50.74696732,36.51834106,88.03998566,72.77615468,74.03549073
0.020073693,8.295,-0.271919389,0.863667,-2.543,5.39,-2.52,3.342685111,2.982043033,3.038009225,2.859740714,3.234355396,2.86105737,1.68,14.28,71.32165237,45.94,108.5095825,89.59677124,65.45806122,143.2897491,48.16343689,64.54100037,92.03104401,137.4411025,90.05754795
0.020221214,7.977,-0.273730148,0.111333,-6.006,4.77,-0.6,3.331382744,2.981951242,3.001283487,2.638628666,3.209633244,2.965273066,1.87,12.75,107.7022302,53.28,118.3414459,120.0014648,115.984375,122.1546631,154.4183197,56.45822144,107.5005188,85.27479418,82.15916514
0.018613947,8.793,-0.281249457,0.111333,1.073,4.56,-1.33,3.360132302,2.981569987,3.001283487,3.0479926,3.201119103,2.926917958,2.19,16.18,78.57551175,48.47,96.69577026,127.938324,68.12167358,195.9334259,95.49815369,39.24856949,93.9905014,102.7393302,87.49682814
