BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.012493498,10.683,1.513196603,1.59,3.485,9.96,-1.928,3.423708755,3.068666542,3.072230245,3.156361919,3.399863159,2.894363779,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.011489868,10.975,1.248476674,1.59,6.353,9.67,-5.083,3.433180428,3.056285207,3.072230245,3.27158212,3.390136434,2.702501502,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.011224099,10.811,1.032271191,1.59,7.905,9.07,2.15,3.427871769,3.046057982,3.072230245,3.328805884,3.369706715,3.097837496,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.010642526,11.412,0.866256618,1.558666,8.784,11.53,1.233,3.447189986,3.038133338,3.07077787,3.359819677,3.450939474,3.055556575,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.009811246,10.79,0.727956575,1.558666,9.297,8.4,1.991,3.427189962,3.031483348,3.07077787,3.377485122,3.346389145,3.090633279,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.010236186,11.089,0.622694703,1.558666,7.44,7.81,-0.338,3.436854059,3.026392154,3.07077787,3.312001803,3.325395668,2.978687839,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.011234686,10.855,0.560939186,1.076666,6.498,8.03,1.05,3.429298812,3.02339312,3.048166552,3.277069258,3.333275365,3.04690056,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.014029173,10.168,0.482125598,1.076666,4.843,8,0.41,3.40678176,3.019552584,3.048166552,3.212576023,3.33220451,3.016024977,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.011511815,10.228,0.421826057,1.076666,9.143,9.41,-2.383,3.408768647,3.016604234,3.048166552,3.372214747,3.381334753,2.868864345,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.010199099,10.621,0.403753125,1.371,6.67,8.76,-1.336,3.421686048,3.015718861,3.062034863,3.283539338,3.358985533,2.926596535,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
