BT,Dif.CPI,Dif.EXVol,Dif.GDP,Dif.IP,Dif.IR,Dif.TS,log.Dif.CPI,log.Dif.EXVol,log.Dif.GDP,log.Dif.IP,log.Dif.IR,log.Dif.TS,WD,VIX,MPU,WTI,US.EPU,EU.EPU,GM.EPU,FR.EPU,ES.EPU,RS.EPU,CH.EPU,RS.EPU,CH.GeoRisk
0.022891874,12.678,1.513196603,2.325,6.701,9.63,-1.912,3.486702069,3.068666542,3.105707127,3.284701018,3.388787362,2.895248735,1.15,25.39,171.7552711,32.95,185.5916138,157.2820282,84.12831879,196.7913971,189.4419708,68.20256042,141.7656555,152.9193491,170.2934159
0.023496538,12.318,1.248476674,2.325,8.839,9.25,-5.085,3.475624351,3.056285207,3.105707127,3.361728638,3.375879574,2.702367418,1.18,31.02,283.796952,35.83,161.7597656,226.0268707,230.9095612,210.7056885,346.0123596,108.1100464,88.59653473,181.9932549,211.9863082
0.023858178,12.191,1.032271191,2.325,11.271,8.7,2.092,3.47168691,3.046057982,3.105707127,3.44269115,3.356897123,3.095215552,1.09,30.43,300.7496485,33.51,224.6472015,251.2325745,230.0630188,227.4442291,394.0605469,87.96466064,184.7860107,193.9397752,187.7154161
0.023493181,12.474,0.866256618,2.4606663,12.542,11.19,1.202,3.480439769,3.038133338,3.111765615,3.482531563,3.440097531,3.054095517,1.12,28.02,155.591338,28.17,176.5798492,206.6002197,155.8158264,163.9882965,407.4194031,86.38860321,124.3101959,166.3355875,165.0003637
0.02182612,11.628,0.727956575,2.4606663,14.444,8.14,1.977,3.454042804,3.031483348,3.111765615,3.539334817,3.337192052,3.089996452,1.08,20.63,121.9248391,28.11,122.3098221,143.9485626,120.439682,112.2447739,172.0375366,95.07604218,102.0359116,140.2791362,118.2532535
0.021110439,11.815,0.622694703,2.4606663,12.592,7.51,-0.341,3.459937877,3.026392154,3.111765615,3.484066859,3.314549575,2.978535249,0.84,20.85,67.79086705,30.66,110.695549,100.4391708,78.66607666,110.5131912,93.48464203,24.11118507,87.32002258,124.8522386,123.2439024
0.023237043,11.835,0.560939186,1.888333,8.93,7.81,1.072,3.460566313,3.02339312,3.085953755,3.364879119,3.325395668,3.047945145,0.95,19.03,51.74664956,30.76,103.7482452,94.04275513,59.33774948,90.50467682,138.2897339,70.33055878,92.37224579,79.89536673,96.43135692
0.024044144,11.369,0.482125598,1.888333,9.164,7.78,0.437,3.445820144,3.019552584,3.085953755,3.372935072,3.324316337,3.017346984,0.96,20.75,84.19547343,31.57,91.71417236,70.61742401,59.89029312,30.62036896,63.75292969,59.18588638,89.33422852,94.61523435,98.3494813
0.022890852,11.05,0.421826057,1.888333,11.235,9.19,-2.403,3.435598808,3.016604234,3.085953755,3.441539261,3.373826185,2.867728433,0.93,19.02,53.8378165,28.31,109.5539551,93.32123566,89.45635986,95.08573151,112.5908813,62.6354866,127.8212738,97.17677477,77.58384047
0.023145198,10.953,0.403753125,2.029333,6.799,8.41,-1.349,3.432469925,3.015718861,3.092374883,3.288364573,3.346741196,2.925899764,0.93,20.8,33.86371584,30.34,78.58598328,91.96792603,87.12670898,80.04883575,80.70903778,96.27272034,106.5136337,91.3926814,85.11696204
0.022879995,10.137,0.476990402,2.029333,10.913,7.77,-2.46,3.405753653,3.019301836,3.092374883,3.431176807,3.323956301,2.864483987,0.91,16.55,30.29223263,31.11,78.6960907,91.81498718,106.2877808,78.83218384,86.32300568,107.1847076,37.15930557,95.7723132,80.09874359
0.024589984,9.617,0.420576921,2.029333,12.815,8.25,-0.58,3.388348521,3.016543065,3.092374883,3.490885728,3.341093458,2.966303463,0.91,16.27,60.47648217,32.13,90.34359741,82.68560028,61.57172012,75.70652771,73.47694397,78.41303253,97.13572693,102.8207341,99.50458837
0.025198477,9.129,0.41355319,1.738,8.102,7.96,-0.249,3.371734242,3.016199052,3.079061881,3.335840748,3.330774917,2.983204123,0.9,18.22,94.51192914,34.31,88.27758789,75.34062958,59.47798538,76.26370239,52.9017868,124.426239,101.1584015,85.79190271,89.41577492
0.025035697,8.64,0.426591101,1.738,10.558,6.88,1.027,3.354804342,3.016837537,3.079061881,3.419626517,3.291382516,3.045807326,0.93,17.11,53.07184275,34.69,88.90148163,76.99822998,83.92586517,51.82107925,80.38735962,109.1451035,46.90383148,94.10591184,78.60084387
0.024260006,8.221,0.399501648,1.738,6.953,7.46,2.103,3.340066382,3.015510472,3.079061881,3.294094608,3.3127304,3.095713346,0.93,14.86,38.91576892,36.74,84.3309021,125.0216446,117.3388062,156.4485626,97.98274994,77.43811035,85.35299683,87.56225103,92.37258476
0.02185544,7.752,0.363988395,1.595667,6.233,7.88,-0.683,3.32330791,3.013768066,3.072492693,3.26701816,3.327909586,2.960985537,0.96,15.64,57.15698577,36.75,79.72691345,109.8380356,104.8796005,169.8411255,59.87421417,110.5964737,43.1658287,96.00481801,83.61222162
0.022058308,7.419,0.336994884,1.595667,5.492,8.89,-2.158,3.311236204,3.012441636,3.072492693,3.238364677,3.363495514,2.881555228,1.06,16.62,92.67783958,40.28,97.2080307,114.849823,126.787468,170.8830261,76.00424957,88.85319519,137.9871979,107.3065169,101.8330859
0.021245798,7.515,0.345990315,1.595667,7.012,7.66,-3.03,3.314731311,3.012883856,3.072492693,3.296281212,3.319987326,2.831447079,1.3,16.08,114.736083,38.03,85.27448273,99.8453064,104.7889633,128.3917542,56.01540756,116.6262817,59.12108612,76.36504181,92.50442169
