CPI,EX.Vol,GDP,IP,IR,TS
1.194,0.017596912,0.4416667,4.212,4.92,1.468
1.607,0.017216099,0.4416667,3.265,4.77,1.403
1.889,0.017116389,0.4416667,0.532,4.68,1.62
1.246,0.016825835,0.181,2.264,4.64,1.717
0.912,0.016616867,0.181,-2.51,4.77,1.519
1.557,0.020616331,0.181,3.235,4.62,1.598
1.347,0.019732115,0.1333333,3.924,4.45,1.91
1.551,0.019350332,0.1333333,1.864,4.24,2.07
1.754,0.018811799,0.1333333,2.116,4.25,2.113
1.482,0.018310594,0.2786667,2.252,4.25,2.176
1.816,0.019171544,0.2786667,1.852,4.34,2.291
1.72,0.018540024,0.2786667,9.426,4.37,2.234
1.383,0.020243523,0.9373333,-0.261,4.46,2.161
1.126,0.019443546,0.9373333,3.953,4.4,2.189
0.959,0.018678728,0.9373333,5.688,4.41,2.051
1.674,0.018802487,1.238667,6.12,4.33,2.201
2.419,0.018335544,1.238667,9.214,4.21,2.324
1.977,0.01782697,1.238667,6.397,4.31,2.337
2.05,0.017474995,1.407,8.854,4.26,2.224
1.969,0.017173818,1.407,7.712,4.29,2.066
1.825,0.016944412,1.407,8.42,4.29,1.991
2.707,0.016731448,1.260333,10.363,4.23,1.843
2.323,0.016925203,1.260333,10.13,4.2,1.7
1.917,0.017667076,1.260333,8.864,4.12,1.487
2.015,0.017663558,0.8643333,13.725,4.07,1.435
2.215,0.017801511,0.8643333,5.83,4.07,1.442
2.586,0.017366724,0.8643333,4.506,3.99,1.623
2.644,0.017207848,0.7013333,3.681,3.97,1.463
2.225,0.017324704,0.7013333,2.73,3.88,1.314
2.634,0.017105215,0.7013333,3.436,3.77,1.149
2.679,0.018103782,0.537,-0.239,3.79,1.181
2.797,0.017606791,0.537,0.607,3.77,1.188
2.966,0.017633415,0.537,2.151,3.73,1.011
2.268,0.017292768,0.6993334,-0.235,3.74,1.113
2.369,0.017232374,0.6993334,5.071,3.78,1.139
2.741,0.017107711,0.6993334,2.408,3.8,0.917
2.797,0.016924543,0.7783334,0.575,3.8,0.858
2.877,0.017000741,0.7783334,6.587,3.85,0.94
2.326,0.017047795,0.7783334,5.868,3.89,0.997
2.321,0.016919973,0.7196667,4.615,3.94,1.186
2.76,0.016973615,0.7196667,8.575,3.96,1.131
2.446,0.017806802,0.7196667,6.88,4,1.034
2.38,0.017648558,0.8743333,7.554,4.13,0.938
2.324,0.017308197,0.8743333,7.238,4.24,0.684
1.932,0.017039248,0.8743333,5.731,4.34,0.455
1.75,0.016818472,0.9683333,10.353,4.36,0.338
2.014,0.016623795,0.9683333,4.377,4.38,0.163
2.046,0.01692926,0.9683333,6.495,4.44,0.156
1.754,0.016998074,1.192667,6.4,4.59,0.328
1.749,0.017074672,1.192667,4.607,4.7,0.292
1.797,0.016920957,1.192667,5.204,4.69,0.129
1.793,0.016759848,1.215333,7.805,4.77,0.255
1.278,0.016823533,1.215333,6.674,4.85,0.289
1.241,0.016609403,1.215333,6.659,4.86,0.492
1.274,0.016443107,1.191333,8.138,5.04,0.394
1.165,0.016757086,1.191333,9.449,5.17,-0.114
1.484,0.016654634,1.191333,6.858,5.07,-0.342
2.25,0.016914269,0.996,7.249,5.19,-0.267
2.926,0.016899457,0.996,4.839,5.15,-0.359
3.095,0.017179442,0.996,6.414,5.18,-0.418
3.53,0.016996147,0.7553334,9.452,5.09,-0.242
3.591,0.016890468,0.7553334,8.056,4.98,-0.132
4.186,0.016648151,0.7553334,8.065,4.87,-0.366
4.212,0.018148303,0.6763334,5.981,4.74,-0.394
5.105,0.017643147,0.6763334,2.398,4.83,-0.337
5.743,0.017301081,0.6763334,5.307,4.91,-0.081
5.906,0.016984367,0.2456667,5.155,5.13,-0.111
5.42,0.016846509,0.2456667,2.98,5.26,-0.385
5.523,0.018233614,0.2456667,5.28,5.45,-0.459
4.816,0.018100594,-0.6223333,-1.59,5.5,-0.653
3.254,0.020524465,-0.6223333,-2.051,5.43,-0.018
2.661,0.020047592,-0.6223333,-4.941,4.99,0.577
2.062,0.021827684,-1.184333,-13.935,4.7,1.683
1.897,0.021264764,-1.184333,-12.724,4.39,2.297
0.763,0.020582838,-1.184333,-13.433,4.22,2.395
0.549,0.020168338,-1.270333,-14.455,4.05,2.508
-0.233,0.019274798,-1.270333,-6.212,3.96,2.768
-1.038,0.019355069,-1.270333,-12.648,3.96,2.902
-1.694,0.018823029,-0.7493333,-11.765,4.05,2.925
-0.64,0.018182174,-0.7493333,-6.986,4.01,2.91
-0.99,0.017795754,-0.7493333,-11.111,4.06,2.948
-0.89,0.01757576,0.2283333,-8.283,3.89,2.942
-0.022,0.017312794,0.2283333,-2.408,3.98,2.934
0.299,0.016993644,0.2283333,-3.95,3.98,2.907
0.744,0.016975944,0.78,8.894,3.96,3.05
0.765,0.016897869,0.78,11.503,3.87,3.068
1.715,0.01755758,0.78,12.069,3.84,2.985
2.16,0.01717782,1.162,10.764,3.72,2.905
2.551,0.016972242,1.162,8.035,3.62,2.603
2.699,0.019520123,1.162,13.462,3.58,2.762
2.506,0.018858789,0.9326667,11.333,3.47,2.451
2.454,0.020096992,0.9326667,7.296,3.43,2.124
2.932,0.019213479,0.9326667,11.283,3.49,2.249
3.083,0.018667679,0.7863333,13.106,3.46,2.232
2.997,0.020351949,0.7863333,11.803,3.41,2.458
3.336,0.020056034,0.7863333,10.823,3.55,2.968
3.437,0.019522184,0.8496667,9.215,3.64,3.143
3.464,0.018967469,0.8496667,7.15,3.79,3.143
3.383,0.018515169,0.8496667,9.949,3.86,3.054
3.041,0.018255683,0.6056667,9.3,3.91,2.969
2.998,0.018182829,0.6056667,6.332,4.02,2.795
3.302,0.017762679,0.6056667,2.792,4.05,2.651
4.083,0.017375648,0.532,2.894,4.04,2.652
3.479,0.017084741,0.532,7.5,4.02,2.538
3.226,0.016864494,0.532,4.374,3.97,2.344
3.185,0.017824849,0.4153334,0.487,3.83,2.664
3.479,0.017430802,0.4153334,-1.44,3.75,3.385
3.142,0.017175888,0.4153334,-1.074,3.76,2.924
3.27,0.017301879,0.2586667,-1.918,3.81,2.958
3.348,0.017119149,0.2586667,-0.953,3.83,2.692
3.071,0.017510284,0.2586667,-1.772,3.82,2.722
2.941,0.017194583,0.0973333,-2.486,3.71,2.816
2.679,0.016887374,0.0973333,-3.97,3.59,2.655
2.187,0.017276227,0.0973333,-1.94,3.45,2.551
2.003,0.017081974,0.01,0.776,3.4,2.243
2.608,0.017000285,0.01,-3.535,3.26,2.238
2.613,0.016910833,0.01,-1.81,3.15,2.384
2.627,0.017599874,-0.0526667,-3.004,3.12,2.242
2.117,0.017207692,-0.0526667,-3.7,3.05,2.118
2.041,0.016989354,-0.0526667,0.395,3.1,1.925
1.465,0.01729659,-0.2233333,-2.346,3.06,2.095
1.543,0.017001564,-0.2233333,-4.331,3.16,2.237
1.274,0.016753082,-0.2233333,-2.564,3.16,2.054
1.408,0.017264339,0.0003333,0.49,3.09,1.841
1.243,0.017102708,0.0003333,1.772,3.02,1.859
1.626,0.0168456,0.0003333,3.066,2.94,2.26
1.635,0.016894975,0.176,1.732,3,2.329
