CPI,EX.Vol,GDP,IP,IR,TS
0.213,0.032986596,3.7,17.497,5.31,0.7071
0.397,0.022094584,3.7,17.497,5.31,0.2988
0.853,0.014793836,3.7,16.901,5.31,0.4431
0.983,0.009904835,3.033334,14.895,5.31,0.7106
0.526,0.006631447,3.033334,13.704,5.31,-0.6926
0.213,0.004439851,3.033334,16.897,5.31,0.5944
0.341,0.002972544,3.333333,16.511,5.31,0.5021
0.753,0.001990161,3.333333,17.116,5.31,-0.0202
1.139,0.001332441,3.333333,16.312,5.31,-0.6099
1.836,0.000892089,3.333333,17.205,5.31,0.4469
2.975,0.000597266,3.333333,17.914,5.31,0.8944
3.269,0.000399879,3.333333,18.094,5.31,0.6247
2.804,0.000267725,3.533334,16.593,5.31,-0.2304
2.586,0.000179247,3.533334,16.593,5.31,1.0984
3.032,0.00012001,3.533334,19.39,5.31,0.6396
3.782,8.04E-05,3.866667,19.104,5.31,0.4723
4.342,5.38E-05,3.866667,17.498,5.31,-0.1053
4.773,3.60E-05,3.866667,16.211,5.31,1.3277
4.998,2.41E-05,3.266667,15.492,5.31,1.4343
5.037,1.62E-05,3.266667,15.893,5.31,1.3409
5.112,1.08E-05,3.266667,16.093,5.31,1.3202
4.206,7.28E-06,2.933333,15.695,5.58,1.591
2.958,4.91E-06,2.933333,14.792,5.58,1.9932
2.395,3.34E-06,2.933333,14.405,5.58,1.4626
2.493,2.31E-06,3.7,16.904,5.58,1.6068
3.196,1.66E-06,3.7,16.904,5.58,1.3717
2.628,1.26E-06,3.7,15.101,5.58,1.2908
1.89,1.03E-06,3.7,15.994,5.58,1.9672
1.694,9.12E-07,3.7,16.598,5.58,2.0033
1.446,8.53E-07,3.7,16.799,5.58,-0.0062
1.497,8.25E-07,3.6,16.101,5.58,-0.4324
1.115,0.034437009,3.6,16.003,5.58,0.6675
0.924,0.086943715,3.6,16.506,5.58,-0.8554
1.394,0.060613715,4.133333,16.108,5.58,1.104
1.41,0.041199395,4.133333,16.599,5.58,1.6228
1.667,0.027631653,4.133333,16.502,5.58,1.5713
2.002,0.019275242,4.166667,16.202,5.58,1.1438
1.295,0.01414212,4.166667,16.202,5.58,0.84
1.027,0.014367929,4.166667,17.804,5.58,0.7376
1.561,0.011990507,4.566667,16.605,5.85,0.5473
1.666,0.01433681,4.566667,17.897,5.85,0.2868
1.759,0.009792915,4.566667,19.5,5.85,0.1922
1.342,0.008700974,4.066667,16.696,5.85,0.6497
1.528,0.011659097,4.066667,15.698,6.12,0.2527
1.513,0.01292373,4.066667,16.101,6.12,0.3223
1.309,0.025667796,4.166667,14.699,6.12,0.1364
1.92,0.024333971,4.166667,14.905,6.12,0.079
2.895,0.027512027,4.166667,14.7,6.12,0.222
2.437,0.030578404,4.6,18.501,6.12,0.22
2.622,0.027196947,4.6,18.501,6.12,-0.048
3.221,0.027435269,4.6,17.603,6.39,0.498
3.049,0.019276468,5,17.397,6.39,0.561
3.5,0.015129267,5,18.099,6.57,1.409
4.295,0.037987747,5,19.393,6.57,1.105
5.44,0.031619838,4.766667,18.006,6.84,1.071
6.438,0.039605315,4.766667,17.496,7.02,1.388
6.369,0.027173214,4.766667,18.899,7.29,0.68
6.683,0.043184599,4.633333,17.9,7.29,0.664
7.066,0.029451897,4.633333,17.298,7.29,-0.039
6.617,0.05900869,4.633333,17.4,7.47,-0.3
7.1,0.044920657,3.833333,15.4,7.47,-0.35
8.834,0.089951453,3.833333,15.4,7.47,-0.5
8.454,0.070375482,3.833333,17.799,7.47,-0.32
8.544,0.072832372,3.633333,15.703,7.47,-0.4201
7.84,0.062001053,3.633333,15.999,7.47,-0.414
7.181,0.042444018,3.633333,16.001,7.47,-0.0694
6.266,0.060378517,3.166667,14.695,7.47,0.1271
4.881,0.049582464,3.166667,12.799,7.47,-0.1201
4.647,0.03795367,3.166667,11.399,7.2,-0.6763
4.025,0.032882621,2.366667,8.198,6.66,-1.2402
2.487,0.022984738,2.366667,5.4,5.58,-0.5702
1.241,0.015970798,2.366667,5.699,5.31,-0.0605
0.745,0.015578137,2.133333,3.802,5.31,1.2794
-1.274,0.012618998,2.133333,3.802,5.31,1.5501
-1.191,0.008459303,2.133333,8.296,5.31,1.62
-1.516,0.005784916,2.733333,7.303,5.31,1.5301
-1.409,0.006836456,2.733333,8.901,5.31,1.68
-1.663,0.00543532,2.733333,10.702,5.31,1.9
-1.778,0.007487982,3.533334,10.803,5.31,1.69
-1.231,0.005737294,3.533334,12.304,5.31,1.75
-0.811,0.003894564,3.533334,13.896,5.31,1.57
-0.623,0.003645966,3.966666,16.1,5.31,1.86
0.462,0.00244629,3.966666,19.199,5.31,1.74
1.619,0.001845807,3.966666,18.504,5.31,1.74
1.764,0.00147974,4.066667,20.695,5.31,1.56
2.294,0.00150505,4.066667,20.695,5.31,1.54
2.232,0.001020705,4.066667,18.101,5.31,1.53
2.612,0.001166007,3.6,17.796,5.31,1.34
2.8,0.000788114,3.6,16.502,5.31,1.25
2.764,0.000752365,3.6,13.7,5.31,-0.17
3.169,0.007663727,3.3,13.401,5.31,0.66
3.216,0.027021378,3.3,13.9,5.31,0.7311
3.423,0.024348019,3.3,13.299,5.31,0.6712
4.214,0.04324245,3.3,13.1,5.56,0.86
5.067,0.048689341,3.3,13.3,5.56,0.68
4.521,0.032624756,3.3,13.499,5.81,-0.58
4.826,0.021879588,3.4,14.101,5.81,-0.95
5.152,0.039966783,3.4,14.101,6.06,-0.9
5.534,0.026968026,3.4,14.802,6.06,-0.18
5.452,0.021909384,3.333333,13.403,6.31,-0.2
5.702,0.027885113,3.333333,13.298,6.31,-0.91
6.584,0.023693056,3.333333,15.099,6.31,-2.28
6.685,0.019952341,3.133333,13.997,6.56,-1.94
6.37,0.016197432,3.133333,13.499,6.56,-1.7
6.207,0.037270357,3.133333,13.801,6.56,-1.85
5.576,0.026509345,2.933333,13.199,6.56,-1.89
4.25,0.024354462,2.933333,12.405,6.56,-2.22
4.102,0.018426903,2.933333,12.796,6.56,-2.1
4.135,0.013336307,2.7,11.401,6.56,-2.36
3.677,0.01217842,2.7,11.401,6.56,-1.77
3.684,0.01255801,2.7,11.9,6.56,-1.37
3.462,0.011884275,2.533333,9.298,6.56,-2.15
3.081,0.013344689,2.533333,9.599,6.56,-0.97
2.099,0.012494937,2.533333,9.501,6.31,-1.39
1.721,0.010764432,2.5,9.199,6,-0.86
1.978,0.007539325,2.5,8.897,6,-0.39
1.736,0.011976351,2.5,9.201,6,-0.63
1.549,0.009003231,2.7,9.601,6,-0.21
1.883,0.018370956,2.7,10.096,6,-0.5
2.433,0.014890201,2.7,10.301,6,-1.045
2.49,0.010207817,2.633333,9.9,6,-0.51
2.561,0.010259083,2.633333,9.9,6,-0.43
2.059,0.008893286,2.633333,8.898,6,-0.796
2.323,0.010341219,2.533333,9.298,6,-0.38
2.074,0.01956411,2.533333,9.199,6,-0.815
2.556,0.033507335,2.533333,8.898,6,-2.32
2.575,0.025362647,2.633333,9.701,6,-1.48
2.502,0.017605256,2.633333,10.404,6,-1.19
2.936,0.012012464,2.633333,10.202,6,-1.41
3.189,0.01214073,2.566667,10.3,6,-1.1
2.999,0.013516492,2.566667,10.003,6,-2.053
2.554,0.009159431,2.566667,9.704,6,-1.47
2.366,0.017171796,2.466667,8.599,6,-1.59
2.278,0.01259011,2.466667,8.599,6,-1.42
2.31,0.011505738,2.466667,8.8,6,-0.87
1.833,0.016927812,2.5,8.701,6,-0.87
2.511,0.014218084,2.5,8.801,6,-0.58
2.378,0.010022763,2.5,9.201,6,-0.92
2.344,0.009188469,2.366667,9.001,6,-0.592
2.12,0.012054459,2.366667,6.898,6,-0.502
1.781,0.011625287,2.366667,7.998,6,-0.872
1.694,0.008948305,2.4,7.699,6,-0.904
1.548,0.007693331,2.4,7.197,5.6,-1.244
1.578,0.005278319,2.4,7.897,5.6,-1.482
1.309,0.015635007,2.333333,6.798,5.6,-1.606
1.297,0.012247591,2.333333,6.798,5.6,-2.015
1.543,0.008747126,2.333333,5.601,5.35,-1.637
1.718,0.012755183,2.333333,5.902,5.35,-1.328
1.393,0.020745377,2.333333,6.1,5.1,-0.019
1.481,0.015334731,2.333333,6.799,4.85,-0.061
1.682,0.010724355,2.3,5.999,4.85,-0.706
2.005,0.007191782,2.3,6.099,4.6,-0.246
1.588,0.138437453,2.3,5.701,4.6,-0.224
1.292,0.092874667,2.266667,5.602,4.35,-0.773
1.464,0.064354261,2.266667,6.201,4.35,-0.352
1.685,0.045812251,2.266667,5.899,4.35,-0.318
1.908,0.0678221,2.233333,5.401,4.35,-0.449
2.279,0.08423952,2.233333,5.401,4.35,-0.291
2.485,0.070738719,2.233333,6.8,4.35,-0.104
2.443,0.049666459,2.233333,5.999,4.35,-0.364
2.095,0.037072658,2.233333,5.998,4.35,-0.195
1.989,0.048074423,2.233333,6.201,4.35,-0.375
1.884,0.04902844,2.233333,6.001,4.35,-0.355
1.489,0.059750362,2.233333,6.302,4.35,-0.295
2.111,0.054222723,2.233333,6.1,4.35,-0.181
2.312,0.04583832,2.266667,6.101,4.35,-0.236
2.388,0.056474604,2.266667,6.201,4.35,-0.32
2.113,0.06141334,2.266667,6.001,4.35,-1.024
2.001,0.064979767,2.3,6.3,4.35,-0.867
1.43,0.054180022,2.3,6.3,4.35,-1.152
0.884,0.037406707,2.3,7.6,4.35,-1.56
1.207,0.032092179,2.3,6.501,4.35,-1.073
1.591,0.023543364,2.3,6.501,4.35,-1.19
1.51,0.015805302,2.3,7.602,4.35,-1.562
