CPI,EX.Vol,GDP,IP,IR,TS
-0.4,0.609189757,0.9786667,6.405,6.31,1.44
-0.4,0.593080494,0.9786667,2.532,6.18,1.36
-0.4,0.582752738,0.9786667,2.03,6.08,1.36
-0.1,0.572225776,1.156667,4.66,6.03,1.47
0,0.567264842,1.156667,1.845,6.05,1.28
0.3,0.737447613,1.156667,3.497,6,1.16
-0.1,0.700832619,1.265,0.14,5.76,1.81
-0.1,0.705305337,1.265,7.391,5.67,2.17
0,0.688032064,1.265,4.425,5.69,2.2
0.4,0.659634335,1.394,2.878,5.79,2.41
1,0.71615041,1.394,3.341,5.79,2.68
1,0.683197115,1.394,5.25,6.04,2.74
2.3,0.705991203,1.383667,7.934,6.14,2.61
2.3,0.668712668,1.383667,9.739,5.71,2.79
2.5,0.639088197,1.383667,11.318,5.9,2.54
2.3,0.652935306,1.416333,11.069,5.9,2.62
2.7,0.626632071,1.416333,12.29,5.91,2.79
2.9,0.616555686,1.416333,11.389,6,2.76
3.2,0.607885989,1.636333,13.408,6.09,2.7
3.4,0.593491965,1.636333,9.987,6.1,2.52
3,0.585656501,1.636333,9.443,6.11,2.37
3.5,0.576228803,1.886,10.606,6.13,2.22
2.9,0.584246214,1.886,8.027,6.14,2.02
2.8,0.619649866,1.886,3.041,6.2,1.57
1.7,0.64231827,2.102333,4.816,6.17,1.38
1.7,0.629772531,2.102333,3.25,6.06,1.37
1.5,0.610795268,2.102333,2.011,5.98,1.61
1.6,0.600562677,2.312667,1.947,5.92,1.67
1.3,0.617117635,2.312667,2.189,5.82,1.71
1.8,0.602386082,2.312667,4.944,5.68,1.56
1.7,0.61742768,2.249,3.325,5.66,1.56
1.7,0.599529665,2.249,4.049,5.6,1.57
2.2,0.634372381,2.249,5.199,5.59,1.45
2.6,0.612535337,2.146333,5.374,5.57,1.54
2.4,0.624182794,2.146333,6.398,5.61,1.54
2.2,0.604714208,2.146333,6.494,5.66,1.44
2.9,0.594824149,2.324667,9.311,5.62,1.25
2.8,0.599514437,2.324667,8.475,5.57,1.43
2.8,0.587491152,2.324667,10.186,5.58,1.5
2.8,0.575538653,2.447333,6.404,5.54,1.74
3.1,0.583222162,2.447333,12.627,5.54,1.81
2.8,0.616649633,2.447333,9.101,5.57,1.88
2.9,0.613762267,2.347,9.058,5.55,1.74
3.1,0.597254307,2.347,6.368,5.58,1.51
2.7,0.590623934,2.347,8.938,5.61,1.43
1.3,0.585769127,2.275333,7.2,5.68,1.27
1.5,0.574165984,2.275333,7.274,5.64,1.23
1.7,0.589231529,2.275333,9.978,5.65,1.21
1.3,0.591390704,2.083,12.832,5.68,1.36
1.5,0.593294054,2.083,15.848,5.66,1.3
1.9,0.579969656,2.083,15.308,5.66,1.31
2.5,0.578368854,1.741,13.411,5.64,1.41
2.4,0.574557274,1.741,9.209,5.63,1.36
2.5,0.569006704,1.741,10.206,5.72,1.54
2.3,0.56565565,1.834667,11.475,5.78,1.47
2.4,0.585222701,1.834667,9.313,5.81,1.17
2.8,0.573735301,1.834667,8.205,5.88,1.11
4,0.582813343,1.798333,9.142,5.92,0.98
5,0.583749136,1.798333,6.872,5.97,0.82
5.4,0.610829863,1.798333,7.258,6.12,0.63
7.5,0.593864522,1.312667,4.706,6.11,0.6
7.5,0.587226571,1.312667,3.468,6.16,0.59
7.1,0.583140584,1.312667,0.862,6.2,0.64
6.8,0.608426416,1.298667,3.911,6.23,0.61
6.8,0.592162385,1.298667,2.383,6.27,0.7
6.7,0.581590314,1.298667,1.781,6.27,0.92
6.9,0.586882843,0.867,-2.157,6.32,0.79
6.5,0.590885221,0.867,-2.738,6.27,0.66
6.6,0.676661299,0.867,-2.855,6.25,0.61
6,0.652368183,-0.1086667,-7.521,6.34,0.34
4.4,0.711765081,-0.1086667,-11.675,6.35,0.28
3.6,0.699306738,-0.1086667,-15.977,6.27,0.41
2.2,0.675423162,-1.351,-19.476,6.19,1.07
2,0.706532089,-1.351,-18.808,6.06,2.24
2.3,0.746787516,-1.351,-16.41,6.01,2.67
1.8,0.822007516,-1.861333,-18.907,5.99,2.75
1.3,0.762577391,-1.861333,-19.696,6.01,2.76
1.2,0.733985141,-1.861333,-16.36,5.98,3.28
