CPI,EX.Vol,GDP,IP,IR,TS
1.884,0.017596912,0.308,-1.301,4.87,1.392
2.619,0.017216099,0.308,-0.539,4.85,1.325
2.516,0.017116389,0.308,-1.771,4.6,1.568
1.915,0.016825835,0.1176667,-2.342,4.51,1.688
1.828,0.016616867,0.1176667,-4.044,4.36,1.493
1.975,0.020616331,0.1176667,-3.492,4.29,1.541
1.984,0.019732115,0.233,-0.93,4.09,1.878
1.93,0.019350332,0.233,-3.464,4.02,2.023
2.234,0.018811799,0.233,-2.135,4.01,2.083
2.316,0.018310594,0.486,1.101,4.09,2.139
2.447,0.019171544,0.486,-1.913,4.23,2.25
2.456,0.018540024,0.486,0.785,4.15,2.19
2.214,0.020243523,0.736,-0.502,4.24,2.109
1.948,0.019443546,0.736,0.142,4.22,2.073
1.947,0.018678728,0.736,0.547,4.24,1.947
2.4,0.018802487,0.992,0.467,4.12,2.133
2.766,0.018335544,0.992,2.208,3.91,2.258
2.651,0.01782697,0.992,3.388,3.94,2.28
2.658,0.017474995,0.874,1.959,3.98,2.156
2.617,0.017173818,0.874,-0.282,3.96,1.998
2.294,0.016944412,0.874,2.519,4.05,1.973
2.3,0.016731448,0.849,0.928,3.97,1.829
2.15,0.016925203,0.849,1.394,3.96,1.687
2.135,0.017667076,0.849,0.806,3.89,1.47
1.69,0.017663558,0.6263333,2.216,3.86,1.43
1.827,0.017801511,0.6263333,-0.63,3.84,1.461
2.099,0.017366724,0.6263333,-2.373,3.7,1.614
2.06,0.017207848,0.4953333,0.438,3.68,1.406
1.617,0.017324704,0.4953333,-0.108,3.65,1.251
1.722,0.017105215,0.4953333,-1.229,3.61,1.091
1.765,0.018103782,0.541,-1.842,3.57,1.151
1.963,0.017606791,0.541,0.959,3.45,1.167
2.242,0.017633415,0.541,0.303,3.43,0.993
2.037,0.017292768,0.5373333,-3.211,3.39,1.093
1.754,0.017232374,0.5373333,2.49,3.39,1.136
1.728,0.017107711,0.5373333,1.347,3.43,0.906
2.235,0.016924543,0.7313333,-1.357,3.4,0.832
2.039,0.017000741,0.7313333,-0.554,3.52,0.908
1.8,0.017047795,0.7313333,3.518,3.55,0.962
1.891,0.016919973,0.9796667,-0.249,3.59,1.16
2.358,0.016973615,0.9796667,3.064,3.63,1.112
2.203,0.017806802,0.9796667,3.264,3.66,1.02
2.174,0.017648558,0.8286667,1.849,3.75,0.923
2.006,0.017308197,0.8286667,2.307,3.86,0.672
1.504,0.017039248,0.8286667,1.198,3.89,0.434
1.297,0.016818472,0.839,2.997,3.92,0.306
1.62,0.016623795,0.839,-1.675,3.97,0.144
1.722,0.01692926,0.839,1.267,4.02,0.126
1.408,0.016998074,0.8126667,0.76,4,0.317
1.211,0.017074672,0.8126667,2.138,4.1,0.278
1.244,0.016920957,0.8126667,1.227,4.06,0.106
1.321,0.016759848,0.7513333,0.812,4.12,0.233
1.135,0.016823533,0.7513333,1.023,4.12,0.266
1.248,0.016609403,0.7513333,0.471,4.16,0.471
1.166,0.016443107,0.856,2.064,4.27,0.367
1.243,0.016757086,0.856,2.838,4.37,-0.155
1.64,0.016654634,0.856,-0.675,4.5,-0.385
2.186,0.016914269,0.7123334,2.644,4.61,-0.285
2.657,0.016899457,0.7123334,1.73,4.71,-0.411
2.787,0.017179442,0.7123334,-0.245,4.73,-0.494
3.228,0.016996147,0.5823333,1.472,4.7,-0.332
3.182,0.016890468,0.5823333,1.724,4.74,-0.283
3.46,0.016648151,0.5823333,-0.131,4.72,-0.577
3.393,0.018148303,0.1866667,3.258,4.66,-0.514
3.681,0.017643147,0.1866667,-3.661,4.58,-0.451
3.966,0.017301081,0.1866667,-3.354,4.64,-0.207
4.061,0.016984367,-0.0426667,-2.829,4.72,-0.271
3.527,0.016846509,-0.0426667,-5.297,4.82,-0.563
