CPI,EX.Vol,GDP,IP,IR,TS
0.979,0.017596912,-0.2336667,1.233,5.39,1.348
1.222,0.017216099,-0.2336667,0.444,5.19,1.263
1.467,0.017116389,-0.2336667,0.775,5.05,1.47
0.732,0.016825835,-0.3116667,0.222,5.03,1.617
0.611,0.016616867,-0.3116667,0.335,4.97,1.419
0.978,0.020616331,-0.3116667,-1.866,4.8,1.468
0.977,0.019732115,-0.3033333,1.448,4.7,1.84
1.098,0.019350332,-0.3033333,-2.838,4.81,1.99
1.096,0.018811799,-0.3033333,-2.2,4.96,2.023
0.973,0.018310594,-0.1106667,1.222,5,2.076
1.218,0.019171544,-0.1106667,0.438,5.07,2.191
0.971,0.018540024,-0.1106667,2.796,5.14,2.144
1.333,0.020243523,0.2886667,1.772,5.15,2.081
0.845,0.019443546,0.2886667,1.438,5.06,2.039
1.084,0.018678728,0.2886667,0.769,4.99,1.881
1.695,0.018802487,0.397,2.323,4.91,2.051
2.309,0.018335544,0.397,4.12,4.91,2.164
1.937,0.01782697,0.397,3.915,4.96,2.197
1.935,0.017474995,0.1683333,2.854,4.92,2.124
2.171,0.017173818,0.1683333,4.382,5.04,1.966
1.807,0.016944412,0.1683333,4.499,4.96,1.901
2.169,0.016731448,0.078,2.744,4.89,1.743
2.046,0.016925203,0.078,0.654,4.78,1.61
2.163,0.017667076,0.078,0.544,4.63,1.407
1.555,0.017663558,0.0216667,2.72,4.56,1.415
1.916,0.017801511,0.0216667,1.309,4.51,1.402
1.549,0.017366724,0.0216667,1.745,4.47,1.563
1.667,0.017207848,0.1286667,2.378,4.5,1.343
1.663,0.017324704,0.1286667,0.214,4.39,1.174
1.781,0.017105215,0.1286667,2.691,4.22,1.019
1.898,0.018103782,0.462,3.308,4.17,1.081
1.771,0.017606791,0.462,1.507,4.1,1.098
2.604,0.017633415,0.462,3.767,4.11,0.931
2.476,0.017292768,0.5583333,4.808,4.11,1.043
2.241,0.017232374,0.5583333,5.087,4.14,1.089
2.235,0.017107711,0.5583333,5.411,4.19,0.867
2.238,0.016924543,0.94,3.602,4.29,0.808
2.115,0.017000741,0.94,5.49,4.28,0.87
2.113,0.017047795,0.94,3.751,4.39,0.917
2.108,0.016919973,1.258,5.069,4.45,1.096
2.103,0.016973615,1.258,7.364,4.58,1.071
2.1,0.017806802,1.258,5.241,4.66,0.974
2.095,0.017648558,1.322,5.372,4.67,0.908
1.856,0.017308197,1.322,8.696,4.71,0.654
1.038,0.017039248,1.322,6.017,4.71,0.415
1.036,0.016818472,1.640667,3.874,4.65,0.288
1.499,0.016623795,1.640667,6.9,4.65,0.113
1.381,0.01692926,1.640667,7.392,4.6,0.086
1.843,0.016998074,1.46,6.851,4.64,0.268
1.841,0.017074672,1.46,7.347,4.78,0.232
1.954,0.016920957,1.46,8.988,4.78,0.049
2.064,0.016759848,1.166,4.925,4.8,0.175
1.945,0.016823533,1.166,5.666,4.87,0.209
1.943,0.016609403,1.166,6.076,5.01,0.412
2.052,0.016443107,1.113667,5,5.14,0.284
1.936,0.016757086,1.113667,4.78,5.18,-0.244
2.626,0.016654634,1.113667,6.164,5.12,-0.522
2.62,0.016914269,0.764,6.575,5.08,-0.407
3.295,0.016899457,0.764,4.335,5.08,-0.549
2.951,0.017179442,0.764,4.398,5.03,-0.638
2.941,0.016996147,0.9226666,6.029,5.04,-0.452
3.051,0.016890468,0.9226666,4.943,4.94,-0.412
3.044,0.016648151,0.9226666,3.697,4.89,-0.796
2.697,0.018148303,0.5776667,5.268,4.9,-0.744
3.143,0.017643147,0.5776667,1.317,4.96,-0.657
3.363,0.017301081,0.5776667,1.972,5.06,-0.421
3.464,0.016984367,0.1716667,-0.187,5.21,-0.471
3.24,0.016846509,0.1716667,1.304,5.27,-0.765
3.003,0.018233614,0.1716667,-1.567,5.17,-0.929
2.553,0.018100594,-0.5663334,-3.683,5.15,-1.233
1.43,0.020524465,-0.5663334,-7.479,5.03,-0.678
1.103,0.020047592,-0.5663334,-11.172,4.83,-0.243
1.099,0.021827684,-2.308667,-18.502,4.73,0.613
0.987,0.021264764,-2.308667,-20.562,4.58,1.187
0.438,0.020582838,-2.308667,-19.47,4.4,1.385
0.438,0.020168338,-2.200667,-22.111,4.37,1.708
-0.109,0.019274798,-2.200667,-17.456,4.35,2.088
0,0.019355069,-2.200667,-16.759,4.39,2.242
-0.756,0.018823029,-1.901333,-16.464,4.45,2.365
0,0.018182174,-1.901333,-16.636,4.46,2.45
-0.432,0.017795754,-1.901333,-11.985,4.37,2.488
-0.108,0.01757576,-0.988,-11.95,4.34,2.472
0.217,0.017312794,-0.988,-7.385,4.35,2.504
0.981,0.016993644,-0.988,-4.021,4.29,2.427
0.652,0.016975944,0.7796667,3.987,4.27,2.58
0.543,0.016897869,0.7796667,5.815,4.22,2.508
1.089,0.01755758,0.7796667,8.4,4.09,2.455
1.198,0.01717782,1.452667,14.252,4.07,2.415
1.307,0.016972242,1.452667,12.936,4.01,2.043
0.976,0.019520123,1.452667,10.177,3.9,1.812
1.306,0.018858789,1.527333,11.31,3.81,1.771
0.974,0.020096992,1.527333,11.025,3.81,1.454
1.193,0.019213479,1.527333,8.511,3.66,1.419
1.408,0.018667679,1.499667,12.595,3.58,1.352
1.515,0.020351949,1.499667,11.099,3.62,1.488
1.728,0.020056034,1.499667,11.493,3.73,1.888
1.944,0.019522184,1.856333,11.502,3.87,2.003
2.16,0.018967469,1.856333,14.009,4.04,2.113
2.371,0.018515169,1.856333,10.89,4.13,2.034
2.476,0.018255683,1.210667,8.589,4.2,2.019
2.473,0.018182829,1.210667,6.773,4.27,1.635
2.47,0.017762679,1.210667,6.024,4.21,1.401
2.685,0.017375648,1.094667,9.356,4.16,1.142
2.572,0.017084741,1.094667,7.249,4.03,0.658
2.787,0.016864494,1.094667,4.314,3.8,0.294
2.778,0.017824849,0.8156667,3.954,3.6,0.424
2.772,0.017430802,0.8156667,4.074,3.56,0.385
2.335,0.017175888,0.8156667,2.216,3.53,0.504
2.436,0.017301879,0.329,1.624,3.47,0.598
2.537,0.017119149,0.329,-0.095,3.36,0.802
2.211,0.017510284,0.329,1.889,3.27,0.972
2.416,0.017194583,0.3026667,-0.282,3.26,0.876
2.099,0.016887374,0.3026667,0.466,3.16,0.655
1.887,0.017276227,0.3026667,1.042,3.02,0.641
1.883,0.017081974,0.2206667,-1.104,2.96,0.743
2.194,0.017000285,0.2206667,-0.463,2.86,1.008
2.086,0.016910833,0.2206667,0.188,2.84,1.244
1.975,0.017599874,0.0633333,-2.505,2.82,1.262
1.763,0.017207692,0.0633333,-2.796,2.8,1.148
1.971,0.016989354,0.0633333,-1.508,2.76,1.115
1.861,0.01729659,-0.1153333,-2.538,2.74,1.305
1.753,0.017001564,-0.1153333,-1.419,2.74,1.317
1.648,0.016753082,-0.1153333,-2.317,2.75,1.144
