CPI,EX.Vol,GDP,IP,IR,TS
0.5,0.101098435,0.6753333,3.358,8.4,-0.656
0.5,0.098939491,0.6753333,4.151,8.1,-0.627
0.6,0.097245657,0.6753333,5.461,7.9,-0.452
0.3,0.09943345,1.253333,8.556,7.6,-0.351
0.4,0.098831839,1.253333,11.594,7.2,-0.271
0.8,0.104837308,1.253333,7.909,7,-0.153
0.8,0.104526115,1.378667,10.274,6.8,0.439
0.7,0.103320443,1.378667,6.066,6.8,0.594
0.9,0.100888428,1.378667,11.058,6.8,0.944
1.3,0.099727519,1.445,12.135,7,1.693
1.6,0.099043438,1.445,9.106,7.1,1.704
1.7,0.097647599,1.445,14,7,1.158
1.6,0.102773394,2.257333,14.26,8.6,1.527
1.6,0.100376896,2.257333,18.297,8.4,1.393
1.7,0.100998572,2.257333,23.625,8.6,1.255
2.2,0.098826933,1.885667,21.839,8.8,1.624
3.4,0.097858016,1.885667,12.338,8.5,1.482
4.4,0.096384862,1.885667,15.798,8.7,1.337
4.6,0.099042091,1.247,6.056,8.9,1.147
4.6,0.099572321,1.247,13.562,9,0.396
4.4,0.097709886,1.247,9.38,9.4,-0.241
4.5,0.097083174,1.486333,3.425,9.5,0.094
4.5,0.097902771,1.486333,11.475,9.4,-0.281
4.4,0.101331384,1.486333,6.871,9.5,-0.764
3.7,0.104168219,1.037667,4.739,9.6,-0.534
3.6,0.102014274,1.037667,2.297,9.7,-0.723
3.4,0.100679618,1.037667,-3.534,9.4,-0.469
3,0.098509903,0.7596667,-1.078,9.2,0.068
2.5,0.101459951,0.7596667,0.867,8.9,-0.215
1.4,0.099465999,0.7596667,7.032,8.8,-0.317
1.3,0.097610848,1.551,2.489,8.4,0.34
1.6,0.096311459,1.551,4.892,8.3,0.181
1.8,0.0987357,1.551,5.805,8.1,0.297
1.6,0.09763837,1.320333,7.682,8,0.773
1,0.097083878,1.320333,8.422,8.1,0.832
0.7,0.096729999,1.320333,9.576,8,0.607
0.6,0.09988728,1.667,9.804,7.9,0.724
0.7,0.098566417,1.667,10.329,7.9,0.519
0.4,0.096741587,1.667,16.418,7.6,1.054
0.7,0.095263893,1.993333,5.586,7.6,1.231
0.9,0.094142405,1.993333,19.054,7.5,1.251
0.8,0.097746889,1.993333,12.221,7.6,1.558
1.1,0.101369561,2.134667,14.429,7.5,1.466
1.6,0.10046526,2.134667,12.483,7.5,1.482
