CPI,EX.Vol,GDP,IP,IR,TS
14.562,1.530793515,2.633,5.4,14.5,-0.52
14.937,1.265692773,2.633,8.3,14.1,-3.76
14.707,1.04938758,2.633,9.5,13.3,3.66
14.389,0.883082453,2.578333,10.2,15.7,2.89
13.456,0.744573442,2.578333,10.4,12.5,3.47
13.79,0.643311034,2.578333,9.1,11.8,1.2
13.819,0.580671301,2.121333,8,11.9,2.95
13.299,0.50147593,2.121333,5.7,11.8,2.46
13.284,0.440637856,2.121333,9.1,13.2,-0.32
13.269,0.422063719,2.515333,7.9,12.5,0.79
12.584,0.496161946,2.515333,9,12,-0.21
12.073,0.439116945,2.515333,13.6,12.4,1.61
11.343,0.433796713,2.474,7.6,12.2,1.86
10.588,0.446034647,2.474,10.7,11.1,3.1
10.168,0.418180376,2.474,7.5,11.7,4.05
10.152,0.382790882,2.587667,6.7,12,1.45
10.185,0.355330428,2.587667,7.7,12.8,0.1
10.166,0.363817285,2.587667,10.4,11.6,-0.75
10.419,0.341207123,2.5,7.4,11.2,-1.62
11.222,0.325217171,2.5,10.7,11.6,0.56
11.295,0.313737112,2.5,6.9,11.5,-0.15
11.477,0.302498655,1.997333,4.6,10.9,1.62
11.693,0.302996757,1.997333,9.1,10.7,0.69
11.781,0.388654505,1.997333,6.9,10,2.22
12.75,0.44048257,1.951333,3.2,10.8,2.3
12.965,0.41559935,1.951333,6.2,10.6,2.36
13.566,0.378533191,1.951333,5.2,10.5,4.02
13.794,0.392092762,1.932,4.9,10.3,4.37
13.902,0.408834261,1.932,3.2,11,4.36
13.748,0.372493688,1.932,6.3,10.9,3.24
13.206,0.489211881,2.076333,5,10,3.39
12.511,0.434827183,2.076333,4.9,10.5,3.37
12.208,0.401157585,2.076333,6.3,10.5,3.63
11.58,0.365354959,2.482667,5.7,10.6,3.09
11.237,0.357987641,2.482667,6.3,11.4,0.76
10.931,0.337261826,2.482667,4.3,11.1,0.04
10.759,0.318555367,2.547333,4.8,10.2,0.35
11.201,0.388668712,2.547333,1.3,10.7,0.19
10.612,0.355704425,2.547333,6,10.2,1.52
9.844,0.375420501,2.680667,4.2,10.8,2.49
9.465,0.357705601,2.680667,10.9,11,3.05
9.056,0.421009359,2.680667,4.9,10.5,3.57
9.294,0.386474073,2.76,6.5,10.1,2.55
9.584,0.361279719,2.76,8.2,10.3,3.24
9.321,0.340130671,2.76,6.8,10.5,2.78
9.051,0.320546512,2.834,8.6,10.1,1.84
8.971,0.314215165,2.834,7.3,10.6,0.52
8.992,0.345523606,2.834,5.6,10.5,0.82
8.274,0.349516272,2.825,9.7,10,1.72
7.656,0.36732094,2.825,7.1,9.9,0.47
7.407,0.374569184,2.825,6.8,10,1.22
7.663,0.350627557,2.914333,6.9,9.8,1.93
7.809,0.348608858,2.914333,6.9,9.5,1.64
8.461,0.327852002,2.914333,7.3,9.5,2.11
8.694,0.312238553,2.715667,9.1,9.2,2.76
8.587,0.361701047,2.715667,6.4,9.9,0.96
9.272,0.358620669,2.715667,4.8,10.4,-0.16
10.728,0.383807334,2.935,5.7,10.6,-1.16
11.436,0.402461677,2.935,6.1,10.8,-0.87
11.868,0.398568679,2.935,5,10.8,-0.24
12.62,0.388590925,3.151,6.7,10.4,1.06
12.73,0.372378793,3.151,8.1,11,0.03
13.399,0.347002169,3.151,3.5,11.3,-0.19
14.356,0.560983554,2.754,5.7,11.2,0.3
15.133,0.490799195,2.754,4.5,11,0.64
15.149,0.43888658,2.754,2.8,11.3,-0.3
14.792,0.401280564,2.092667,1.9,11.4,0.8
14.974,0.390241948,2.092667,1,11.8,-0.59
14.923,0.619813894,2.092667,2.8,12.7,-2.44
14.172,0.659831283,-0.5556667,-1.6,14.1,-4.5
13.754,0.725824103,-0.5556667,-12.5,15,-14.08
13.272,0.697848562,-0.5556667,-12.8,15.5,-12.46
13.402,0.664341587,-3.021333,-16.9,17.1,-17.5
13.884,2.425954039,-3.021333,-16.7,16.6,-11.1
14.009,2.137866047,-3.021333,-13.2,16.1,-5.21
13.206,2.016852496,-3.635333,-14.2,16,-4.85
12.329,1.669005185,-3.635333,-14.5,15.9,-1.78
11.927,1.576216648,-3.635333,-12,15.6,-5.65
12.054,1.321178278,-2.854,-9.8,14.9,-0.98
11.528,1.15542797,-2.854,-10.7,15.2,-0.48
10.579,0.964432807,-2.854,-8.4,14.7,-0.49
9.617,0.902597241,-0.978,-5.6,14.1,0.25
9.042,0.964182408,-0.978,4.9,13.8,-1.61
8.746,0.807056532,-0.978,6.9,13.7,-1.19
8.027,0.914561605,1.358,8.5,13.9,-1.4
7.229,0.856093579,1.358,7.3,12.7,1.78
6.539,0.832929553,1.358,9.3,11.8,1.26
6.15,0.890480602,1.739667,7.4,11.4,-0.45
6,0.747251857,1.739667,8.1,11.3,3.7
5.831,0.932786014,1.739667,7.3,11.4,2.18
5.503,0.787136392,1.343333,4.6,10.5,2.81
5.981,0.744087792,1.343333,6.9,10,3.25
6.844,0.630477699,1.343333,6.2,9.7,3.14
7.393,0.615069889,1.582667,7.2,8.9,3.51
7.965,0.689772877,1.582667,7.4,9.1,2.81
8.655,0.842432951,1.582667,7.2,9.1,3.04
9.577,0.797590421,1.105333,6.2,8.6,3.24
9.539,0.723566938,1.105333,5.3,8.7,2.49
9.589,0.695111381,1.105333,3.7,8.7,3.51
9.739,0.681514341,1.405,5.5,8.3,3.27
9.651,0.581069699,1.405,6.2,8,3.47
9.504,0.515733825,1.405,6.5,8.6,3.35
8.964,0.466134859,1.426,5.5,7.9,3.14
8.119,0.426233363,1.426,6,7.9,2.91
7.194,0.666323195,1.426,4.6,8,2.11
7.07,0.921087549,1.45,3.3,8.6,1
6.642,0.785012933,1.45,3.9,8.8,1.12
5.958,0.7496145,1.45,4.1,9.3,0.47
4.198,0.809841577,1.816667,3.6,8.8,1.03
3.861,0.712051345,1.816667,6.8,8.9,0.55
3.811,1.032313384,1.816667,3.2,9.2,1.53
3.642,0.86644731,1.448667,2.3,9,0.58
3.612,0.727203206,1.448667,3.3,8.9,1.02
4.329,0.911209619,1.448667,1.5,9.3,1.01
5.528,1.238518488,1.153667,3.6,9.5,0.77
5.947,1.240765851,1.153667,4.4,9.1,1.08
6.601,1.028933183,1.153667,2.3,8.9,1.4
6.575,0.899208994,0.5636666,3.5,9.1,0.71
6.434,0.762625686,0.5636666,3.3,9.1,0.96
6.487,0.687278243,0.5636666,2.8,9.4,0.53
7.098,0.763977784,0.4696667,-0.4,8.8,-0.47
7.287,0.647330403,0.4696667,-3.1,9.6,-0.66
7.008,0.554520987,0.4696667,-0.1,10,-0.18
7.154,0.614406004,0.551,1.1,10.2,-0.66
7.367,0.541458582,0.551,-0.5,9.9,-0.35
6.901,0.483544721,0.551,1.7,9.5,-0.7
6.451,0.775141092,0.536,0.8,9.2,0.17
6.532,0.655797887,0.536,-0.2,9.3,0.29
6.25,0.588652824,0.536,1.3,9.5,-0.6
6.37,0.593994172,0.7816667,1,9.2,0.35
6.497,0.54234515,0.7816667,2.8,9,0.48
6.4,0.629879482,0.7816667,0.4,9.4,0.04
6.037,0.542427606,0.237,1.1,9.2,0.77
6.129,0.589044234,0.237,3,9.4,0.39
6.799,0.983173432,0.237,-0.9,10.3,-0.42
7.187,0.838201696,0.4433334,2.2,10.5,-1.92
7.555,0.806767741,0.4433334,-0.8,10.6,-1.5
7.806,0.717257311,0.4433334,2.9,10.7,-1.51
7.522,0.636620301,0.2666667,2.7,10.7,-1.69
7.646,0.588482346,0.2666667,2.9,10.6,-1.88
8.136,0.896005264,0.2666667,4.2,10.6,-1.46
8.449,1.000169651,0.0743333,5.4,10.8,-1.68
9.146,1.583641612,0.0743333,1.5,12,-2.86
11.393,2.635699072,0.0743333,5.3,18.3,-6.65
14.875,4.898444523,-0.5856667,0,19.9,-11.54
16.525,4.298895656,-0.5856667,-1.8,18.1,-6.97
16.766,3.655730626,-0.5856667,1.2,17.9,-5.11
16.279,4.212652608,-1.113,-1.8,17.2,-5.25
15.799,4.443456008,-1.113,-2.4,16,-3.87
15.351,3.643154953,-1.113,-0.9,15.5,-4.33
15.747,3.737460635,-0.9406667,-1.5,14.7,-4.16
15.859,3.094430515,-0.9406667,0.2,14.2,-1.73
15.76,5.118399037,-0.9406667,-0.3,14,0.12
15.61,4.352060219,-1.062333,-1.6,13.6,-1.57
14.989,3.889805847,-1.062333,1,13.8,-1.05
12.926,3.701099027,-1.062333,-1.9,13.8,-0.98
9.705,3.520992815,-0.1203333,-0.8,13.4,-1.12
7.976,4.131036718,-0.1203333,3.8,13.4,-1.5
7.194,3.484256022,-0.1203333,0.3,13.2,-1.69
7.209,4.480695338,-0.1556667,1,13,-1.54
7.324,3.708857027,-0.1556667,1.5,13.1,-2.18
7.513,3.058807135,-0.1556667,2,12.7,-1.42
7.244,2.51060463,-0.1556667,1.4,12.4,-0.66
6.881,2.128781726,-0.1556667,1.5,12.2,-1.34
6.431,1.853592644,-0.1556667,0.1,12.1,-0.69
6.057,1.591607195,0.1073333,1.6,12.1,-1.01
5.757,1.572678145,0.1073333,3.4,11.7,-0.32
5.423,1.903279208,0.1073333,0.2,11.8,-0.5
4.984,2.453309161,0.177,2.3,11.6,-0.7
4.551,2.047183392,0.177,-2.7,11.5,-1.05
4.237,1.828552367,0.177,0.8,11.4,-1.02
4.145,1.517835218,0.8163333,2.3,11,-1.18
4.116,1.62159661,0.8163333,5.6,10.7,0.92
4.376,1.627632819,0.8163333,3.5,10.7,0.24
