CPI,EX.Vol,GDP,IP,IR,TS
3.879,0.017596912,1.043,1.915,4.54,1.408
3.962,0.017216099,1.043,1.947,4.43,1.323
3.896,0.017116389,1.043,1.595,4.23,1.51
2.977,0.016825835,1.019667,1.416,4.17,1.657
2.666,0.016616867,1.019667,1.103,4.1,1.479
2.701,0.020616331,1.019667,1.66,3.99,1.538
2.964,0.019732115,1.044667,1.502,3.87,1.9
3.131,0.019350332,1.044667,0.857,3.8,2.05
3.056,0.018811799,1.044667,-0.043,3.79,2.063
2.648,0.018310594,1.144333,1.23,3.74,2.126
2.799,0.019171544,1.144333,0.754,3.66,2.241
2.671,0.018540024,1.144333,1.015,3.61,2.194
2.352,0.020243523,1.011333,-0.045,3.69,2.101
2.266,0.019443546,1.011333,0.309,3.6,2.079
2.286,0.018678728,1.011333,2.233,3.54,1.981
2.724,0.018802487,1.042333,1.066,3.52,2.151
3.343,0.018335544,1.042333,2.649,3.55,2.244
3.387,0.01782697,1.042333,2.899,3.52,2.277
3.301,0.017474995,1.155333,2.114,3.53,2.164
3.317,0.017173818,1.155333,0.892,3.49,2.036
3.283,0.016944412,1.155333,3.446,3.54,1.961
3.571,0.016731448,1.009667,0.359,3.52,1.823
3.508,0.016925203,1.009667,2.053,3.52,1.68
3.284,0.017667076,1.009667,0.504,3.49,1.467
3.181,0.017663558,1.151333,0.854,3.55,1.445
3.361,0.017801511,1.151333,0.815,3.56,1.442
3.403,0.017366724,1.151333,0.289,3.57,1.593
3.539,0.017207848,1.234,1.39,3.56,1.393
3.023,0.017324704,1.234,0.148,3.55,1.234
3.139,0.017105215,1.234,0.051,3.46,1.079
3.233,0.018103782,1.214333,0.277,3.47,1.101
3.272,0.017606791,1.214333,2.859,3.42,1.098
3.795,0.017633415,1.214333,0.452,3.4,0.951
3.497,0.017292768,1.362,0.753,3.44,1.073
3.425,0.017232374,1.362,1.254,3.51,1.119
3.73,0.017107711,1.362,4.414,3.51,0.897
4.27,0.016924543,1.387667,4.468,3.66,0.818
4.129,0.017000741,1.387667,3.876,3.7,0.88
4.068,0.017047795,1.387667,3.597,3.78,0.927
3.817,0.016919973,1.394667,2.082,3.87,1.126
4.082,0.016973615,1.394667,4.343,4.05,1.101
3.886,0.017806802,1.394667,4.438,4.07,1.004
3.923,0.017648558,1.406,3.572,4.22,0.918
3.754,0.017308197,1.406,2.509,4.21,0.664
2.944,0.017039248,1.406,3.988,4.32,0.425
2.573,0.016818472,1.377667,4.453,4.48,0.308
2.673,0.016623795,1.377667,3.914,4.54,0.153
2.711,0.01692926,1.377667,4.877,4.72,0.136
2.499,0.016998074,1.352667,3.092,4.76,0.318
2.492,0.017074672,1.352667,2.865,4.81,0.292
2.485,0.016920957,1.352667,3.905,4.91,0.119
2.501,0.016759848,1.277667,2.058,4.96,0.235
2.436,0.016823533,1.277667,3.476,5.04,0.269
