year	month	classification	credit.growth	bank.capitalization	leverage.ratio	bank.diversification	ROA	operating.efficiency	GDP.growth	interest.rate.in.6m	interest.rate.6m.to.1y	growth.of.M2	monetary.multiplier	CPI	IVA.growth	RMB.US.Spot.rate
2007	6	1	39.87937046	1.599093976	96.37564227	4.099900634	0.46297984	0.447751742	15	5.79	6.51	16.97	4.55	2.97	18.3	7.68
2007	9	1	48.76486047	3.405462476	89.57184314	8.82564042	0.869071841	0.953874315	14.3	6.24	7.05	18.34	4.46	3.83	18.13	7.56
2007	12	1	40.26787056	2.41475376	86.92876951	5.5030023	1.195700789	0.943234059	13.9	6.51	7.35	17.87	3.97	4.6	17.53	7.43
2008	3	1	49.22737902	3.027290668	89.92135731	12.7808423	0.408809547	0.468274927	11.5	6.57	7.47	17.47	4.06	7.67	16.2	7.16
2008	6	1	38.25917105	2.039797423	88.68581256	5.716895859	0.875465616	0.494377966	10.9	6.57	7.47	17.38	3.84	8.07	15.9	6.96
2008	9	1	46.24447205	2.467113845	91.51222321	14.57677423	1.111908171	1.090648904	9.5	6.45	7.38	15.8	3.87	7.33	12.97	6.84
2008	12	1	46.2983138	1.493344871	91.89162381	6.374163114	1.298875537	0.885532583	7.1	5.31	5.85	15.83	3.68	6.3	6.43	6.84
2009	3	1	45.17402135	2.103458362	92.31576306	13.67945881	0.297750767	0.435109327	6.4	4.86	5.31	21.52	4.27	0.03	5.46	6.84
2009	6	1	52.25341257	1.302564128	92.59870958	7.833342397	0.611278527	0.341808458	8.2	4.86	5.31	26.67	4.59	-0.93	8.97	6.83
2009	9	1	53.50342079	1.241342047	92.73542791	7.630255453	0.875425164	0.543429321	10.6	4.86	5.31	28.71	4.39	-1.17	12.33	6.83
2009	12	1	51.26460562	1.167370229	92.95596396	7.446196452	1.055880031	0.787576503	11.9	4.86	5.31	29.17	4.11	-0.9	17.93	6.83
2010	3	1	47.97963886	1.370041209	94.37886614	13.15657998	0.272940706	0.363299308	12.2	4.86	5.31	24.66	4.35	1.93	20.03	6.83
2010	6	1	48.02474758	0.963850489	93.71498506	8.030394789	0.604141044	0.378787072	10.8	4.86	5.31	20.28	4.37	2.5	16	6.82
2010	9	1	46.97695758	0.902860606	93.81357837	8.19902495	0.862477659	0.556423501	9.9	4.86	5.31	18.6	4.32	2.8	13.53	6.77
2010	12	1	45.65288825	0.849355262	94.19445251	7.785957715	0.928188285	0.81872054	9.9	5.18	5.64	19.23	3.92	3.17	13.3	6.65
2011	3	1	48.3904891	0.848162682	93.85441113	10.7185931	0.343338828	0.17382933	10.2	5.52	5.98	16.56	3.94	4.93	14.33	6.58
2011	6	1	43.33981965	1.098823352	93.54518987	14.78923042	0.630621629	0.613292749	10	5.85	6.31	15.44	3.84	5.23	13.93	6.5
2011	9	1	50.15839504	1.236212344	92.35218503	16.67537259	1.095980983	1.070656776	9.4	6.1	6.56	13.76	3.71	5.6	13.77	6.42
2011	12	1	47.11947157	1.107043055	92.81603196	14.36654265	1.248959506	1.396865262	8.8	6.1	6.56	16.76	3.79	5.5	12.8	6.36
2012	3	1	49.09614161	1.085953256	92.57211838	12.8461502	0.389234851	0.358413931	8.1	6.1	6.56	17.53	3.95	4.07	12	6.31
2012	6	1	49.08287256	1.038677956	92.66285187	11.03910362	0.777217771	0.714729346	7.6	6.02	6.48	17.95	4.06	3.5	9.47	6.33
2012	9	1	41.25007132	0.850902755	93.68348987	10.98894297	0.983915019	0.907281513	7.5	5.6	6	19.07	4	2.93	9.1	6.35
2012	12	1	38.98347506	0.772031733	94.07903786	12.19789337	1.089086617	1.177780739	8.1	5.6	6	14.49	3.86	2.67	10	6.24
2013	3	1	33.95777591	0.76025383	93.30625773	11.91583775	0.307638805	0.217644882	7.9	5.6	6	15.58	4.08	2.36	9.6	6.22
2013	6	1	35.77442493	0.649582972	94.44343298	14.32680492	0.587343249	0.541504938	7.6	5.6	6	15.27	4.09	2.4	9.13	6.15
2013	9	1	36.26123531	0.637379233	94.46899732	14.57766094	0.871661362	0.819024582	7.9	5.6	6	14.46	4.09	2.48	10.1	6.13
2013	12	1	36.59677066	0.616500623	94.54395406	14.37176596	1.036243891	1.162856266	7.7	5.6	6	14.03	4.08	2.62	10	6.09
2014	6	1	43.6775806	0.596365154	94.05464602	19.13913239	0.600160205	0.345824021	7.4	5.6	6	12.87	4.22	2.33	8.7	6.1
2014	6	1	36.41878601	0.550107213	94.42594373	17.74535635	0.588695127	0.543300072	7.5	5.6	6	13.79	4.32	2.22	8.9	6.23
2014	9	1	37.3570898	0.60414681	93.91532735	17.13706799	0.852614127	0.797467662	7.1	5.6	6	12.63	4.21	2.21	7.97	6.17
2014	12	1	37.90965504	0.58649251	93.83442808	17.30489228	1.016784281	1.093724056	7.2	5.6	5.73	11.68	4.18	2.04	7.6	6.15
2015	3	1	28.23429883	0.448279077	94.82125861	18.14016915	0.270312193	0.232985059	7	5.52	5.52	10.52	4.31	1.02	6.27	6.24
2015	6	1	27.90221928	0.460268963	93.93804654	18.82396671	0.492412876	0.445172732	7	5.1	5.1	10.13	4.62	1.27	6.27	6.2
2015	9	1	42.23069819	0.708804513	93.95329117	19.65636381	0.792986236	0.565611682	6.9	4.68	4.68	13.25	4.86	1.39	5.93	6.3
2015	12	1	35.68753587	0.544310732	93.70557657	22.73645731	0.916582691	1.140737225	6.8	4.35	4.35	13.5	5.04	1.43	5.9	6.4
