year	month	classification	credit.growth	bank.capitalization	leverage.ratio	bank.diversification	ROA	operating.efficiency	GDP.growth	interest.rate.in.6m	interest.rate.6m.to.1y	growth.of.M2	monetary.multiplier	CPI	IVA.growth	RMB.US.Spot.rate
2007	6	2	68.10020569	0.565676515	96.60827879	6.051747446	0.331724323	0.607028574	15	5.79	6.51	16.97	4.55	2.97	18.3	7.68
2007	9	2	63.71817093	0.515727487	96.75418649	6.391877221	0.464594053	0.939036623	14.3	6.24	7.05	18.34	4.46	3.83	18.13	7.56
2007	12	2	51.36514995	1.122046283	94.81256753	18.50273439	1.163097687	1.349202473	13.9	6.51	7.35	17.87	3.97	4.6	17.53	7.43
2008	3	2	51.20601025	1.070545194	94.55795881	15.45197945	0.459969748	0.376332267	11.5	6.57	7.47	17.47	4.06	7.67	16.2	7.16
2008	6	2	53.20710622	1.053667777	94.44787937	16.35471112	0.948924302	0.771820423	10.9	6.57	7.47	17.38	3.84	8.07	15.9	6.96
2008	9	2	57.62262071	0.50753682	96.58460751	7.722185071	0.882506317	1.027909532	9.5	6.45	7.38	15.8	3.87	7.33	12.97	6.84
2008	12	2	55.97771411	3.286056925	91.9731411	9.661004076	1.121365979	1.396656275	7.1	5.31	5.85	15.83	3.68	6.3	6.43	6.84
2009	3	2	63.84472141	1.620505686	95.04343761	12.91113118	0.214799006	0.361499409	6.4	4.86	5.31	21.52	4.27	0.03	5.46	6.84
2009	6	2	70.55042644	2.785133113	92.93152867	11.82846933	0.502826661	0.481135259	8.2	4.86	5.31	26.67	4.59	-0.93	8.97	6.83
2009	9	2	57.99813675	0.947939438	95.66141323	20.5217829	0.648420522	0.965044888	10.6	4.86	5.31	28.71	4.39	-1.17	12.33	6.83
2009	12	2	57.24067722	0.544151594	95.80411091	8.61771691	0.814382878	1.049519819	11.9	4.86	5.31	29.17	4.11	-0.9	17.93	6.83
2010	3	2	59.59157403	0.531432119	95.64615208	9.215221602	0.247048047	0.279501601	12.2	4.86	5.31	24.66	4.35	1.93	20.03	6.83
2010	6	2	58.30341707	0.945330566	94.53047165	18.60690604	0.57844925	0.618318129	10.8	4.86	5.31	20.28	4.37	2.5	16	6.82
2010	9	2	58.56802358	0.914448602	94.35878832	18.7114462	0.872406936	0.968356866	9.9	4.86	5.31	18.6	4.32	2.8	13.53	6.77
2010	12	2	57.98922761	1.464849372	94.22849896	16.51683121	0.969876687	1.474225724	9.9	5.18	5.64	19.23	3.92	3.17	13.3	6.65
2011	3	2	60.52341963	1.820231132	93.875857	12.92833936	0.307265722	0.306566225	10.2	5.52	5.98	16.56	3.94	4.93	14.33	6.58
2011	6	2	51.21021914	2.43271328	94.78120067	17.85434524	0.554790319	0.51815221	10	5.85	6.31	15.44	3.84	5.23	13.93	6.5
2011	9	2	51.84826431	2.421252754	94.55463362	16.7488902	0.847188972	0.781189237	9.4	6.1	6.56	13.76	3.71	5.6	13.77	6.42
2011	12	2	51.36684781	2.332759828	94.45294507	16.26510948	1.043365035	1.078676862	8.8	6.1	6.56	16.76	3.79	5.5	12.8	6.36
2012	3	2	46.16921109	2.004990189	94.8797143	17.74447642	0.3404613	0.253637758	8.1	6.1	6.56	17.53	3.95	4.07	12	6.31
2012	6	2	53.6883397	0.649381332	94.54172976	20.13013571	0.703524031	0.692087552	7.6	6.02	6.48	17.95	4.06	3.5	9.47	6.33
2012	9	2	44.97145511	1.823555594	95.03887297	16.02518838	0.859401184	0.726945508	7.5	5.6	6	19.07	4	2.93	9.1	6.35
2012	12	2	44.89050342	1.774013456	94.98432629	17.11705708	1.036285343	1.017858592	8.1	5.6	6	14.49	3.86	2.67	10	6.24
2013	3	2	56.28957091	1.500023725	93.1776124	17.14080702	0.299190403	0.305859028	7.9	5.6	6	15.58	4.08	2.36	9.6	6.22
2013	6	2	43.5463197	0.831824821	94.39290952	31.23198658	0.688954817	0.645583566	7.6	5.6	6	15.27	4.09	2.4	9.13	6.15
2013	9	2	55.35848684	1.375518609	93.39067821	18.31815182	0.918413786	0.842504045	7.9	5.6	6	14.46	4.09	2.48	10.1	6.13
2013	12	2	49.21943715	0.532453345	94.856698	15.34675319	0.927443441	1.282133305	7.7	5.6	6	14.03	4.08	2.62	10	6.09
2014	3	2	49.82311732	0.86425873	93.36157525	31.94011022	0.393922341	0.344076494	7.4	5.6	6	12.87	4.22	2.33	8.7	6.1
2014	6	2	48.30125156	0.474604837	94.36878422	20.23086375	0.58182538	0.459185841	7.5	5.6	6	13.79	4.32	2.22	8.9	6.23
2014	9	2	49.83354572	0.471435121	94.07328234	19.95685615	0.888809248	0.700442446	7.1	5.6	6	12.63	4.21	2.21	7.97	6.17
2014	12	2	45.14581822	0.850606306	93.82944936	33.5926839	1.134880612	1.480597419	7.2	5.6	5.73	11.68	4.18	2.04	7.6	6.15
2015	3	2	50.65241755	1.0560887	93.70800288	26.77260478	0.250484457	0.276939155	7	5.52	5.52	10.52	4.31	1.02	6.27	6.24
2015	6	2	52.73300258	0.464471697	94.16878083	20.72068929	0.485700218	0.677017701	7	5.1	5.1	10.13	4.62	1.27	6.27	6.2
2015	9	2	51.09605604	1.005493497	93.63577869	26.890251	0.718525864	0.788929965	6.9	4.68	4.68	13.25	4.86	1.39	5.93	6.3
2015	12	2	52.91348527	0.528851769	94.14095983	23.51342168	0.937937369	1.289416432	6.8	4.35	4.35	13.5	5.04	1.43	5.9	6.4
