year	month	subprime.crisis	european.sovereign.crisis	GDP.growth	interest.rate.in.6m	interest.rate.6m.to.1y	growth.of.M2	monetary.multiplier	CPI	IVA.growth	RMB.US.Spot.rate
2007	6	0	0	15	5.79	6.51	16.97	4.55	2.97	18.3	7.68
2007	9	1	0	14.3	6.24	7.05	18.34	4.46	3.83	18.13	7.56
2007	12	1	0	13.9	6.51	7.35	17.87	3.97	4.6	17.53	7.43
2008	3	1	0	11.5	6.57	7.47	17.47	4.06	7.67	16.2	7.16
2008	6	1	0	10.9	6.57	7.47	17.38	3.84	8.07	15.9	6.96
2008	9	1	0	9.5	6.45	7.38	15.8	3.87	7.33	12.97	6.84
2008	12	1	0	7.1	5.31	5.85	15.83	3.68	6.3	6.43	6.84
2009	3	1	0	6.4	4.86	5.31	21.52	4.27	0.03	5.46	6.84
2009	6	1	0	8.2	4.86	5.31	26.67	4.59	-0.93	8.97	6.83
2009	9	1	0	10.6	4.86	5.31	28.71	4.39	-1.17	12.33	6.83
2009	12	0	1	11.9	4.86	5.31	29.17	4.11	-0.9	17.93	6.83
2010	3	0	1	12.2	4.86	5.31	24.66	4.35	1.93	20.03	6.83
2010	6	0	1	10.8	4.86	5.31	20.28	4.37	2.5	16	6.82
2010	9	0	1	9.9	4.86	5.31	18.6	4.32	2.8	13.53	6.77
2010	12	0	1	9.9	5.18	5.64	19.23	3.92	3.17	13.3	6.65
2011	3	0	1	10.2	5.52	5.98	16.56	3.94	4.93	14.33	6.58
2011	6	0	1	10	5.85	6.31	15.44	3.84	5.23	13.93	6.5
2011	9	0	1	9.4	6.1	6.56	13.76	3.71	5.6	13.77	6.42
2011	12	0	1	8.8	6.1	6.56	16.76	3.79	5.5	12.8	6.36
2012	3	0	1	8.1	6.1	6.56	17.53	3.95	4.07	12	6.31
2012	6	0	1	7.6	6.02	6.48	17.95	4.06	3.5	9.47	6.33
2012	9	0	1	7.5	5.6	6	19.07	4	2.93	9.1	6.35
2012	12	0	1	8.1	5.6	6	14.49	3.86	2.67	10	6.24
2013	3	0	1	7.9	5.6	6	15.58	4.08	2.36	9.6	6.22
2013	6	0	1	7.6	5.6	6	15.27	4.09	2.4	9.13	6.15
2013	9	0	1	7.9	5.6	6	14.46	4.09	2.48	10.1	6.13
2013	12	0	1	7.7	5.6	6	14.03	4.08	2.62	10	6.09
2014	3	0	0	7.4	5.6	6	12.87	4.22	2.33	8.7	6.1
2014	6	0	0	7.5	5.6	6	13.79	4.32	2.22	8.9	6.23
2014	9	0	0	7.1	5.6	6	12.63	4.21	2.21	7.97	6.17
2014	12	0	0	7.2	5.6	5.73	11.68	4.18	2.04	7.6	6.15
2015	3	0	0	7	5.52	5.52	10.52	4.31	1.02	6.27	6.24
2015	6	0	0	7	5.1	5.1	10.13	4.62	1.27	6.27	6.2
2015	9	0	0	6.9	4.68	4.68	13.25	4.86	1.39	5.93	6.3
2015	12	0	0	6.8	4.35	4.35	13.5	5.04	1.43	5.9	6.4
