year	month	classification	credit.growth	bank.capitalization	leverage.ratio	bank.diversification	ROA	operating.efficiency	GDP.growth	interest.rate.in.6m	interest.rate.6m.to.1y	growth.of.M2	monetary.multiplier	CPI	IVA.growth	RMB.US.Spot.rate
2007	6	3	45.74956526	4.347607154	92.63243478	22.82896346	0.560511945	0.02781493	15	5.79	6.51	16.97	4.55	2.97	18.3	7.68
2007	9	3	47.07528686	3.884955563	93.88169425	15.09254124	0.743007827	0.827681083	14.3	6.24	7.05	18.34	4.46	3.83	18.13	7.56
2007	12	3	46.90343066	3.846245081	93.73291167	15.61668687	0.94411885	1.243072547	13.9	6.51	7.35	17.87	3.97	4.6	17.53	7.43
2008	3	3	46.50013146	3.653920351	93.75443792	16.93064038	0.364080418	0.270495057	11.5	6.57	7.47	17.47	4.06	7.67	16.2	7.16
2008	6	3	46.33386738	3.553408738	94.10271959	17.11553573	0.690205065	0.579257784	10.9	6.57	7.47	17.38	3.84	8.07	15.9	6.96
2008	9	3	47.10040027	3.559320643	93.75748787	16.40587794	0.991832463	0.857608952	9.5	6.45	7.38	15.8	3.87	7.33	12.97	6.84
2008	12	3	46.85546341	3.423148638	93.77782815	16.06816995	1.139116021	1.173150841	7.1	5.31	5.85	15.83	3.68	6.3	6.43	6.84
2009	3	3	47.44006858	3.042353897	94.16534308	20.390395	0.321423711	0.218645362	6.4	4.86	5.31	21.52	4.27	0.03	5.46	6.84
2009	6	3	52.53121354	3.091352983	93.87449598	29.98009788	0.526520963	0.534156821	8.2	4.86	5.31	26.67	4.59	-0.93	8.97	6.83
2009	9	3	50.17249377	2.49828629	94.25885602	20.07778268	0.92112741	0.770410688	10.6	4.86	5.31	28.71	4.39	-1.17	12.33	6.83
2009	12	3	50.08412347	2.42835269	94.19100719	20.10730691	1.110174154	1.11343705	11.9	4.86	5.31	29.17	4.11	-0.9	17.93	6.83
2010	3	3	48.2960811	2.660788305	94.23103012	22.4957438	0.332380469	0.244045729	12.2	4.86	5.31	24.66	4.35	1.93	20.03	6.83
2010	6	3	52.26056985	2.283015179	94.33177924	23.32287043	0.691472561	0.515553907	10.8	4.86	5.31	20.28	4.37	2.5	16	6.82
2010	9	3	48.975759	2.489356186	94.33960802	21.20234879	0.952422688	0.738551457	9.9	4.86	5.31	18.6	4.32	2.8	13.53	6.77
2010	12	3	50.45468994	2.593274408	93.89493962	21.2312035	1.233595832	1.07687102	9.9	5.18	5.64	19.23	3.92	3.17	13.3	6.65
2011	3	3	52.96609721	2.48213559	93.67309598	34.10334653	0.311303962	0.306039982	10.2	5.52	5.98	16.56	3.94	4.93	14.33	6.58
2011	6	3	54.13441096	2.430853386	93.87708345	31.5026804	0.610728543	0.57373633	10	5.85	6.31	15.44	3.84	5.23	13.93	6.5
2011	9	3	54.19233035	2.421067914	93.70518179	30.5472476	0.87844556	0.882469875	9.4	6.1	6.56	13.76	3.71	5.6	13.77	6.42
2011	12	3	53.61604914	2.359640259	93.61039913	29.19069815	1.101591487	1.235589049	8.8	6.1	6.56	16.76	3.79	5.5	12.8	6.36
2012	3	3	51.10758751	2.164934662	93.82580213	34.68938736	0.2981771	0.315681345	8.1	6.1	6.56	17.53	3.95	4.07	12	6.31
2012	6	3	52.65772569	2.176484669	93.8278317	29.23980352	0.584784014	0.592479566	7.6	6.02	6.48	17.95	4.06	3.5	9.47	6.33
2012	9	3	54.2889282	2.190473164	93.5047908	28.33384805	0.874307549	0.91767805	7.5	5.6	6	19.07	4	2.93	9.1	6.35
2012	12	3	54.13535542	2.201367994	93.20583426	28.82984018	1.147594182	1.303540877	8.1	5.6	6	14.49	3.86	2.67	10	6.24
2013	3	3	50.47019498	1.904656017	93.47498578	27.83326066	0.37485405	0.272436905	7.9	5.6	6	15.58	4.08	2.36	9.6	6.22
2013	6	3	56.12188736	2.105791054	93.31382599	33.28730037	0.634962975	0.642725377	7.6	5.6	6	15.27	4.09	2.4	9.13	6.15
2013	9	3	55.3063375	2.048823788	93.20605458	31.87002151	0.919757093	0.953842014	7.9	5.6	6	14.46	4.09	2.48	10.1	6.13
2013	12	3	52.45006912	1.857461711	93.24199302	26.0564262	1.390043595	1.204757309	7.7	5.6	6	14.03	4.08	2.62	10	6.09
2014	3	3	52.55812825	1.780575852	93.09378316	29.00028285	0.372243121	0.286678028	7.4	5.6	6	12.87	4.22	2.33	8.7	6.1
2014	6	3	52.43441865	1.730750543	93.30415373	28.37833238	0.730808513	0.577998754	7.5	5.6	6	13.79	4.32	2.22	8.9	6.23
2014	9	3	53.86172249	1.744398628	92.89177645	26.99511401	1.096002592	0.888771729	7.1	5.6	6	12.63	4.21	2.21	7.97	6.17
2014	12	3	55.62299207	1.89314647	92.24051958	28.91548798	1.161848808	1.213568711	7.2	5.6	5.73	11.68	4.18	2.04	7.6	6.15
2015	3	3	56.14709972	1.430604432	92.46812467	31.06302834	0.384123278	0.326918785	7	5.52	5.52	10.52	4.31	1.02	6.27	6.24
2015	6	3	51.93349599	1.589875139	92.80182109	30.41688185	0.666565703	0.57738456	7	5.1	5.1	10.13	4.62	1.27	6.27	6.2
2015	9	3	53.74667998	1.612342629	92.35169261	28.72376133	1.00561789	0.846838737	6.9	4.68	4.68	13.25	4.86	1.39	5.93	6.3
2015	12	3	53.73068081	1.604729988	91.89312546	28.72914665	1.250440121	1.216085886	6.8	4.35	4.35	13.5	5.04	1.43	5.9	6.4
