year	month	classification	NPLs
2007	6	1	2.04
2007	9	1	0.36
2007	12	1	1.79
2008	3	1	0.35
2008	6	1	1.39
2008	9	1	0.63
2008	12	1	1.55
2009	3	1	0.91
2009	6	1	1.14
2009	9	1	1.01
2009	12	1	1.02
2010	3	1	0.71
2010	6	1	0.76
2010	9	1	0.72
2010	12	1	0.69
2011	3	1	0.66
2011	6	1	0.69
2011	9	1	0.66
2011	12	1	0.68
2012	3	1	0.68
2012	6	1	0.72
2012	9	1	0.75
2012	12	1	0.76
2013	3	1	0.83
2013	6	1	0.83
2013	9	1	0.84
2013	12	1	0.89
2014	6	1	0.68
2014	6	1	0.89
2014	9	1	0.89
2014	12	1	0.89
2015	3	1	0.95
2015	6	1	0.95
2015	9	1	0.94
2015	12	1	0.92
