year	month	classification	NPLs.regress.residuals
2007	6	1	1.668107802
2007	9	1	-2.635080196
2007	12	1	1.448337796
2008	3	1	-2.641027614
2008	6	1	1.003824547
2008	9	1	-0.946667246
2008	12	1	1.369463851
2009	3	1	-0.285754897
2009	6	1	0.734746894
2009	9	1	0.435048005
2009	12	1	0.414826826
2010	3	1	-0.723676739
2010	6	1	-0.195306588
2010	9	1	-0.279776923
2010	12	1	-0.498993055
2011	3	1	-0.375690037
2011	6	1	-0.482054133
2011	9	1	-0.552271406
2011	12	1	-0.526688671
2012	3	1	-0.572723676
2012	6	1	-0.39949625
2012	9	1	-0.2116103
2012	12	1	-0.172225669
2013	3	1	0.106924817
2013	6	1	0.161426585
2013	9	1	0.228735425
2013	12	1	0.320311286
2014	6	1	-0.02049033
2014	6	1	0.450872659
2014	9	1	0.434786679
2014	12	1	0.40585109
2015	3	1	0.649479176
2015	6	1	0.683018953
2015	9	1	0.656333643
2015	12	1	0.521441832
