year	month	classification	NPLs
2007	6	2	1.71 
2007	9	2	1.61 
2007	12	2	1.54 
2008	3	2	1.42 
2008	6	2	1.25 
2008	9	2	1.19 
2008	12	2	1.36 
2009	3	2	1.17 
2009	6	2	0.99 
2009	9	2	0.83 
2009	12	2	0.80 
2010	3	2	0.71 
2010	6	2	0.67 
2010	9	2	0.64 
2010	12	2	0.69 
2011	3	2	0.66 
2011	6	2	0.67 
2011	9	2	0.65 
2011	12	2	0.64 
2012	3	2	0.64 
2012	6	2	0.56 
2012	9	2	0.70 
2012	12	2	0.74 
2013	3	2	0.88 
2013	6	2	0.78 
2013	9	2	0.90 
2013	12	2	0.90 
2014	3	2	0.87 
2014	6	2	0.93 
2014	9	2	0.96 
2014	12	2	1.17 
2015	3	2	1.35 
2015	6	2	1.35 
2015	9	2	1.42 
2015	12	2	1.52 
