year	month	classification	NPLs.regress.residuals
2007	6	2	1.073383978
2007	9	2	0.960699545
2007	12	2	1.185028678
2008	3	2	1.013437567
2008	6	2	0.786078434
2008	9	2	0.556227814
2008	12	2	0.28633915
2009	3	2	-0.021049508
2009	6	2	-0.340782887
2009	9	2	-0.39908576
2009	12	2	-0.460324553
2010	3	2	-0.775307956
2010	6	2	-0.824219273
2010	9	2	-0.902919105
2010	12	2	-1.038999837
2011	3	2	-1.219860858
2011	6	2	-1.115555609
2011	9	2	-1.164131253
2011	12	2	-1.226124457
2012	3	2	-1.111139404
2012	6	2	-1.057895108
2012	9	2	-0.859226091
2012	12	2	-0.740044208
2013	3	2	-0.380321275
2013	6	2	-0.192188217
2013	9	2	-0.134546443
2013	12	2	-0.018954358
2014	3	2	0.048691497
2014	6	2	0.369132505
2014	9	2	0.482832365
2014	12	2	0.72297028
2015	3	2	0.872360527
2015	6	2	1.050537238
2015	9	2	1.109511677
2015	12	2	1.395755169
