year	month	classification	NPLs
2007	6	3	3.56 
2007	9	3	3.06 
2007	12	3	2.74 
2008	3	3	2.51 
2008	6	3	2.41 
2008	9	3	2.37 
2008	12	3	2.29 
2009	3	3	1.97 
2009	6	3	1.80 
2009	9	3	1.57 
2009	12	3	1.50 
2010	3	3	1.35 
2010	6	3	1.22 
2010	9	3	1.15 
2010	12	3	1.08 
2011	3	3	1.04 
2011	6	3	1.00 
2011	9	3	0.99 
2011	12	3	1.00 
2012	3	3	0.97 
2012	6	3	0.94 
2012	9	3	0.93 
2012	12	3	0.95 
2013	3	3	0.87 
2013	6	3	0.93 
2013	9	3	0.96 
2013	12	3	0.94 
2014	3	3	0.97 
2014	6	3	0.99 
2014	9	3	1.06 
2014	12	3	1.18 
2015	3	3	1.30 
2015	6	3	1.40 
2015	9	3	1.44 
2015	12	3	1.50 
