year	month	classification	NPLs.regress.residuals
2007	6	3	3.280541518
2007	9	3	1.571585167
2007	12	3	1.260468043
2008	3	3	1.234520554
2008	6	3	1.151490626
2008	9	3	1.116478678
2008	12	3	0.979148188
2009	3	3	0.774361688
2009	6	3	0.532665086
2009	9	3	0.284103769
2009	12	3	0.123596566
2010	3	3	-0.11315641
2010	6	3	-0.241396871
2010	9	3	-0.432279093
2010	12	3	-0.626741406
2011	3	3	-0.738560841
2011	6	3	-0.77288199
2011	9	3	-0.800824665
2011	12	3	-0.805533587
2012	3	3	-0.890992318
2012	6	3	-0.941713863
2012	9	3	-0.958718635
2012	12	3	-0.912207032
2013	3	3	-1.000895943
2013	6	3	-0.912337775
2013	9	3	-0.814929406
2013	12	3	-0.779581767
2014	3	3	-0.723202718
2014	6	3	-0.62174531
2014	9	3	-0.445972868
2014	12	3	-0.290480565
2015	3	3	0.054365773
2015	6	3	0.234509958
2015	9	3	0.330093471
2015	12	3	0.392318331
