year	month	quar.st.resi.Const
2007	6	0.204286623
2007	9	0.162399254
2007	12	0.016769148
2008	3	-0.233487145
2008	6	-0.219508437
2008	9	-0.106465885
2008	12	-0.006667652
2009	3	0.102244328
2009	6	0.116038439
2009	9	-0.008786982
2009	12	0.039617606
2010	3	-0.030229713
2010	6	-0.366946947
2010	9	0.068783248
2010	12	0.054386485
2011	3	-0.047357161
2011	6	-0.118075179
2011	9	-0.305438328
2011	12	-0.204646815
2012	3	-0.028538037
2012	6	0.032816442
2012	9	-0.126668731
2012	12	0.084272763
2013	3	-0.1034497
2013	6	-0.127464683
2013	9	-0.037977959
2013	12	-0.098236556
2014	3	-0.154997959
2014	6	-0.067238694
2014	9	0.24592
2014	12	0.348989798
2015	3	0.201888349
2015	6	0.065468823
2015	9	-0.159402971
2015	12	0.005959521
