year	month	quar.st.resi.Finan
2007	6	0.145217182
2007	9	0.266902879
2007	12	-0.011760929
2008	3	-0.231764944
2008	6	-0.127067284
2008	9	-0.130627415
2008	12	-0.092546978
2009	3	0.204291395
2009	6	0.225069137
2009	9	-0.064093285
2009	12	0.10664191
2010	3	-0.049596331
2010	6	-0.246486506
2010	9	-0.012344723
2010	12	0.0372174
2011	3	0.039217086
2011	6	-0.048842591
2011	9	-0.153646569
2011	12	-0.019059856
2012	3	0.056785702
2012	6	0.048691331
2012	9	-0.085499657
2012	12	0.162601479
2013	3	0.002574414
2013	6	-0.141540263
2013	9	0.109040724
2013	12	-0.03099365
2014	3	-0.095153118
2014	6	0.043942262
2014	9	0.157486579
2014	12	0.474618669
2015	3	0.031909582
2015	6	0.022608039
2015	9	-0.169159337
2015	12	0.120279714
