year	month	quar.st.resi.IT
2007	6	0.017207836
2007	9	0.176418616
2007	12	0.028014941
2008	3	-0.220857662
2008	6	-0.192239102
2008	9	-0.16382387
2008	12	-0.082317385
2009	3	0.146905925
2009	6	0.05038078
2009	9	-0.036135483
2009	12	0.11589859
2010	3	0.017309806
2010	6	-0.243993575
2010	9	0.055434028
2010	12	-0.007379646
2011	3	-0.161025027
2011	6	-0.194525148
2011	9	-0.192520961
2011	12	-0.114545073
2012	3	-0.117252439
2012	6	-0.141872118
2012	9	-0.108077585
2012	12	-0.167641095
2013	3	0.048876918
2013	6	0.092163918
2013	9	0.165367069
2013	12	-0.093865299
2014	3	-0.009269537
2014	6	0.005318944
2014	9	0.111090229
2014	12	-0.024354973
2015	3	0.383917654
2015	6	0.081632106
2015	9	-0.166891657
2015	12	0.092660431
