year	month	quar.st.resi.Manu
2007	6	0.135433707
2007	9	0.149289284
2007	12	-0.105522928
2008	3	-0.262079752
2008	6	-0.250219895
2008	9	-0.21115356
2008	12	-0.12222649
2009	3	0.217678168
2009	6	0.032540796
2009	9	-0.001877086
2009	12	0.117146399
2010	3	-0.072889721
2010	6	-0.309846179
2010	9	0.134792159
2010	12	-0.003064041
2011	3	-0.102417641
2011	6	-0.212136724
2011	9	-0.268504988
2011	12	-0.25426533
2012	3	-0.075951181
2012	6	-0.114601889
2012	9	-0.182999309
2012	12	-0.11455874
2013	3	-0.036645554
2013	6	-0.20864779
2013	9	0.023844656
2013	12	-0.101722847
2014	3	-0.133208705
2014	6	-0.079608735
2014	9	0.126528195
2014	12	-0.05776222
2015	3	0.252405315
2015	6	0.158964094
2015	9	-0.184691798
2015	12	0.081424079
