year	month	quar.st.resi.Min
2007	6	0.255729931
2007	9	0.363301086
2007	12	0.077960959
2008	3	-0.276457391
2008	6	-0.082923155
2008	9	-0.223846916
2008	12	-0.132995578
2009	3	0.245381193
2009	6	0.216948962
2009	9	-0.006566577
2009	12	0.090464172
2010	3	-0.11272938
2010	6	-0.257319587
2010	9	0.171044775
2010	12	0.151026942
2011	3	0.008621149
2011	6	-0.084070562
2011	9	-0.153348605
2011	12	-0.199648571
2012	3	0.032467182
2012	6	-0.091600647
2012	9	-0.024708156
2012	12	-0.021251253
2013	3	-0.124902854
2013	6	-0.338813908
2013	9	0.046788063
2013	12	-0.132132504
2014	3	-0.134528776
2014	6	0.038692627
2014	9	0.214373026
2014	12	0.139702656
2015	3	0.160399216
2015	6	0.140655998
2015	9	-0.211308799
2015	12	0.028563116
