year	month	quar.st.resi.Esta
2007	6	0.249246235
2007	9	0.119338683
2007	12	-0.106799741
2008	3	-0.155112096
2008	6	-0.28608207
2008	9	-0.150014696
2008	12	-0.068002168
2009	3	0.232988062
2009	6	0.206711476
2009	9	-0.127577003
2009	12	0.011860936
2010	3	-0.053547964
2010	6	-0.366853048
2010	9	0.026574762
2010	12	-0.049181765
2011	3	0.02048664
2011	6	-0.101558208
2011	9	-0.265538058
2011	12	-0.139913952
2012	3	0.048553541
2012	6	0.00731517
2012	9	-0.158732087
2012	12	0.134064653
2013	3	-0.118147309
2013	6	-0.11117899
2013	9	-0.004466915
2013	12	-0.151446362
2014	3	-0.060733189
2014	6	-0.069689955
2014	9	0.167776216
2014	12	0.269472547
2015	3	0.132643225
2015	6	0.110424297
2015	9	-0.171076062
2015	12	0.143602084
