year	month	quar.st.resi.TW
2007	6	0.13401975
2007	9	0.21155556
2007	12	-0.02208601
2008	3	-0.28072616
2008	6	-0.21979156
2008	9	-0.09911339
2008	12	-0.20057506
2009	3	0.22520946
2009	6	0.06575268
2009	9	-0.02311505
2009	12	0.11824437
2010	3	0.03100844
2010	6	-0.31816499
2010	9	0.04354737
2010	12	-0.02005218
2011	3	-0.03820389
2011	6	-0.16552348
2011	9	-0.24554234
2011	12	-0.19059515
2012	3	-0.03067885
2012	6	-0.07593128
2012	9	-0.22297432
2012	12	0.04943374
2013	3	-0.03489957
2013	6	-0.28830682
2013	9	0.19602317
2013	12	-0.0420092
2014	3	-0.08875325
2014	6	-0.08088309
2014	9	0.31068646
2014	12	0.27051081
2015	3	0.16831264
2015	6	0.19163165
2015	9	-0.17009628
2015	12	0.01563468
