year	month	quar.st.resi.WR
2007	6	-0.2770929
2007	9	-0.11321554
2007	12	-0.17492291
2008	3	-0.27315539
2008	6	-0.15380951
2008	9	-0.07271228
2008	12	0.01020386
2009	3	0.15366272
2009	6	-0.0743419
2009	9	-0.17848346
2009	12	0.04806293
2010	3	-0.1250435
2010	6	-0.25143623
2010	9	0.11177129
2010	12	-0.16944113
2011	3	-0.09704723
2011	6	-0.13729794
2011	9	-0.18726407
2011	12	-0.13431245
2012	3	0.02810339
2012	6	-0.09910294
2012	9	-0.08113667
2012	12	-0.03832838
2013	3	-0.11123815
2013	6	-0.21023521
2013	9	0.21638924
2013	12	-0.20231803
2014	3	-0.13480506
2014	6	-0.07300399
2014	9	0.09637312
2014	12	-0.12169586
2015	3	0.1193773
2015	6	-0.08991527
2015	9	-0.11901933
2015	12	0.04928095
