date	SZKFT_CGWC_lambdaL_none	SZKFT_CGWC_lambdaLmean_macroeconomic	SZKFT_CGWC_lambdaLmean_specific	SZKFT_CGWC_lambdaLmean_macroeconomic_specific	SZKFT_XITG_lambdaLmean_none	SZKFT_XITG_lambdaLmean_macroeconomic	SZKFT_XITG_lambdaL_specific	SZKFT_XITG_lambdaLmean_macroeconomic_specific	CGWC_XITG_lambdaLmean_none	CGWC_XITG_lambdaLmean_macroeconomic	CGWC_XITG_lambdaLmean_specific	CGWC_XITG_lambdaLmean_macroeconomic_specific
2005Q1	0.02211597	0.19189611	0.7040021	0.7374448	0.04995662	0.0915579	0.6507345	0.6132276	0.02129987	0.04860579	0.18440751	0.7033846
2005Q2	0.02211597	0.18324399	0.7473778	0.7259085	0.04995662	0.09311141	0.6393553	0.6048545	0.02129987	0.05013969	0.23685942	0.599542
2005Q3	0.02211597	0.1601191	0.8013734	0.762432	0.04995662	0.11178025	0.4568999	0.5612012	0.02129987	0.05606198	0.16684538	0.653507
2005Q4	0.02211597	0.14992586	0.8215102	0.8256369	0.04995662	0.12685318	0.6494676	0.541963	0.02129987	0.06227126	0.15781116	0.5910015
2006Q1	0.02211597	0.14333501	0.699455	0.7589217	0.04995662	0.12748185	0.4325867	0.4501892	0.02129987	0.07116106	0.6571432	0.6267045
2006Q2	0.02211597	0.14166886	0.7621356	0.7892522	0.04995662	0.13368073	0.5078252	0.5312475	0.02129987	0.08442178	0.27825334	0.6255783
2006Q3	0.02211597	0.14948757	0.8103058	0.8918239	0.04995662	0.12528325	0.5065333	0.5144687	0.02129987	0.08662979	0.16060482	0.6302469
2006Q4	0.02211597	0.15915239	0.460401	0.8937762	0.04995662	0.12029146	0.4038241	0.6990698	0.02129987	0.0812499	0.09656991	0.6018239
2007Q1	0.02211597	0.18483971	0.9213929	0.7651955	0.04995662	0.12055831	0.3101503	0.3857679	0.02129987	0.05205607	0.81868672	0.5741323
2007Q2	0.02211597	0.21324611	0.841892	0.8626138	0.04995662	0.11782773	0.2849568	0.3572913	0.02129987	0.04637165	0.80585146	0.7027662
2007Q3	0.02211597	0.26486168	0.8613103	0.8904199	0.04995662	0.12886083	0.3417283	0.476306	0.02129987	0.04545414	0.20414637	0.6689871
2007Q4	0.02211597	0.33533542	0.9271106	0.8620766	0.04995662	0.12402732	0.5589235	0.3644976	0.02129987	0.04310354	0.13413334	0.4690926
2008Q1	0.02211597	0.55136356	0.6409828	0.7939757	0.04995662	0.11773942	0.2698028	0.5942249	0.02129987	0.04128369	0.39690176	0.5514407
2008Q2	0.02211597	0.57175196	0.7271695	0.8569844	0.04995662	0.12253421	0.2732972	0.4890002	0.02129987	0.0425579	0.36856786	0.475941
2008Q3	0.02211597	0.56186502	0.7759897	0.8988046	0.04995662	0.12231307	0.3086188	0.6872195	0.02129987	0.03824233	0.31829114	0.4820529
2008Q4	0.02211597	0.44695158	0.729947	0.8920607	0.04995662	0.11652248	0.2280394	0.7630349	0.02129987	0.03585622	0.36299808	0.7021083
2009Q1	0.02211597	0.11214118	0.6280275	0.7775797	0.04995662	0.20742045	0.2835127	0.56975	0.02129987	0.1529381	0.52895138	0.7106267
2009Q2	0.02211597	0.09989405	0.7208007	0.7657097	0.04995662	0.21596447	0.2973351	0.5911589	0.02129987	0.31767424	0.41504559	0.7044851
2009Q3	0.02211597	0.09780843	0.7741944	0.7885731	0.04995662	0.21802484	0.2935672	0.563426	0.02129987	0.37811554	0.30534205	0.6973416
2009Q4	0.02211597	0.10044241	0.7470157	0.8622639	0.04995662	0.21839687	0.3051122	0.546003	0.02129987	0.35793782	0.23046923	0.6305827
2010Q1	0.02211597	0.15010331	0.6892128	0.7806755	0.04995662	0.21284792	0.2625234	0.5893481	0.02129987	0.11836537	0.33579472	0.6543895
2010Q2	0.02211597	0.17092676	0.7788473	0.771592	0.04995662	0.19011561	0.2719641	0.5389603	0.02129987	0.05954371	0.27324138	0.7498606
2010Q3	0.02211597	0.18641968	0.7649795	0.8839648	0.04995662	0.16902184	0.2957361	0.5206431	0.02129987	0.0486495	0.29507638	0.5948029
2010Q4	0.02211597	0.21110865	0.769426	0.8656172	0.04995662	0.1786855	0.3237832	0.5671578	0.02129987	0.0529469	0.50466519	0.4786317
2011Q1	0.02211597	0.35555165	0.6220401	0.7708149	0.04995662	0.13699441	0.2739444	0.5690623	0.02129987	0.03948603	0.42132976	0.6298302
2011Q2	0.02211597	0.42507612	0.7458583	0.784962	0.04995662	0.13429048	0.3056655	0.5114372	0.02129987	0.03803068	0.32049419	0.6389645
2011Q3	0.02211597	0.5005031	0.7338277	0.7821526	0.04995662	0.1368851	0.299014	0.5000133	0.02129987	0.03616157	0.28405284	0.6806035
2011Q4	0.02211597	0.44040623	0.740848	0.8553881	0.04995662	0.14959979	0.300026	0.543205	0.02129987	0.04418317	0.1925922	0.5322243
2012Q1	0.02211597	0.32627666	0.6252439	0.7818508	0.04995662	0.17650181	0.2878537	0.6331269	0.02129987	0.05121067	0.52249306	0.7462616
2012Q2	0.02211597	0.28128385	0.6287037	0.7823271	0.04995662	0.18321	0.288584	0.6134522	0.02129987	0.05527404	0.39722571	0.7492716
2012Q3	0.02211597	0.22486276	0.5014512	0.7746102	0.04995662	0.19517016	0.2648186	0.6184203	0.02129987	0.06182964	0.30303938	0.8376936
2012Q4	0.02211597	0.25476957	0.6878908	0.8551635	0.04995662	0.16546636	0.2793311	0.6175462	0.02129987	0.04646038	0.21818845	0.5759076
2013Q1	0.02211597	0.22728933	0.5094095	0.7887073	0.04995662	0.17810858	0.2781263	0.6031907	0.02129987	0.05243916	0.44811554	0.7608862
2013Q2	0.02211597	0.2349212	0.6790326	0.7896158	0.04995662	0.17811942	0.251776	0.6949996	0.02129987	0.05154156	0.30424792	0.8453678
2013Q3	0.02211597	0.24958727	0.7676272	0.7820155	0.04995662	0.17221485	0.2653635	0.5826734	0.02129987	0.04926597	0.25089466	0.8044416
2013Q4	0.02211597	0.26537236	0.7240493	0.8589089	0.04995662	0.16922861	0.2696786	0.6192329	0.02129987	0.04746511	0.19879793	0.6299965
2014Q1	0.02211597	0.2692263	0.4047507	0.757411	0.04995662	0.16745342	0.2711381	0.6123359	0.02129987	0.05339404	0.46059368	0.8369277
2014Q2	0.02211597	0.24255363	0.4983942	0.8002982	0.04995662	0.16570155	0.2679343	0.6925248	0.02129987	0.05267283	0.3054759	0.9049938
2014Q3	0.02211597	0.26446114	0.6440186	0.7889649	0.04995662	0.16559282	0.307671	0.6011524	0.02129987	0.05600309	0.3311534	0.7339426
2014Q4	0.02211597	0.27593132	0.6997484	0.8822322	0.04995662	0.17209518	0.2854716	0.5551042	0.02129987	0.07186807	0.205035	0.8528591
2015Q1	0.02211597	0.24870816	0.6232874	0.7684148	0.04995662	0.17222622	0.3184883	0.5781428	0.02129987	0.14640126	0.62763968	0.6150689
2015Q2	0.02211597	0.23223004	0.7055974	0.7677649	0.04995662	0.15842433	0.3144494	0.6654277	0.02129987	0.16494191	0.36126735	0.7437459
2015Q3	0.02211597	0.16495461	0.6109983	0.7799627	0.04995662	0.15574959	0.2791966	0.6151365	0.02129987	0.07643943	0.30648374	0.836558
2015Q4	0.02211597	0.15281846	0.8074562	0.8247567	0.04995662	0.1502513	0.3132004	0.6455981	0.02129987	0.08033713	0.23841319	0.5198996
